dataset,rare_class,seed,rts,variant,group,sep,split_hash,git_sha,cell_id_align_hash,abstain,chosen_rank,baseline_f1,rare_f1,rare_recall,rare_precision,n_rescued,n_false_rescues,ffr
immune_dc,ASDC,42,0.01,A0_baseline,A,2.1126,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,0,0.0,0.0,0.0,0.0,0,0,0.0
immune_dc,ASDC,42,0.01,A1_minus_sep,A,2.1126,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.0,0.903,0.8231,1.0,107,0,0.0
immune_dc,ASDC,42,0.01,A2_minus_necessity,A,2.1126,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.0,0.903,0.8231,1.0,107,0,0.0
immune_dc,ASDC,42,0.01,A3_minus_adaptive_rank,A,2.1126,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.0,0.903,0.8231,1.0,107,0,0.0
immune_dc,ASDC,42,0.01,A4_minus_tau,A,2.1126,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.0,0.8917,0.8231,0.9727,110,3,0.0005
immune_dc,ASDC,42,0.01,A5_full,A,2.1126,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.0,0.903,0.8231,1.0,107,0,0.0
immune_dc,ASDC,42,0.01,R1_rank1,R,2.1126,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.0,0.903,0.8231,1.0,107,0,0.0
immune_dc,ASDC,42,0.01,R2_rank2,R,2.1126,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,2,0.0,0.8378,0.9538,0.747,166,42,0.006995
immune_dc,ASDC,42,0.01,R3_rank3,R,2.1126,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,3,0.0,0.8378,0.9538,0.747,166,42,0.006995
immune_dc,ASDC,42,0.01,R_adaptive,R,2.1126,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.0,0.903,0.8231,1.0,107,0,0.0
immune_dc,ASDC,42,0.05,A0_baseline,A,2.1376,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,0,0.8393,0.8393,0.7231,1.0,0,0,0.0
immune_dc,ASDC,42,0.05,A1_minus_sep,A,2.1376,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.8393,0.9435,0.9,0.9915,24,1,0.000167
immune_dc,ASDC,42,0.05,A2_minus_necessity,A,2.1376,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.8393,0.9435,0.9,0.9915,24,1,0.000167
immune_dc,ASDC,42,0.05,A3_minus_adaptive_rank,A,2.1376,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.8393,0.9435,0.9,0.9915,24,1,0.000167
immune_dc,ASDC,42,0.05,A4_minus_tau,A,2.1376,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.8393,0.9398,0.9,0.9832,25,2,0.000333
immune_dc,ASDC,42,0.05,A5_full,A,2.1376,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.8393,0.9435,0.9,0.9915,24,1,0.000167
immune_dc,ASDC,42,0.05,R1_rank1,R,2.1376,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.8393,0.9435,0.9,0.9915,24,1,0.000167
immune_dc,ASDC,42,0.05,R2_rank2,R,2.1376,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,2,0.8393,0.8063,0.9769,0.6865,91,58,0.00966
immune_dc,ASDC,42,0.05,R3_rank3,R,2.1376,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,3,0.8393,0.7962,0.9769,0.672,95,62,0.010326
immune_dc,ASDC,42,0.05,R_adaptive,R,2.1376,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.8393,0.9435,0.9,0.9915,24,1,0.000167
immune_dc,ASDC,42,0.10,A0_baseline,A,2.1041,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,0,0.8803,0.8803,0.7923,0.9904,0,0,0.0
immune_dc,ASDC,42,0.10,A1_minus_sep,A,2.1041,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.8803,0.9274,0.8846,0.9746,14,2,0.000333
immune_dc,ASDC,42,0.10,A2_minus_necessity,A,2.1041,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.8803,0.9274,0.8846,0.9746,14,2,0.000333
immune_dc,ASDC,42,0.10,A3_minus_adaptive_rank,A,2.1041,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.8803,0.9274,0.8846,0.9746,14,2,0.000333
immune_dc,ASDC,42,0.10,A4_minus_tau,A,2.1041,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.8803,0.9274,0.8846,0.9746,14,2,0.000333
immune_dc,ASDC,42,0.10,A5_full,A,2.1041,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.8803,0.9274,0.8846,0.9746,14,2,0.000333
immune_dc,ASDC,42,0.10,R1_rank1,R,2.1041,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.8803,0.9274,0.8846,0.9746,14,2,0.000333
immune_dc,ASDC,42,0.10,R2_rank2,R,2.1041,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,2,0.8803,0.8383,0.9769,0.7341,69,45,0.007495
immune_dc,ASDC,42,0.10,R3_rank3,R,2.1041,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,3,0.8803,0.8167,0.9769,0.7017,77,53,0.008827
immune_dc,ASDC,42,0.10,R_adaptive,R,2.1041,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.8803,0.9274,0.8846,0.9746,14,2,0.000333
immune_dc,ASDC,42,all,A0_baseline,A,1.7622,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,0,0.9398,0.9398,0.9,0.9832,0,0,0.0
immune_dc,ASDC,42,all,A1_minus_sep,A,1.7622,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.9398,0.9528,0.9308,0.9758,5,1,0.000167
immune_dc,ASDC,42,all,A2_minus_necessity,A,1.7622,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.9398,0.9528,0.9308,0.9758,5,1,0.000167
immune_dc,ASDC,42,all,A3_minus_adaptive_rank,A,1.7622,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.9398,0.9528,0.9308,0.9758,5,1,0.000167
immune_dc,ASDC,42,all,A4_minus_tau,A,1.7622,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.9398,0.9528,0.9308,0.9758,5,1,0.000167
immune_dc,ASDC,42,all,A5_full,A,1.7622,33b8ce5bdff2e437,legacy_pre_git_sha_recording,0311166af38c,False,1,0.9398,0.9528,0.9308,0.9758,5,1,0.000167
