dataset,variant,f1_mean,f1_std,ffr_max,gain_mean
immune_dc,v1_no_rank1,0.8089,0.026,0.011326,0.7837
immune_dc,v2_rank1_nofilter,0.9394,0.0096,0.0005,0.9143
immune_dc,v3_isotropic,0.9394,0.0096,0.0005,0.9143
immune_dc,v4_full,0.9394,0.0096,0.0005,0.9143
pancreas_baron,v1_no_rank1,0.8331,0.0388,0.022589,0.0084
pancreas_baron,v2_rank1_nofilter,0.8012,0.024,0.017094,-0.0234
pancreas_baron,v3_isotropic,0.8449,0.0307,0.008547,0.0203
pancreas_baron,v4_full,0.8494,0.0274,0.004884,0.0248
tabula_lung_endo,v1_no_rank1,0.8354,0.0564,0.022145,-0.134
tabula_lung_endo,v2_rank1_nofilter,0.9774,0.006,0.000583,0.0081
tabula_lung_endo,v3_isotropic,0.9774,0.006,0.000583,0.0081
tabula_lung_endo,v4_full,0.9799,0.0035,0.000583,0.0105
