dataset,variant,n_cells,f1_mean,f1_std,recall_mean,ffr_max,gain_vs_baseline,delta_vs_full,n_abstain
immune_dc,A0_baseline,12,0.6815,0.3946,0.6314,0.0,0.0,0.2578,0
immune_dc,A1_minus_sep,12,0.9393,0.014,0.9058,0.000999,0.2578,0.0,0
immune_dc,A2_minus_necessity,12,0.9393,0.014,0.9058,0.000999,0.2578,0.0,0
immune_dc,A3_minus_adaptive_rank,12,0.9393,0.014,0.9058,0.000999,0.2578,0.0,0
immune_dc,A4_minus_tau,12,0.938,0.0165,0.9058,0.000999,0.2566,0.0013,0
immune_dc,A5_full,12,0.9393,0.014,0.9058,0.000999,0.2578,0.0,0
pancreas_baron,A0_baseline,12,0.6242,0.2855,0.5329,0.0,0.0,0.0976,0
pancreas_baron,A1_minus_sep,12,0.8297,0.0567,0.811,0.015263,0.2055,-0.1079,2
pancreas_baron,A2_minus_necessity,12,0.7218,0.2273,0.6531,0.009768,0.0976,0.0,8
pancreas_baron,A3_minus_adaptive_rank,12,0.7015,0.2268,0.6124,0.004884,0.0773,0.0203,8
pancreas_baron,A4_minus_tau,12,0.7116,0.2246,0.6579,0.016484,0.0873,0.0102,8
pancreas_baron,A5_full,12,0.7218,0.2273,0.6531,0.009768,0.0976,0.0,8
pancreas_integrated,A0_baseline,12,0.9062,0.2737,0.9167,0.0,0.0,0.0833,0
pancreas_integrated,A1_minus_sep,12,0.9895,0.016,1.0,0.0,0.0833,0.0,11
pancreas_integrated,A2_minus_necessity,12,0.9774,0.0197,1.0,0.001764,0.0712,0.0121,0
pancreas_integrated,A3_minus_adaptive_rank,12,0.9895,0.016,1.0,0.0,0.0833,0.0,11
pancreas_integrated,A4_minus_tau,12,0.9895,0.016,1.0,0.0,0.0833,0.0,11
pancreas_integrated,A5_full,12,0.9895,0.016,1.0,0.0,0.0833,0.0,11
tabula_lung_endo,A0_baseline,12,0.7805,0.3225,0.7462,0.0,0.0,0.196,0
tabula_lung_endo,A1_minus_sep,12,0.9765,0.0089,0.9859,0.002331,0.196,0.0,6
tabula_lung_endo,A2_minus_necessity,12,0.9774,0.0084,0.9949,0.002331,0.1969,-0.0009,0
tabula_lung_endo,A3_minus_adaptive_rank,12,0.9765,0.0089,0.9859,0.002331,0.196,0.0,6
tabula_lung_endo,A4_minus_tau,12,0.9759,0.0086,0.9859,0.002331,0.1953,0.0006,6
tabula_lung_endo,A5_full,12,0.9765,0.0089,0.9859,0.002331,0.196,0.0,6
tabula_sapiens_stomach,A0_baseline,12,0.5948,0.0745,0.4349,0.0,0.0,0.1244,0
tabula_sapiens_stomach,A1_minus_sep,12,0.7193,0.0214,0.5703,0.0,0.1244,0.0,0
tabula_sapiens_stomach,A2_minus_necessity,12,0.7193,0.0214,0.5703,0.0,0.1244,0.0,0
tabula_sapiens_stomach,A3_minus_adaptive_rank,12,0.6791,0.0423,0.5234,0.0,0.0842,0.0402,0
tabula_sapiens_stomach,A4_minus_tau,12,0.7193,0.0214,0.5703,0.0,0.1244,0.0,0
tabula_sapiens_stomach,A5_full,12,0.7193,0.0214,0.5703,0.0,0.1244,0.0,0
tabula_small_intestine,A0_baseline,12,0.9786,0.0041,1.0,0.0,0.0,0.0,0
tabula_small_intestine,A1_minus_sep,12,0.9786,0.0041,1.0,0.0,0.0,0.0,12
tabula_small_intestine,A2_minus_necessity,12,0.9756,0.0044,1.0,0.000318,-0.0031,0.0031,0
tabula_small_intestine,A3_minus_adaptive_rank,12,0.9786,0.0041,1.0,0.0,0.0,0.0,12
tabula_small_intestine,A4_minus_tau,12,0.9786,0.0041,1.0,0.0,0.0,0.0,12
tabula_small_intestine,A5_full,12,0.9786,0.0041,1.0,0.0,0.0,0.0,12
