dataset,variant,n_cells,f1_mean,f1_std,recall_mean,ffr_max,n_abstain
immune_dc,R1_rank1,12,0.9393,0.014,0.9058,0.000999,0
immune_dc,R2_rank2,12,0.8214,0.0158,0.9718,0.009993,0
immune_dc,R3_rank3,12,0.808,0.0148,0.9731,0.011326,0
immune_dc,R_adaptive,12,0.9393,0.014,0.9058,0.000999,0
pancreas_baron,R1_rank1,12,0.7015,0.2268,0.6124,0.004884,8
pancreas_baron,R2_rank2,12,0.7228,0.2278,0.6628,0.009768,8
pancreas_baron,R3_rank3,12,0.6969,0.2274,0.6889,0.046398,8
pancreas_baron,R_adaptive,12,0.7218,0.2273,0.6531,0.009768,8
pancreas_integrated,R1_rank1,12,0.9895,0.016,1.0,0.0,11
pancreas_integrated,R2_rank2,12,0.9828,0.0246,1.0,0.002352,11
pancreas_integrated,R3_rank3,12,0.9711,0.0598,1.0,0.007643,11
pancreas_integrated,R_adaptive,12,0.9895,0.016,1.0,0.0,11
tabula_lung_endo,R1_rank1,12,0.9765,0.0089,0.9859,0.002331,6
tabula_lung_endo,R2_rank2,12,0.9572,0.0245,0.9885,0.007576,6
tabula_lung_endo,R3_rank3,12,0.9268,0.0596,0.991,0.0169,6
tabula_lung_endo,R_adaptive,12,0.9765,0.0089,0.9859,0.002331,6
tabula_sapiens_stomach,R1_rank1,12,0.6791,0.0423,0.5234,0.0,0
tabula_sapiens_stomach,R2_rank2,12,0.7291,0.0434,0.5833,0.0,0
tabula_sapiens_stomach,R3_rank3,12,0.735,0.0333,0.5964,0.000105,0
tabula_sapiens_stomach,R_adaptive,12,0.7193,0.0214,0.5703,0.0,0
tabula_small_intestine,R1_rank1,12,0.9786,0.0041,1.0,0.0,12
tabula_small_intestine,R2_rank2,12,0.9786,0.0041,1.0,0.0,12
tabula_small_intestine,R3_rank3,12,0.9786,0.0041,1.0,0.0,12
tabula_small_intestine,R_adaptive,12,0.9786,0.0041,1.0,0.0,12
