dataset,rare_class,rts,sep,val_baseline_recall,test_baseline_recall,test_baseline_f1,n_test_rare,n_test_missed,rank1_recoverable_pct_of_missed,rank2_recoverable_pct_of_missed,regime
immune_dc,ASDC,0.01,2.113,0.0,0.0,0.0,130,130,0.8231,0.9769,testbed
immune_dc,ASDC,0.05,2.138,0.7478,0.7231,0.8393,130,36,0.6389,0.9167,testbed
immune_dc,ASDC,0.10,2.104,0.7913,0.7923,0.8803,130,27,0.4444,0.9259,testbed
immune_dc,ASDC,all,1.762,0.9043,0.9,0.9398,130,13,0.3077,0.8462,testbed
pancreas_baron,gamma,0.01,1.521,0.0794,0.1279,0.2268,86,75,0.44,0.72,testbed
pancreas_baron,gamma,0.05,1.521,0.0794,0.1279,0.2268,86,75,0.44,0.72,testbed
pancreas_baron,gamma,0.10,1.442,0.5397,0.6628,0.7917,86,29,0.1724,0.5517,testbed
pancreas_baron,gamma,all,1.16,0.9048,0.9302,0.9143,86,6,0.3333,0.8333,abstain-sep
pancreas_integrated,endothelial,0.01,1.452,0.7143,1.0,1.0,23,0,,,baseline-saturated-test
pancreas_integrated,endothelial,0.05,1.543,0.8571,1.0,1.0,23,0,,,baseline-saturated-test
pancreas_integrated,endothelial,0.10,1.341,1.0,1.0,0.9787,23,0,,,abstain-necessity
pancreas_integrated,endothelial,all,1.444,1.0,1.0,0.9583,23,0,,,abstain-necessity
tabula_lung_endo,endothelial cell of lymphatic vessel,0.01,2.347,0.0,0.0,0.0,65,65,1.0,1.0,testbed
tabula_lung_endo,endothelial cell of lymphatic vessel,0.05,1.879,0.7059,0.5077,0.6667,65,32,1.0,1.0,testbed
tabula_lung_endo,endothelial cell of lymphatic vessel,0.10,1.659,0.9706,0.9846,0.9771,65,1,1.0,1.0,testbed
tabula_lung_endo,endothelial cell of lymphatic vessel,all,1.671,1.0,1.0,0.9774,65,0,,,abstain-necessity
tabula_sapiens_stomach,mast cell,0.01,1.779,0.9593,0.375,0.5455,32,20,0.15,0.35,testbed
tabula_sapiens_stomach,mast cell,0.05,1.779,0.9593,0.375,0.5455,32,20,0.15,0.35,testbed
tabula_sapiens_stomach,mast cell,0.10,1.779,0.9593,0.375,0.5455,32,20,0.15,0.35,testbed
tabula_sapiens_stomach,mast cell,all,1.818,0.9344,0.25,0.4,32,24,0.25,0.375,testbed
tabula_small_intestine,intestinal tuft cell,0.01,3.165,1.0,1.0,0.9774,65,0,,,abstain-necessity
tabula_small_intestine,intestinal tuft cell,0.05,2.624,1.0,1.0,0.9774,65,0,,,abstain-necessity
tabula_small_intestine,intestinal tuft cell,0.10,2.301,1.0,1.0,0.9848,65,0,,,abstain-necessity
tabula_small_intestine,intestinal tuft cell,all,2.448,1.0,1.0,0.9701,65,0,,,abstain-necessity
