dataset,rts,sep,n_val_nonrare,val_missed,tau,k,v_fire,v_false,v_ffr_point,wilson_upper_95,val_rare_f1_if_chosen,rule_disposition,abstain_pre_rank_reason
immune_dc,0.01,2.113,5747,115,0.1051,1,103,3,0.00052,0.00153,0.9174,CHOSEN,
immune_dc,0.01,2.113,5747,115,0.1051,2,166,56,0.00974,0.01263,0.7829,rejected (wilson>α),
immune_dc,0.01,2.113,5747,115,0.1051,3,167,56,0.00974,0.01263,0.7872,rejected (wilson>α),
immune_dc,0.05,2.138,5747,29,0.1474,1,29,8,0.00139,0.00274,0.9304,CHOSEN,
immune_dc,0.05,2.138,5747,29,0.1474,2,76,48,0.00835,0.01106,0.8231,rejected (wilson>α),
immune_dc,0.05,2.138,5747,29,0.1474,3,84,56,0.00974,0.01263,0.8,rejected (wilson>α),
immune_dc,0.10,2.104,5747,24,0.135,1,19,3,0.00052,0.00153,0.9469,CHOSEN,
immune_dc,0.10,2.104,5747,24,0.135,2,64,41,0.00713,0.00966,0.8413,feasible,
immune_dc,0.10,2.104,5747,24,0.135,3,76,53,0.00922,0.01204,0.8057,rejected (wilson>α),
immune_dc,all,1.762,5747,11,0.1621,1,7,3,0.00052,0.00153,0.9432,CHOSEN,
immune_dc,all,1.762,5747,11,0.1621,2,61,50,0.0087,0.01145,0.8127,rejected (wilson>α),
immune_dc,all,1.762,5747,11,0.1621,3,65,54,0.0094,0.01224,0.8014,rejected (wilson>α),
pancreas_baron,0.01,1.521,1240,58,0.0953,1,11,0,0.0,0.00309,0.4051,feasible,
pancreas_baron,0.01,1.521,1240,58,0.0953,2,24,3,0.00242,0.00709,0.5652,CHOSEN,
pancreas_baron,0.01,1.521,1240,58,0.0953,3,41,7,0.00565,0.01161,0.7156,rejected (wilson>α),
pancreas_baron,0.05,1.521,1240,58,0.0953,1,11,0,0.0,0.00309,0.4051,feasible,
pancreas_baron,0.05,1.521,1240,58,0.0953,2,24,3,0.00242,0.00709,0.5652,CHOSEN,
pancreas_baron,0.05,1.521,1240,58,0.0953,3,41,7,0.00565,0.01161,0.7156,rejected (wilson>α),
pancreas_baron,0.10,1.442,1240,29,0.103,1,6,1,0.00081,0.00455,0.75,CHOSEN,
pancreas_baron,0.10,1.442,1240,29,0.103,2,20,8,0.00645,0.01268,0.7797,rejected (wilson>α),
pancreas_baron,0.10,1.442,1240,29,0.103,3,31,11,0.00887,0.01582,0.8372,rejected (wilson>α),
pancreas_baron,all,1.16,1240,6,0.1201,1,8,5,0.00403,0.0094,0.8889,abstain-pre-rank,sep<1.3
pancreas_baron,all,1.16,1240,6,0.1201,2,12,8,0.00645,0.01268,0.8777,abstain-pre-rank,sep<1.3
pancreas_baron,all,1.16,1240,6,0.1201,3,13,9,0.00726,0.01374,0.8714,abstain-pre-rank,sep<1.3
pancreas_integrated,0.01,1.452,1296,2,0.1151,1,0,0,0.0,0.00296,0.8333,abstain-pre-rank,val_missed=2 < MIN_VAL_MISSED=3
pancreas_integrated,0.01,1.452,1296,2,0.1151,2,3,1,0.00077,0.00436,0.9333,abstain-pre-rank,val_missed=2 < MIN_VAL_MISSED=3
pancreas_integrated,0.01,1.452,1296,2,0.1151,3,8,6,0.00463,0.01006,0.7,abstain-pre-rank,val_missed=2 < MIN_VAL_MISSED=3
pancreas_integrated,0.05,1.543,1296,1,0.1173,1,1,0,0.0,0.00296,1.0,abstain-pre-rank,val_missed=1 < MIN_VAL_MISSED=3
pancreas_integrated,0.05,1.543,1296,1,0.1173,2,5,4,0.00309,0.00791,0.7778,abstain-pre-rank,val_missed=1 < MIN_VAL_MISSED=3
pancreas_integrated,0.05,1.543,1296,1,0.1173,3,11,10,0.00772,0.01415,0.5833,abstain-pre-rank,val_missed=1 < MIN_VAL_MISSED=3
pancreas_integrated,0.10,1.341,1296,0,0.1256,1,0,0,0.0,0.00296,1.0,abstain-pre-rank,val_missed=0 < MIN_VAL_MISSED=3
pancreas_integrated,0.10,1.341,1296,0,0.1256,2,1,1,0.00077,0.00436,0.9333,abstain-pre-rank,val_missed=0 < MIN_VAL_MISSED=3
pancreas_integrated,0.10,1.341,1296,0,0.1256,3,6,6,0.00463,0.01006,0.7,abstain-pre-rank,val_missed=0 < MIN_VAL_MISSED=3
pancreas_integrated,all,1.444,1296,0,0.1184,1,0,0,0.0,0.00296,1.0,abstain-pre-rank,val_missed=0 < MIN_VAL_MISSED=3
pancreas_integrated,all,1.444,1296,0,0.1184,2,1,1,0.00077,0.00436,0.9333,abstain-pre-rank,val_missed=0 < MIN_VAL_MISSED=3
pancreas_integrated,all,1.444,1296,0,0.1184,3,7,7,0.0054,0.01111,0.6667,abstain-pre-rank,val_missed=0 < MIN_VAL_MISSED=3
tabula_lung_endo,0.01,2.347,853,34,0.1067,1,33,0,0.0,0.00448,0.9851,CHOSEN,
tabula_lung_endo,0.01,2.347,853,34,0.1067,2,37,4,0.00469,0.012,0.9296,rejected (wilson>α),
tabula_lung_endo,0.01,2.347,853,34,0.1067,3,42,8,0.00938,0.0184,0.8947,rejected (wilson>α),
tabula_lung_endo,0.05,1.879,853,10,0.1769,1,9,0,0.0,0.00448,0.9851,CHOSEN,
tabula_lung_endo,0.05,1.879,853,10,0.1769,2,15,5,0.00586,0.01365,0.9315,rejected (wilson>α),
tabula_lung_endo,0.05,1.879,853,10,0.1769,3,18,8,0.00938,0.0184,0.8947,rejected (wilson>α),
tabula_lung_endo,0.10,1.659,853,1,0.1807,1,0,0,0.0,0.00448,0.9851,abstain-pre-rank,val_missed=1 < MIN_VAL_MISSED=3
tabula_lung_endo,0.10,1.659,853,1,0.1807,2,3,3,0.00352,0.01029,0.9429,abstain-pre-rank,val_missed=1 < MIN_VAL_MISSED=3
tabula_lung_endo,0.10,1.659,853,1,0.1807,3,8,7,0.00821,0.01684,0.9067,abstain-pre-rank,val_missed=1 < MIN_VAL_MISSED=3
tabula_lung_endo,all,1.671,853,0,0.1826,1,0,0,0.0,0.00448,1.0,abstain-pre-rank,val_missed=0 < MIN_VAL_MISSED=3
tabula_lung_endo,all,1.671,853,0,0.1826,2,3,3,0.00352,0.01029,0.9577,abstain-pre-rank,val_missed=0 < MIN_VAL_MISSED=3
tabula_lung_endo,all,1.671,853,0,0.1826,3,8,8,0.00938,0.0184,0.8947,abstain-pre-rank,val_missed=0 < MIN_VAL_MISSED=3
tabula_sapiens_stomach,0.01,1.779,8328,36,0.0561,1,11,3,0.00036,0.00106,0.9822,feasible,
tabula_sapiens_stomach,0.01,1.779,8328,36,0.0561,2,29,11,0.00132,0.00236,0.9835,CHOSEN,
tabula_sapiens_stomach,0.01,1.779,8328,36,0.0561,3,45,22,0.00264,0.004,0.9803,feasible,
tabula_sapiens_stomach,0.05,1.779,8328,36,0.0561,1,11,3,0.00036,0.00106,0.9822,feasible,
tabula_sapiens_stomach,0.05,1.779,8328,36,0.0561,2,29,11,0.00132,0.00236,0.9835,CHOSEN,
tabula_sapiens_stomach,0.05,1.779,8328,36,0.0561,3,45,22,0.00264,0.004,0.9803,feasible,
tabula_sapiens_stomach,0.10,1.779,8328,36,0.0561,1,11,3,0.00036,0.00106,0.9822,feasible,
tabula_sapiens_stomach,0.10,1.779,8328,36,0.0561,2,29,11,0.00132,0.00236,0.9835,CHOSEN,
tabula_sapiens_stomach,0.10,1.779,8328,36,0.0561,3,45,22,0.00264,0.004,0.9803,feasible,
tabula_sapiens_stomach,all,1.818,8328,58,0.0612,1,41,3,0.00036,0.00106,0.9852,feasible,
tabula_sapiens_stomach,all,1.818,8328,58,0.0612,2,53,9,0.00108,0.00205,0.9853,CHOSEN,
tabula_sapiens_stomach,all,1.818,8328,58,0.0612,3,62,16,0.00192,0.00312,0.9825,feasible,
tabula_small_intestine,0.01,3.165,9660,0,0.016,1,0,0,0.0,0.0004,0.991,abstain-pre-rank,val_missed=0 < MIN_VAL_MISSED=3
tabula_small_intestine,0.01,3.165,9660,0,0.016,2,3,3,0.00031,0.00091,0.9649,abstain-pre-rank,val_missed=0 < MIN_VAL_MISSED=3
tabula_small_intestine,0.01,3.165,9660,0,0.016,3,9,9,0.00093,0.00177,0.9167,abstain-pre-rank,val_missed=0 < MIN_VAL_MISSED=3
tabula_small_intestine,0.05,2.624,9660,0,0.0279,1,0,0,0.0,0.0004,0.991,abstain-pre-rank,val_missed=0 < MIN_VAL_MISSED=3
tabula_small_intestine,0.05,2.624,9660,0,0.0279,2,4,4,0.00041,0.00106,0.9565,abstain-pre-rank,val_missed=0 < MIN_VAL_MISSED=3
tabula_small_intestine,0.05,2.624,9660,0,0.0279,3,11,11,0.00114,0.00204,0.9016,abstain-pre-rank,val_missed=0 < MIN_VAL_MISSED=3
tabula_small_intestine,0.10,2.301,9660,0,0.0344,1,1,1,0.0001,0.00059,0.991,abstain-pre-rank,val_missed=0 < MIN_VAL_MISSED=3
tabula_small_intestine,0.10,2.301,9660,0,0.0344,2,13,13,0.00135,0.0023,0.8943,abstain-pre-rank,val_missed=0 < MIN_VAL_MISSED=3
tabula_small_intestine,0.10,2.301,9660,0,0.0344,3,33,33,0.00342,0.00479,0.7692,abstain-pre-rank,val_missed=0 < MIN_VAL_MISSED=3
tabula_small_intestine,all,2.448,9660,0,0.0284,1,0,0,0.0,0.0004,0.991,abstain-pre-rank,val_missed=0 < MIN_VAL_MISSED=3
tabula_small_intestine,all,2.448,9660,0,0.0284,2,8,8,0.00083,0.00163,0.9244,abstain-pre-rank,val_missed=0 < MIN_VAL_MISSED=3
tabula_small_intestine,all,2.448,9660,0,0.0284,3,27,27,0.0028,0.00406,0.7971,abstain-pre-rank,val_missed=0 < MIN_VAL_MISSED=3
