dataset,config,seed,rare_train_size,rare_class,split_mode,run_dir,variant,separability,status,baseline_rare_f1,rare_f1,rare_recall,rare_precision,delta_rare_f1,true_rescues,false_rescues,all_rescues,incremental_fpr,alpha_violation,abstain,reason,chosen_rank,n_candidate,n_rescued,gate_mode,adaptive_pass,adaptive_reason,requested_folds,actual_folds,active_folds,val_missed,oof_baseline_f1,oof_refined_f1,oof_delta_f1,oof_delta_f1_lcb,oof_delta_f1_median,oof_delta_f1_ucb,oof_false_rescues,oof_incremental_fpr,oof_ffr_wilson_upper,fold_chosen_ranks,fold_reasons
immune_dc,configs/immune_dc.yaml,42,0.01,ASDC,cell_stratified,outputs\immune_dc\cell_stratified_seed42_asdc_rare1pct,fixed_s1.3,3.125431274416084,success,0.9090909090909091,0.967741935483871,0.9615384615384616,0.974025974025974,0.058651026392961936,10,2,12,0.000585480093676815,False,False,,1,13,12,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,42,0.01,ASDC,cell_stratified,outputs\immune_dc\cell_stratified_seed42_asdc_rare1pct,no_sep_gate,3.125431274416084,success,0.9090909090909091,0.967741935483871,0.9615384615384616,0.974025974025974,0.058651026392961936,10,2,12,0.000585480093676815,False,False,,1,13,12,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,42,0.01,ASDC,cell_stratified,outputs\immune_dc\cell_stratified_seed42_asdc_rare1pct,adaptive_sep_gate,3.125431274416084,success,0.9090909090909091,0.967741935483871,0.9615384615384616,0.974025974025974,0.058651026392961936,10,2,12,0.000585480093676815,False,False,,1,13,12,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,20.0,,,,,,,0.0,,,[],[]
immune_dc,configs/immune_dc.yaml,42,0.05,ASDC,cell_stratified,outputs\immune_dc\cell_stratified_seed42_asdc_rare5pct,fixed_s1.3,2.081693301151758,success,0.9736842105263158,0.968944099378882,1.0,0.9397590361445783,-0.004740111147433779,4,5,9,0.0014637002341920376,False,False,,1,9,9,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,42,0.05,ASDC,cell_stratified,outputs\immune_dc\cell_stratified_seed42_asdc_rare5pct,no_sep_gate,2.081693301151758,success,0.9736842105263158,0.968944099378882,1.0,0.9397590361445783,-0.004740111147433779,4,5,9,0.0014637002341920376,False,False,,1,9,9,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,42,0.05,ASDC,cell_stratified,outputs\immune_dc\cell_stratified_seed42_asdc_rare5pct,adaptive_sep_gate,2.081693301151758,success,0.9736842105263158,0.968944099378882,1.0,0.9397590361445783,-0.004740111147433779,4,5,9,0.0014637002341920376,False,False,,1,9,9,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,12.0,,,,,,,0.0,,,[],[]
immune_dc,configs/immune_dc.yaml,42,0.10,ASDC,cell_stratified,outputs\immune_dc\cell_stratified_seed42_asdc_rare10pct,fixed_s1.3,1.979121025200953,success,0.9530201342281879,0.975,1.0,0.9512195121951219,0.0219798657718121,7,4,11,0.00117096018735363,False,False,,1,11,11,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,42,0.10,ASDC,cell_stratified,outputs\immune_dc\cell_stratified_seed42_asdc_rare10pct,no_sep_gate,1.979121025200953,success,0.9530201342281879,0.975,1.0,0.9512195121951219,0.0219798657718121,7,4,11,0.00117096018735363,False,False,,1,11,11,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,42,0.10,ASDC,cell_stratified,outputs\immune_dc\cell_stratified_seed42_asdc_rare10pct,adaptive_sep_gate,1.979121025200953,success,0.9530201342281879,0.975,1.0,0.9512195121951219,0.0219798657718121,7,4,11,0.00117096018735363,False,False,,1,11,11,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,12.0,,,,,,,0.0,,,[],[]
immune_dc,configs/immune_dc.yaml,42,all,ASDC,cell_stratified,outputs\immune_dc\cell_stratified_seed42_asdc_rareall,fixed_s1.3,1.9164293870689257,success,0.9565217391304348,0.9512195121951219,1.0,0.9069767441860465,-0.005302226935312904,1,2,3,0.000585480093676815,False,False,,1,3,3,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,42,all,ASDC,cell_stratified,outputs\immune_dc\cell_stratified_seed42_asdc_rareall,no_sep_gate,1.9164293870689257,success,0.9565217391304348,0.9512195121951219,1.0,0.9069767441860465,-0.005302226935312904,1,2,3,0.000585480093676815,False,False,,1,3,3,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,42,all,ASDC,cell_stratified,outputs\immune_dc\cell_stratified_seed42_asdc_rareall,adaptive_sep_gate,1.9164293870689257,success,0.9565217391304348,0.9512195121951219,1.0,0.9069767441860465,-0.005302226935312904,1,2,3,0.000585480093676815,False,False,,1,3,3,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,4.0,,,,,,,0.0,,,[],[]
