dataset,config,seed,rare_train_size,rare_class,split_mode,run_dir,variant,separability,status,baseline_rare_f1,rare_f1,rare_recall,rare_precision,delta_rare_f1,true_rescues,false_rescues,all_rescues,incremental_fpr,alpha_violation,abstain,reason,chosen_rank,n_candidate,n_rescued,gate_mode,adaptive_pass,adaptive_reason,requested_folds,actual_folds,active_folds,val_missed,oof_baseline_f1,oof_refined_f1,oof_delta_f1,oof_delta_f1_lcb,oof_delta_f1_median,oof_delta_f1_ucb,oof_false_rescues,oof_incremental_fpr,oof_ffr_wilson_upper,fold_chosen_ranks,fold_reasons
immune_dc,configs/immune_dc.yaml,42,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare1pct,fixed_s1.3,2.1125757445434328,success,0.0,0.9029535864978903,0.823076923076923,1.0,0.9029535864978903,107,0,107,0.0,False,False,,1,110,107,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,42,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare1pct,no_sep_gate,2.1125757445434328,success,0.0,0.9029535864978903,0.823076923076923,1.0,0.9029535864978903,107,0,107,0.0,False,False,,1,110,107,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,42,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare1pct,adaptive_sep_gate,2.1125757445434328,success,0.0,0.9029535864978903,0.823076923076923,1.0,0.9029535864978903,107,0,107,0.0,False,False,,1,110,107,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,115.0,,,,,,,0.0,,,[],[]
immune_dc,configs/immune_dc.yaml,42,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare5pct,fixed_s1.3,2.137647998234371,success,0.8392857142857143,0.9435483870967742,0.9,0.9915254237288136,0.10426267281105994,23,1,24,0.00016655562958027982,False,False,,1,25,24,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,42,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare5pct,no_sep_gate,2.137647998234371,success,0.8392857142857143,0.9435483870967742,0.9,0.9915254237288136,0.10426267281105994,23,1,24,0.00016655562958027982,False,False,,1,25,24,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,42,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare5pct,adaptive_sep_gate,2.137647998234371,success,0.8392857142857143,0.9435483870967742,0.9,0.9915254237288136,0.10426267281105994,23,1,24,0.00016655562958027982,False,False,,1,25,24,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,29.0,,,,,,,0.0,,,[],[]
immune_dc,configs/immune_dc.yaml,42,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare10pct,fixed_s1.3,2.1041139056895917,success,0.8803418803418803,0.9274193548387096,0.8846153846153846,0.9745762711864406,0.04707747449682931,12,2,14,0.00033311125916055963,False,False,,1,14,14,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,42,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare10pct,no_sep_gate,2.1041139056895917,success,0.8803418803418803,0.9274193548387096,0.8846153846153846,0.9745762711864406,0.04707747449682931,12,2,14,0.00033311125916055963,False,False,,1,14,14,,,,,,,,,,,,,,,,,,
immune_dc,configs/immune_dc.yaml,42,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare10pct,adaptive_sep_gate,2.1041139056895917,success,0.8803418803418803,0.9274193548387096,0.8846153846153846,0.9745762711864406,0.04707747449682931,12,2,14,0.00033311125916055963,False,False,,1,14,14,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,24.0,,,,,,,0.0,,,[],[]
immune_dc,configs/immune_dc.yaml,42,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rareall,fixed_s1.3,1.762226411576769,success,0.9397590361445783,0.952755905511811,0.9307692307692308,0.9758064516129032,0.012996869367232655,4,1,5,0.00016655562958027982,False,False,,1,5,5,,,,,,,,,,,,,,,,,,
