dataset,config,seed,rare_train_size,rare_class,split_mode,run_dir,variant,separability,status,baseline_rare_f1,rare_f1,rare_recall,rare_precision,delta_rare_f1,true_rescues,false_rescues,all_rescues,incremental_fpr,alpha_violation,abstain,reason,chosen_rank,n_candidate,n_rescued,gate_mode,adaptive_pass,adaptive_reason,requested_folds,actual_folds,active_folds,val_missed,oof_baseline_f1,oof_refined_f1,oof_delta_f1,oof_delta_f1_lcb,oof_delta_f1_median,oof_delta_f1_ucb,oof_false_rescues,oof_incremental_fpr,oof_ffr_wilson_upper,fold_chosen_ranks,fold_reasons
mouse_lung_tms_10x,configs/mouse_lung_tms_10x.yaml,42,0.01,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed42_vein_endothelial_cell_rare1pct,adaptive_sep_gate,2.388498718008568,success,0.0,0.2413793103448276,0.13725490196078433,1.0,0.2413793103448276,7,0,7,0.0,False,False,,1,8,7,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,56.0,,,,,,,0.0,,,[],[]
mouse_lung_tms_10x,configs/mouse_lung_tms_10x.yaml,42,0.05,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed42_vein_endothelial_cell_rare5pct,adaptive_sep_gate,1.1875598337377935,success,0.0,0.547945205479452,0.39215686274509803,0.9090909090909091,0.547945205479452,20,2,22,0.001519756838905775,False,False,,1,23,22,adaptive_audit,True,oof_audit_passed,5.0,5.0,5.0,55.0,0.03508771929824561,0.5925925925925926,0.557504873294347,0.44491228070175437,0.5641025641025641,0.6666666666666666,1.0,0.0006544502617801048,0.0036979162068947473,"[1, 1, 1, 1, 1]","["""", """", """", """", """"]"
mouse_lung_tms_10x,configs/mouse_lung_tms_10x.yaml,42,0.10,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed42_vein_endothelial_cell_rare10pct,adaptive_sep_gate,1.3128199203034743,success,0.42424242424242425,0.7073170731707317,0.5686274509803921,0.9354838709677419,0.2830746489283074,15,1,16,0.0007598784194528875,False,False,,1,19,16,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,37.0,,,,,,,0.0,,,[],[]
mouse_lung_tms_10x,configs/mouse_lung_tms_10x.yaml,42,all,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed42_vein_endothelial_cell_rareall,adaptive_sep_gate,1.2083994033024412,success,0.7816091954022989,0.7816091954022989,0.6666666666666666,0.9444444444444444,0.0,0,0,0,0.0,False,True,adaptive_audit_failed,0,0,0,adaptive_audit,False,"failed:active_folds,gain",5.0,5.0,1.0,20.0,0.7741935483870968,0.7755102040816326,0.0013166556945358732,-0.032132001736865035,0.002339181286549752,0.04103641997553173,3.0,0.001963350785340314,0.005756761102269409,"[0, 0, 0, 1, 0]","[""no_feasible_rank"", ""no_feasible_rank"", ""no_feasible_rank"", """", ""no_feasible_rank""]"
mouse_lung_tms_10x,configs/mouse_lung_tms_10x.yaml,43,0.01,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed43_vein_endothelial_cell_rare1pct,adaptive_sep_gate,1.0977409329134968,success,0.0,0.43478260869565216,0.29411764705882354,0.8333333333333334,0.43478260869565216,15,3,18,0.0022796352583586625,False,False,,1,28,18,adaptive_audit,True,oof_audit_passed,5.0,5.0,5.0,55.0,0.03508771929824561,0.46153846153846156,0.42645074224021595,0.3098368402399485,0.4266666666666667,0.536644900350592,4.0,0.002617801047120419,0.006711851503755214,"[1, 1, 1, 1, 1]","["""", """", """", """", """"]"
mouse_lung_tms_10x,configs/mouse_lung_tms_10x.yaml,43,0.05,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed43_vein_endothelial_cell_rare5pct,adaptive_sep_gate,1.1049478186428947,success,0.0,0.5945945945945946,0.43137254901960786,0.9565217391304348,0.5945945945945946,22,1,23,0.0007598784194528875,False,False,,1,28,23,adaptive_audit,True,oof_audit_passed,5.0,5.0,5.0,56.0,0.0,0.5679012345679012,0.5679012345679012,0.4473684210526316,0.5641025641025641,0.6741573033707865,2.0,0.0013089005235602095,0.004760053505988308,"[1, 1, 1, 1, 1]","["""", """", """", """", """"]"
mouse_lung_tms_10x,configs/mouse_lung_tms_10x.yaml,43,0.10,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed43_vein_endothelial_cell_rare10pct,adaptive_sep_gate,1.2438605785387364,success,0.0,0.7441860465116279,0.6274509803921569,0.9142857142857143,0.7441860465116279,32,3,35,0.0022796352583586625,False,False,,1,39,35,adaptive_audit,True,oof_audit_passed,5.0,5.0,5.0,48.0,0.25,0.723404255319149,0.473404255319149,0.3520006490609124,0.4732612674445207,0.5982123655913978,4.0,0.002617801047120419,0.006711851503755214,"[1, 1, 1, 1, 1]","["""", """", """", """", """"]"
mouse_lung_tms_10x,configs/mouse_lung_tms_10x.yaml,43,all,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed43_vein_endothelial_cell_rareall,adaptive_sep_gate,1.2406961329842556,success,0.7872340425531915,0.7872340425531915,0.7254901960784313,0.8604651162790697,0.0,0,0,0,0.0,False,True,adaptive_audit_failed,0,0,0,adaptive_audit,False,failed:gain,5.0,5.0,5.0,14.0,0.84,0.8703703703703703,0.03037037037037038,-0.013692439786906607,0.030326864462147107,0.07892221535078679,3.0,0.001963350785340314,0.005756761102269409,"[1, 1, 1, 1, 1]","["""", """", """", """", """"]"
mouse_lung_tms_10x,configs/mouse_lung_tms_10x.yaml,44,0.01,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed44_vein_endothelial_cell_rare1pct,adaptive_sep_gate,1.5318534251918745,success,0.0,0.3492063492063492,0.21568627450980393,0.9166666666666666,0.3492063492063492,11,1,12,0.0007598784194528875,False,False,,1,13,12,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,56.0,,,,,,,0.0,,,[],[]
mouse_lung_tms_10x,configs/mouse_lung_tms_10x.yaml,44,0.05,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed44_vein_endothelial_cell_rare5pct,adaptive_sep_gate,1.4965780934401962,success,0.038461538461538464,0.4927536231884058,0.3333333333333333,0.9444444444444444,0.45429208472686733,16,1,17,0.0007598784194528875,False,False,,1,22,17,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,54.0,,,,,,,0.0,,,[],[]
mouse_lung_tms_10x,configs/mouse_lung_tms_10x.yaml,44,0.10,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed44_vein_endothelial_cell_rare10pct,adaptive_sep_gate,1.1494793580400469,success,0.5217391304347826,0.7380952380952381,0.6078431372549019,0.9393939393939394,0.21635610766045554,13,2,15,0.001519756838905775,False,False,,1,16,15,adaptive_audit,True,oof_audit_passed,5.0,5.0,5.0,37.0,0.5066666666666667,0.7472527472527473,0.24058608058608055,0.14509651509262855,0.23964165733482645,0.34275721364033807,1.0,0.0006544502617801048,0.0036979162068947473,"[1, 1, 1, 1, 1]","["""", """", """", """", """"]"
mouse_lung_tms_10x,configs/mouse_lung_tms_10x.yaml,44,all,vein endothelial cell,batch_heldout,outputs\mouse_lung_tms_10x\batch_heldout_seed44_vein_endothelial_cell_rareall,adaptive_sep_gate,1.3019072397755551,success,0.8076923076923077,0.8037383177570093,0.8431372549019608,0.7678571428571429,-0.003953989935298385,1,2,3,0.001519756838905775,False,False,,1,3,3,fixed_pass,True,fixed_s_gate_passed,5.0,0.0,0.0,6.0,,,,,,,0.0,,,[],[]
