dataset,seed,rare_train_size,separability,original_pass,n_repeats,pass_count,pass_rate,stability_band,consistent_with_frozen,reason_counts,active_folds_min,active_folds_median,active_folds_max,wilson_ucb_min,wilson_ucb_q05,wilson_ucb_median,wilson_ucb_q95,wilson_ucb_max,delta_f1_lcb_min,delta_f1_lcb_q05,delta_f1_lcb_median,delta_f1_lcb_q95,delta_f1_lcb_max
mouse_lung_tms_10x,42,0.05,1.1875598337377935,True,20,20,1.0,stable_pass,True,"{""oof_audit_passed"": 20}",5,5.0,5,0.0036979162068947473,0.0036979162068947473,0.0036979162068947473,0.0036979162068947473,0.0036979162068947473,0.43101604388865405,0.43627322017956255,0.4438526114446628,0.4584187742082479,0.4584187742082479
mouse_lung_tms_10x,42,all,1.2083994033024412,False,20,0,0.0,stable_reject,True,"{""failed:active_folds,gain"": 20}",0,1.0,2,0.0025078310968967023,0.0025078310968967023,0.005756761102269409,0.008584996603887769,0.009426320308398996,-0.06995938593082,-0.055335132133703856,-0.030206484685950014,0.0,0.0
mouse_lung_tms_10x,43,0.01,1.0977409329134968,True,20,20,1.0,stable_pass,True,"{""oof_audit_passed"": 20}",5,5.0,5,0.005756761102269409,0.005756761102269409,0.005756761102269409,0.006711851503755214,0.006711851503755214,0.3013698630136986,0.30249959078867916,0.3089750465931182,0.32888424031330493,0.33110946380034595
mouse_lung_tms_10x,43,0.05,1.1049478186428947,True,20,20,1.0,stable_pass,True,"{""oof_audit_passed"": 20}",5,5.0,5,0.004760053505988308,0.004760053505988308,0.004760053505988308,0.004760053505988308,0.004760053505988308,0.4473684210526316,0.4498684210526316,0.4533333333333333,0.47368421052631576,0.47368421052631576
mouse_lung_tms_10x,43,0.10,1.2438605785387364,True,20,20,1.0,stable_pass,True,"{""oof_audit_passed"": 20}",5,5.0,5,0.005756761102269409,0.006664096983680924,0.006711851503755214,0.006711851503755214,0.006711851503755214,0.35033775048480936,0.35276491704081697,0.3667109409148751,0.3732498977369015,0.37490814716451243
mouse_lung_tms_10x,43,all,1.2406961329842556,False,20,0,0.0,stable_reject,True,"{""failed:gain"": 20}",5,5.0,5,0.005756761102269409,0.005756761102269409,0.005756761102269409,0.006711851503755214,0.006711851503755214,-0.022622812765859635,-0.022544004849397975,-0.013546830054733939,-0.011867800529813278,-0.011481884722139535
mouse_lung_tms_10x,44,0.10,1.1494793580400469,True,20,20,1.0,stable_pass,True,"{""oof_audit_passed"": 20}",5,5.0,5,0.0036979162068947473,0.0036979162068947473,0.0036979162068947473,0.0036979162068947473,0.0036979162068947473,0.14467161471218867,0.14507527007360657,0.14878120980054257,0.15437552313880892,0.1549985594929415
pancreas_baron,42,all,1.159680349882819,False,20,0,0.0,stable_reject,True,"{""failed:active_folds,gain"": 20}",0,1.0,2,0.0030884961557806076,0.005723249992506786,0.007677100470812466,0.00940459827509653,0.00940459827509653,-0.054555229716520055,-0.05271661321380814,-0.04073433687480828,-0.025204749600098435,0.0
pancreas_baron,43,0.01,1.1244837226660471,True,20,20,1.0,stable_pass,True,"{""oof_audit_passed"": 20}",3,4.0,5,0.0070891437534947145,0.0070891437534947145,0.0070891437534947145,0.008265057188130219,0.008265057188130219,0.2501779026217229,0.261066525001216,0.347787474974975,0.43854946569722786,0.44604073884571255
pancreas_baron,43,0.05,1.1244837226660471,True,20,20,1.0,stable_pass,True,"{""oof_audit_passed"": 20}",3,4.0,5,0.0070891437534947145,0.0070891437534947145,0.008265057188130219,0.008265057188130219,0.008265057188130219,0.2351852733385834,0.2600428581064702,0.3711726350026404,0.4461609717198758,0.4546153846153846
pancreas_baron,43,all,1.1218329740371191,False,20,0,0.0,stable_reject,True,"{""val_missed=2 < 3"": 20}",0,0.0,0,,,,,,,,,,
pancreas_baron,44,0.01,1.221958717366858,False,20,0,0.0,stable_reject,True,"{""failed:active_folds"": 4, ""failed:active_folds,gain"": 16}",0,1.0,2,0.0030884961557806076,0.0030884961557806076,0.0070891437534947145,0.00940459827509653,0.00940459827509653,-0.04155844155844157,-0.03603812332069614,-0.011264458208935436,0.01026079663315557,0.015215932663111154
pancreas_baron,44,0.05,1.221958717366858,False,20,0,0.0,stable_reject,True,"{""failed:active_folds,gain"": 20}",0,1.0,1,0.0030884961557806076,0.0030884961557806076,0.005861921247071321,0.0070891437534947145,0.0070891437534947145,-0.034411489227510215,-0.028614685703549567,-0.010283053315075674,0.0,0.0
pancreas_baron,44,0.10,1.1240523770949333,False,20,0,0.0,stable_reject,True,"{""failed:active_folds,gain"": 6, ""failed:gain"": 14}",1,3.0,4,0.0045540488990874544,0.0045540488990874544,0.007677100470812466,0.008265057188130219,0.008265057188130219,-0.05319912446605936,-0.05292131407437174,-0.04670767828662564,-0.021591372331634617,-0.021494009866102948
pancreas_baron,44,all,1.0929299673770752,False,20,0,0.0,stable_reject,True,"{""val_missed=2 < 3"": 20}",0,0.0,0,,,,,,,,,,
