dataset,rare_train_size,method,n_ok,f1_mean,f1_std,rec_mean,rec_std,fp_rate_max
immune_dc,0.01,scANVI,3,0.0,0.0,0.0,0.0,0.0
immune_dc,0.01,kNN,3,0.4786,0.0371,0.3154,0.0326,0.0
immune_dc,0.01,CellTypist,3,0.26,0.0684,0.1513,0.0463,0.0
immune_dc,0.01,scBalance,3,0.16,0.0266,0.0872,0.0158,0.0
immune_dc,0.01,ProtoCloud,3,0.1373,0.0459,0.0744,0.0261,0.0
immune_dc,0.01,HiCat,3,0.0051,0.0072,0.0026,0.0036,0.0
immune_dc,0.01,scCAD,3,0.0,0.0,0.0,0.0,0.012825
immune_dc,0.01,TOSICA,3,0.5826,0.0335,0.459,0.0181,0.006995
immune_dc,0.01,scRareRefine,3,0.927,0.0183,0.8667,0.0322,0.000167
immune_dc,0.05,scANVI,3,0.8711,0.0231,0.7744,0.0368,0.000167
immune_dc,0.05,kNN,3,0.8172,0.0329,0.6923,0.0474,0.0
immune_dc,0.05,CellTypist,3,0.5598,0.0388,0.3898,0.0368,0.0
immune_dc,0.05,scBalance,3,0.5083,0.0681,0.3436,0.0629,0.0
immune_dc,0.05,ProtoCloud,3,0.4939,0.0216,0.3282,0.0192,0.0
immune_dc,0.05,HiCat,3,0.1909,0.2021,0.1205,0.1342,0.0
immune_dc,0.05,scCAD,3,0.6871,0.0623,0.7744,0.0368,0.012825
immune_dc,0.05,TOSICA,3,0.4297,0.0189,0.3051,0.0297,0.003831
immune_dc,0.05,scRareRefine,3,0.9403,0.0025,0.9077,0.0109,0.000999
immune_dc,0.10,scANVI,3,0.9105,0.0217,0.8384,0.0332,0.000167
immune_dc,0.10,kNN,3,0.8609,0.0207,0.7564,0.0322,0.0
immune_dc,0.10,CellTypist,3,0.783,0.0117,0.6436,0.0158,0.0
immune_dc,0.10,scBalance,3,0.7517,0.0199,0.6026,0.0254,0.0
immune_dc,0.10,ProtoCloud,3,0.7356,0.0153,0.582,0.0192,0.0
immune_dc,0.10,HiCat,3,0.2689,0.3278,0.2051,0.263,0.0
immune_dc,0.10,scCAD,3,0.7233,0.0613,0.8384,0.0332,0.012991
immune_dc,0.10,TOSICA,3,0.6004,0.089,0.4436,0.0853,0.000833
immune_dc,0.10,scRareRefine,3,0.9431,0.012,0.9154,0.0218,0.000833
immune_dc,all,scANVI,3,0.9443,0.0036,0.9128,0.0096,0.0005
immune_dc,all,kNN,3,0.9407,0.004,0.8949,0.0096,0.000333
immune_dc,all,CellTypist,3,0.9524,0.0,0.9231,0.0,0.000333
immune_dc,all,scBalance,3,0.9411,0.0136,0.9026,0.0202,0.0005
immune_dc,all,ProtoCloud,3,0.9331,0.0181,0.8821,0.0368,0.000333
immune_dc,all,HiCat,3,0.8874,0.0315,0.8077,0.0575,0.0005
immune_dc,all,scCAD,3,0.7569,0.0473,0.9128,0.0096,0.013158
immune_dc,all,TOSICA,3,0.8784,0.0,0.8615,0.0,0.002165
immune_dc,all,scRareRefine,3,0.9468,0.0084,0.9334,0.0036,0.001499
pancreas_baron,0.01,scANVI,3,0.3829,0.208,0.2597,0.1782,0.0
pancreas_baron,0.01,kNN,3,0.3784,0.1622,0.2481,0.133,0.000611
pancreas_baron,0.01,CellTypist,3,0.0669,0.0311,0.0349,0.0165,0.0
pancreas_baron,0.01,scBalance,3,0.1495,0.0424,0.0814,0.0251,0.0
pancreas_baron,0.01,ProtoCloud,3,0.2034,0.038,0.1163,0.0251,0.001832
pancreas_baron,0.01,HiCat,3,0.0077,0.0108,0.0039,0.0055,0.0
pancreas_baron,0.01,scCAD,3,0.2577,0.1329,0.2597,0.1782,0.041514
pancreas_baron,0.01,TOSICA,3,0.0,0.0,0.0,0.0,0.001221
pancreas_baron,0.01,scRareRefine,3,0.5667,0.2313,0.469,0.2534,0.009768
pancreas_baron,0.05,scANVI,3,0.3829,0.208,0.2597,0.1782,0.0
pancreas_baron,0.05,kNN,3,0.3784,0.1622,0.2481,0.133,0.000611
pancreas_baron,0.05,CellTypist,3,0.0669,0.0311,0.0349,0.0165,0.0
pancreas_baron,0.05,scBalance,3,0.1075,0.068,0.0581,0.038,0.0
pancreas_baron,0.05,ProtoCloud,3,0.2034,0.038,0.1163,0.0251,0.001832
pancreas_baron,0.05,HiCat,3,0.0,0.0,0.0,0.0,0.0
pancreas_baron,0.05,scCAD,3,0.2577,0.1329,0.2597,0.1782,0.041514
pancreas_baron,0.05,TOSICA,3,0.0,0.0,0.0,0.0,0.001221
pancreas_baron,0.05,scRareRefine,3,0.5667,0.2313,0.469,0.2534,0.009768
pancreas_baron,0.10,scANVI,3,0.82,0.0479,0.7171,0.0767,0.001832
pancreas_baron,0.10,kNN,3,0.6317,0.1623,0.4884,0.1712,0.001221
pancreas_baron,0.10,CellTypist,3,0.6277,0.1256,0.469,0.1264,0.0
pancreas_baron,0.10,scBalance,3,0.7233,0.1281,0.5814,0.1483,0.0
pancreas_baron,0.10,ProtoCloud,3,0.6613,0.166,0.5233,0.1833,0.001221
pancreas_baron,0.10,HiCat,3,0.0953,0.0362,0.0504,0.0197,0.0
pancreas_baron,0.10,scCAD,3,0.6135,0.0605,0.7171,0.0767,0.043346
