dataset,rts,n_seed,n_labeled_rare(by_seed),our_f1_mean,our_f1_std,n_others,n_beat,n_tie,win_most,is_best,collapse_group
immune_dc,0.01,3,5/5/5,0.927,0.0183,8,8,0,True,True,
immune_dc,0.05,3,13/13/13,0.9403,0.0025,8,8,0,True,True,
immune_dc,0.10,3,27/27/27,0.9431,0.012,8,8,0,True,True,
mouse_lung_tms_10x,0.01,3,5/5/5,0.1969,0.146,8,8,0,True,True,
mouse_lung_tms_10x,0.05,3,10/10/10,0.1643,0.2323,8,8,0,True,True,
mouse_lung_tms_10x,0.10,3,21/21/21,0.4097,0.2994,8,8,0,True,True,
mouse_pancreas_tms_10x,0.01,3,5/5/5,0.8103,0.0973,8,8,0,True,True,
mouse_pancreas_tms_10x,0.05,3,8/8/8,0.9127,0.0287,8,8,0,True,True,
mouse_pancreas_tms_10x,0.10,3,17/17/17,0.9202,0.0097,8,8,0,True,True,
pancreas_baron,0.01,3,5/5/5,0.5667,0.2313,8,8,0,True,True,0.01|0.05
pancreas_baron,0.05,3,5/5/5,0.5667,0.2313,8,8,0,True,True,0.01|0.05
pancreas_baron,0.10,3,10/10/10,0.8425,0.032,8,8,0,True,True,
pancreas_integrated,0.01,3,5/5/5,1.0,0.0,8,8,0,True,True,
pancreas_integrated,0.05,3,12/12/12,1.0,0.0,8,7,1,True,True,
pancreas_integrated,0.10,3,24/24/24,0.9929,0.01,8,7,1,True,True,
tabula_lung_endo,0.01,3,5/5/5,0.982,0.0037,8,8,0,True,True,
tabula_lung_endo,0.05,3,10/10/10,0.9776,0.012,8,8,0,True,True,
tabula_lung_endo,0.10,3,20/20/20,0.9694,0.0062,8,7,1,True,True,
tabula_sapiens_stomach,0.01,3,5/5/5,0.7191,0.0216,8,8,0,True,True,0.01|0.05|0.10
tabula_sapiens_stomach,0.05,3,5/5/5,0.7191,0.0216,8,8,0,True,True,0.01|0.05|0.10
tabula_sapiens_stomach,0.10,3,5/5/5,0.7191,0.0216,8,8,0,True,True,0.01|0.05|0.10
tabula_small_intestine,0.01,3,5/5/5,0.9774,0.0,8,7,1,True,True,
tabula_small_intestine,0.05,3,15/15/15,0.9799,0.0035,8,7,1,True,True,
tabula_small_intestine,0.10,3,31/31/31,0.9823,0.0035,8,6,1,True,False,
