region,analysis,baseline,dataset,dataset_effect,n_within_dataset_pairs
ALL rts (8ds x 4rts x 3seed),nominal_budget,scANVI,immune_dc,0.2578333333333333,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,scANVI,mouse_lung_tms_10x,0.11033333333333334,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,scANVI,mouse_pancreas_tms_10x,0.096275,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,scANVI,pancreas_baron,0.09755833333333334,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,scANVI,pancreas_integrated,0.08333333333333333,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,scANVI,tabula_lung_endo,0.195975,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,scANVI,tabula_sapiens_stomach,0.12442500000000001,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,scANVI,tabula_small_intestine,0.0,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,kNN,immune_dc,0.16491666666666663,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,kNN,mouse_lung_tms_10x,0.07686666666666665,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,kNN,mouse_pancreas_tms_10x,0.042625,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,kNN,pancreas_baron,0.1459,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,kNN,pancreas_integrated,0.011291666666666672,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,kNN,tabula_lung_endo,0.03933333333333334,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,kNN,tabula_sapiens_stomach,0.3780416666666666,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,kNN,tabula_small_intestine,0.0014500000000000253,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,CellTypist,immune_dc,0.30046666666666666,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,CellTypist,mouse_lung_tms_10x,0.13146666666666665,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,CellTypist,mouse_pancreas_tms_10x,0.23914166666666667,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,CellTypist,pancreas_baron,0.28565833333333335,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,CellTypist,pancreas_integrated,0.010649999999999993,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,CellTypist,tabula_lung_endo,0.30226666666666663,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,CellTypist,tabula_sapiens_stomach,0.14606666666666665,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,CellTypist,tabula_small_intestine,0.01975833333333336,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,scBalance,immune_dc,0.3490416666666667,12
ALL rts (8ds x 4rts x 3seed),nominal_budget,scBalance,mouse_lung_tms_10x,0.07717500000000001,12
