dataset,rare_class,split_mode,seed,rare_train_size,split,n_total,n_rare,n_nonrare,rare_pct_in_split,train_labeled_rare,train_unlabeled_rare,train_labeled_rare_pct_of_train_rare
immune_dc,ASDC,batch_heldout,42,0.01,train,11291,277,11014,2.45,5,272,1.81
immune_dc,ASDC,batch_heldout,42,0.01,validation,5862,115,5747,1.96,,,
immune_dc,ASDC,batch_heldout,42,0.01,test,6134,130,6004,2.12,,,
immune_dc,ASDC,batch_heldout,42,0.05,train,11291,277,11014,2.45,13,264,4.69
immune_dc,ASDC,batch_heldout,42,0.05,validation,5862,115,5747,1.96,,,
immune_dc,ASDC,batch_heldout,42,0.05,test,6134,130,6004,2.12,,,
immune_dc,ASDC,batch_heldout,42,0.10,train,11291,277,11014,2.45,27,250,9.75
immune_dc,ASDC,batch_heldout,42,0.10,validation,5862,115,5747,1.96,,,
immune_dc,ASDC,batch_heldout,42,0.10,test,6134,130,6004,2.12,,,
immune_dc,ASDC,batch_heldout,42,all,train,11291,277,11014,2.45,277,0,100.0
immune_dc,ASDC,batch_heldout,42,all,validation,5862,115,5747,1.96,,,
immune_dc,ASDC,batch_heldout,42,all,test,6134,130,6004,2.12,,,
immune_dc,ASDC,batch_heldout,43,0.01,train,11291,277,11014,2.45,5,272,1.81
immune_dc,ASDC,batch_heldout,43,0.01,validation,5862,115,5747,1.96,,,
immune_dc,ASDC,batch_heldout,43,0.01,test,6134,130,6004,2.12,,,
immune_dc,ASDC,batch_heldout,43,0.05,train,11291,277,11014,2.45,13,264,4.69
immune_dc,ASDC,batch_heldout,43,0.05,validation,5862,115,5747,1.96,,,
immune_dc,ASDC,batch_heldout,43,0.05,test,6134,130,6004,2.12,,,
immune_dc,ASDC,batch_heldout,43,0.10,train,11291,277,11014,2.45,27,250,9.75
immune_dc,ASDC,batch_heldout,43,0.10,validation,5862,115,5747,1.96,,,
immune_dc,ASDC,batch_heldout,43,0.10,test,6134,130,6004,2.12,,,
immune_dc,ASDC,batch_heldout,43,all,train,11291,277,11014,2.45,277,0,100.0
immune_dc,ASDC,batch_heldout,43,all,validation,5862,115,5747,1.96,,,
immune_dc,ASDC,batch_heldout,43,all,test,6134,130,6004,2.12,,,
immune_dc,ASDC,batch_heldout,44,0.01,train,11291,277,11014,2.45,5,272,1.81
immune_dc,ASDC,batch_heldout,44,0.01,validation,5862,115,5747,1.96,,,
immune_dc,ASDC,batch_heldout,44,0.01,test,6134,130,6004,2.12,,,
immune_dc,ASDC,batch_heldout,44,0.05,train,11291,277,11014,2.45,13,264,4.69
immune_dc,ASDC,batch_heldout,44,0.05,validation,5862,115,5747,1.96,,,
immune_dc,ASDC,batch_heldout,44,0.05,test,6134,130,6004,2.12,,,
immune_dc,ASDC,batch_heldout,44,0.10,train,11291,277,11014,2.45,27,250,9.75
immune_dc,ASDC,batch_heldout,44,0.10,validation,5862,115,5747,1.96,,,
immune_dc,ASDC,batch_heldout,44,0.10,test,6134,130,6004,2.12,,,
immune_dc,ASDC,batch_heldout,44,all,train,11291,277,11014,2.45,277,0,100.0
immune_dc,ASDC,batch_heldout,44,all,validation,5862,115,5747,1.96,,,
immune_dc,ASDC,batch_heldout,44,all,test,6134,130,6004,2.12,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,42,0.01,train,21585,213,21372,0.99,5,208,2.35
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,42,0.01,validation,1584,56,1528,3.54,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,42,0.01,test,1367,51,1316,3.73,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,42,0.05,train,21585,213,21372,0.99,10,203,4.69
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,42,0.05,validation,1584,56,1528,3.54,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,42,0.05,test,1367,51,1316,3.73,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,42,0.10,train,21585,213,21372,0.99,21,192,9.86
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,42,0.10,validation,1584,56,1528,3.54,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,42,0.10,test,1367,51,1316,3.73,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,42,all,train,21585,213,21372,0.99,213,0,100.0
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,42,all,validation,1584,56,1528,3.54,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,42,all,test,1367,51,1316,3.73,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,43,0.01,train,21585,213,21372,0.99,5,208,2.35
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,43,0.01,validation,1584,56,1528,3.54,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,43,0.01,test,1367,51,1316,3.73,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,43,0.05,train,21585,213,21372,0.99,10,203,4.69
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,43,0.05,validation,1584,56,1528,3.54,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,43,0.05,test,1367,51,1316,3.73,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,43,0.10,train,21585,213,21372,0.99,21,192,9.86
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,43,0.10,validation,1584,56,1528,3.54,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,43,0.10,test,1367,51,1316,3.73,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,43,all,train,21585,213,21372,0.99,213,0,100.0
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,43,all,validation,1584,56,1528,3.54,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,43,all,test,1367,51,1316,3.73,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,44,0.01,train,21585,213,21372,0.99,5,208,2.35
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,44,0.01,validation,1584,56,1528,3.54,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,44,0.01,test,1367,51,1316,3.73,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,44,0.05,train,21585,213,21372,0.99,10,203,4.69
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,44,0.05,validation,1584,56,1528,3.54,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,44,0.05,test,1367,51,1316,3.73,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,44,0.10,train,21585,213,21372,0.99,21,192,9.86
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,44,0.10,validation,1584,56,1528,3.54,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,44,0.10,test,1367,51,1316,3.73,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,44,all,train,21585,213,21372,0.99,213,0,100.0
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,44,all,validation,1584,56,1528,3.54,,,
mouse_lung_tms_10x,vein endothelial cell,batch_heldout,44,all,test,1367,51,1316,3.73,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,42,0.01,train,4821,174,4647,3.61,5,169,2.87
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,42,0.01,validation,445,27,418,6.07,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,42,0.01,test,935,71,864,7.59,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,42,0.05,train,4821,174,4647,3.61,8,166,4.6
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,42,0.05,validation,445,27,418,6.07,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,42,0.05,test,935,71,864,7.59,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,42,0.10,train,4821,174,4647,3.61,17,157,9.77
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,42,0.10,validation,445,27,418,6.07,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,42,0.10,test,935,71,864,7.59,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,42,all,train,4821,174,4647,3.61,174,0,100.0
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,42,all,validation,445,27,418,6.07,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,42,all,test,935,71,864,7.59,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,43,0.01,train,4821,174,4647,3.61,5,169,2.87
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,43,0.01,validation,445,27,418,6.07,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,43,0.01,test,935,71,864,7.59,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,43,0.05,train,4821,174,4647,3.61,8,166,4.6
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,43,0.05,validation,445,27,418,6.07,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,43,0.05,test,935,71,864,7.59,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,43,0.10,train,4821,174,4647,3.61,17,157,9.77
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,43,0.10,validation,445,27,418,6.07,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,43,0.10,test,935,71,864,7.59,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,43,all,train,4821,174,4647,3.61,174,0,100.0
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,43,all,validation,445,27,418,6.07,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,43,all,test,935,71,864,7.59,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,44,0.01,train,4821,174,4647,3.61,5,169,2.87
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,44,0.01,validation,445,27,418,6.07,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,44,0.01,test,935,71,864,7.59,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,44,0.05,train,4821,174,4647,3.61,8,166,4.6
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,44,0.05,validation,445,27,418,6.07,,,
mouse_pancreas_tms_10x,pancreatic D cell,batch_heldout,44,0.05,test,935,71,864,7.59,,,
