dataset,rare_class,rare_train_size,train_rare,train_nonrare,train_rare_pct,train_labeled_rare,train_unlabeled_rare,val_rare,val_nonrare,val_rare_pct,test_rare,test_nonrare,test_rare_pct
immune_dc,ASDC,0.01,277,11014,2.45,5,272,115,5747,1.96,130,6004,2.12
immune_dc,ASDC,0.05,277,11014,2.45,13,264,115,5747,1.96,130,6004,2.12
immune_dc,ASDC,0.10,277,11014,2.45,27,250,115,5747,1.96,130,6004,2.12
immune_dc,ASDC,all,277,11014,2.45,277,0,115,5747,1.96,130,6004,2.12
mouse_lung_tms_10x,vein endothelial cell,0.01,213,21372,0.99,5,208,56,1528,3.54,51,1316,3.73
mouse_lung_tms_10x,vein endothelial cell,0.05,213,21372,0.99,10,203,56,1528,3.54,51,1316,3.73
mouse_lung_tms_10x,vein endothelial cell,0.10,213,21372,0.99,21,192,56,1528,3.54,51,1316,3.73
mouse_lung_tms_10x,vein endothelial cell,all,213,21372,0.99,213,0,56,1528,3.54,51,1316,3.73
mouse_pancreas_tms_10x,pancreatic D cell,0.01,174,4647,3.61,5,169,27,418,6.07,71,864,7.59
mouse_pancreas_tms_10x,pancreatic D cell,0.05,174,4647,3.61,8,166,27,418,6.07,71,864,7.59
mouse_pancreas_tms_10x,pancreatic D cell,0.10,174,4647,3.61,17,157,27,418,6.07,71,864,7.59
mouse_pancreas_tms_10x,pancreatic D cell,all,174,4647,3.61,174,0,27,418,6.07,71,864,7.59
pancreas_baron,gamma,0.01,106,5436,1.91,5,101,63,1240,4.83,86,1638,4.99
pancreas_baron,gamma,0.05,106,5436,1.91,5,101,63,1240,4.83,86,1638,4.99
pancreas_baron,gamma,0.10,106,5436,1.91,10,96,63,1240,4.83,86,1638,4.99
pancreas_baron,gamma,all,106,5436,1.91,106,0,63,1240,4.83,86,1638,4.99
pancreas_integrated,endothelial,0.01,243,7693,3.06,5,238,7,1296,0.54,23,1701,1.33
pancreas_integrated,endothelial,0.05,243,7693,3.06,12,231,7,1296,0.54,23,1701,1.33
pancreas_integrated,endothelial,0.10,243,7693,3.06,24,219,7,1296,0.54,23,1701,1.33
pancreas_integrated,endothelial,all,243,7693,3.06,243,0,7,1296,0.54,23,1701,1.33
tabula_lung_endo,endothelial cell of lymphatic vessel,0.01,208,7256,2.79,5,203,34,853,3.83,65,1716,3.65
tabula_lung_endo,endothelial cell of lymphatic vessel,0.05,208,7256,2.79,10,198,34,853,3.83,65,1716,3.65
tabula_lung_endo,endothelial cell of lymphatic vessel,0.10,208,7256,2.79,20,188,34,853,3.83,65,1716,3.65
tabula_lung_endo,endothelial cell of lymphatic vessel,all,208,7256,2.79,208,0,34,853,3.83,65,1716,3.65
tabula_sapiens_stomach,mast cell,0.01,52,14225,0.36,5,47,884,8328,9.6,32,9543,0.33
tabula_sapiens_stomach,mast cell,0.05,52,14225,0.36,5,47,884,8328,9.6,32,9543,0.33
tabula_sapiens_stomach,mast cell,0.10,52,14225,0.36,5,47,884,8328,9.6,32,9543,0.33
tabula_sapiens_stomach,mast cell,all,52,14225,0.36,52,0,884,8328,9.6,32,9543,0.33
tabula_small_intestine,intestinal tuft cell,0.01,315,23967,1.3,5,310,55,9660,0.57,65,6288,1.02
tabula_small_intestine,intestinal tuft cell,0.05,315,23967,1.3,15,300,55,9660,0.57,65,6288,1.02
tabula_small_intestine,intestinal tuft cell,0.10,315,23967,1.3,31,284,55,9660,0.57,65,6288,1.02
tabula_small_intestine,intestinal tuft cell,all,315,23967,1.3,315,0,55,9660,0.57,65,6288,1.02
