dataset,rare_class,rare_train_size,train_rare,train_nonrare,train_labeled_rare,train_unlabeled_rare,train_labeled_rare_pct,val_rare,val_nonrare,test_rare,test_nonrare
immune_dc,ASDC,0.01,277,11014,5,272,1.81,115,5747,130,6004
immune_dc,ASDC,0.05,277,11014,13,264,4.69,115,5747,130,6004
immune_dc,ASDC,0.10,277,11014,27,250,9.75,115,5747,130,6004
immune_dc,ASDC,all,277,11014,277,0,100.0,115,5747,130,6004
mouse_lung_tms_10x,vein endothelial cell,0.01,213,21372,5,208,2.35,56,1528,51,1316
mouse_lung_tms_10x,vein endothelial cell,0.05,213,21372,10,203,4.69,56,1528,51,1316
mouse_lung_tms_10x,vein endothelial cell,0.10,213,21372,21,192,9.86,56,1528,51,1316
mouse_lung_tms_10x,vein endothelial cell,all,213,21372,213,0,100.0,56,1528,51,1316
mouse_pancreas_tms_10x,pancreatic D cell,0.01,174,4647,5,169,2.87,27,418,71,864
mouse_pancreas_tms_10x,pancreatic D cell,0.05,174,4647,8,166,4.6,27,418,71,864
mouse_pancreas_tms_10x,pancreatic D cell,0.10,174,4647,17,157,9.77,27,418,71,864
mouse_pancreas_tms_10x,pancreatic D cell,all,174,4647,174,0,100.0,27,418,71,864
pancreas_baron,gamma,0.01,106,5436,5,101,4.72,63,1240,86,1638
pancreas_baron,gamma,0.05,106,5436,5,101,4.72,63,1240,86,1638
pancreas_baron,gamma,0.10,106,5436,10,96,9.43,63,1240,86,1638
pancreas_baron,gamma,all,106,5436,106,0,100.0,63,1240,86,1638
pancreas_integrated,endothelial,0.01,243,7693,5,238,2.06,7,1296,23,1701
pancreas_integrated,endothelial,0.05,243,7693,12,231,4.94,7,1296,23,1701
pancreas_integrated,endothelial,0.10,243,7693,24,219,9.88,7,1296,23,1701
pancreas_integrated,endothelial,all,243,7693,243,0,100.0,7,1296,23,1701
tabula_lung_endo,endothelial cell of lymphatic vessel,0.01,208,7256,5,203,2.4,34,853,65,1716
tabula_lung_endo,endothelial cell of lymphatic vessel,0.05,208,7256,10,198,4.81,34,853,65,1716
tabula_lung_endo,endothelial cell of lymphatic vessel,0.10,208,7256,20,188,9.62,34,853,65,1716
tabula_lung_endo,endothelial cell of lymphatic vessel,all,208,7256,208,0,100.0,34,853,65,1716
tabula_sapiens_stomach,mast cell,0.01,52,14225,5,47,9.62,884,8328,32,9543
tabula_sapiens_stomach,mast cell,0.05,52,14225,5,47,9.62,884,8328,32,9543
tabula_sapiens_stomach,mast cell,0.10,52,14225,5,47,9.62,884,8328,32,9543
tabula_sapiens_stomach,mast cell,all,52,14225,52,0,100.0,884,8328,32,9543
tabula_small_intestine,intestinal tuft cell,0.01,315,23967,5,310,1.59,55,9660,65,6288
tabula_small_intestine,intestinal tuft cell,0.05,315,23967,15,300,4.76,55,9660,65,6288
tabula_small_intestine,intestinal tuft cell,0.10,315,23967,31,284,9.84,55,9660,65,6288
tabula_small_intestine,intestinal tuft cell,all,315,23967,315,0,100.0,55,9660,65,6288
