dataset,rare_class,rare_train_size,train_labeled_rare,train_rare,train_nonrare,train_total,train_labeled_rare_over_train_total,train_labeled_rare_over_train_total_pct,val_rare,val_nonrare,test_rare,test_nonrare
immune_dc,ASDC,0.01,5,277,11014,11291,5/11291,0.0443,115,5747,130,6004
immune_dc,ASDC,0.05,13,277,11014,11291,13/11291,0.1151,115,5747,130,6004
immune_dc,ASDC,0.10,27,277,11014,11291,27/11291,0.2391,115,5747,130,6004
immune_dc,ASDC,all,277,277,11014,11291,277/11291,2.4533,115,5747,130,6004
mouse_lung_tms_10x,vein endothelial cell,0.01,5,213,21372,21585,5/21585,0.0232,56,1528,51,1316
mouse_lung_tms_10x,vein endothelial cell,0.05,10,213,21372,21585,10/21585,0.0463,56,1528,51,1316
mouse_lung_tms_10x,vein endothelial cell,0.10,21,213,21372,21585,21/21585,0.0973,56,1528,51,1316
mouse_lung_tms_10x,vein endothelial cell,all,213,213,21372,21585,213/21585,0.9868,56,1528,51,1316
mouse_pancreas_tms_10x,pancreatic D cell,0.01,5,174,4647,4821,5/4821,0.1037,27,418,71,864
mouse_pancreas_tms_10x,pancreatic D cell,0.05,8,174,4647,4821,8/4821,0.1659,27,418,71,864
mouse_pancreas_tms_10x,pancreatic D cell,0.10,17,174,4647,4821,17/4821,0.3526,27,418,71,864
mouse_pancreas_tms_10x,pancreatic D cell,all,174,174,4647,4821,174/4821,3.6092,27,418,71,864
pancreas_baron,gamma,0.01,5,106,5436,5542,5/5542,0.0902,63,1240,86,1638
pancreas_baron,gamma,0.05,5,106,5436,5542,5/5542,0.0902,63,1240,86,1638
pancreas_baron,gamma,0.10,10,106,5436,5542,10/5542,0.1804,63,1240,86,1638
pancreas_baron,gamma,all,106,106,5436,5542,106/5542,1.9127,63,1240,86,1638
pancreas_integrated,endothelial,0.01,5,243,7693,7936,5/7936,0.063,7,1296,23,1701
pancreas_integrated,endothelial,0.05,12,243,7693,7936,12/7936,0.1512,7,1296,23,1701
pancreas_integrated,endothelial,0.10,24,243,7693,7936,24/7936,0.3024,7,1296,23,1701
pancreas_integrated,endothelial,all,243,243,7693,7936,243/7936,3.062,7,1296,23,1701
tabula_lung_endo,endothelial cell of lymphatic vessel,0.01,5,208,7256,7464,5/7464,0.067,34,853,65,1716
tabula_lung_endo,endothelial cell of lymphatic vessel,0.05,10,208,7256,7464,10/7464,0.134,34,853,65,1716
tabula_lung_endo,endothelial cell of lymphatic vessel,0.10,20,208,7256,7464,20/7464,0.268,34,853,65,1716
tabula_lung_endo,endothelial cell of lymphatic vessel,all,208,208,7256,7464,208/7464,2.7867,34,853,65,1716
tabula_sapiens_stomach,mast cell,0.01,5,52,14225,14277,5/14277,0.035,884,8328,32,9543
tabula_sapiens_stomach,mast cell,0.05,5,52,14225,14277,5/14277,0.035,884,8328,32,9543
tabula_sapiens_stomach,mast cell,0.10,5,52,14225,14277,5/14277,0.035,884,8328,32,9543
tabula_sapiens_stomach,mast cell,all,52,52,14225,14277,52/14277,0.3642,884,8328,32,9543
tabula_small_intestine,intestinal tuft cell,0.01,5,315,23967,24282,5/24282,0.0206,55,9660,65,6288
tabula_small_intestine,intestinal tuft cell,0.05,15,315,23967,24282,15/24282,0.0618,55,9660,65,6288
tabula_small_intestine,intestinal tuft cell,0.10,31,315,23967,24282,31/24282,0.1277,55,9660,65,6288
tabula_small_intestine,intestinal tuft cell,all,315,315,23967,24282,315/24282,1.2973,55,9660,65,6288
