dataset,rare_class,actual_training_labeled_rare_count,n_seeds,n_seed_count_units,n_identity_runs,train_rare_pool_mean,train_rare_pool_std,train_rare_pool_min,train_rare_pool_max,validation_rare_mean,validation_rare_std,validation_rare_min,validation_rare_max,test_rare_mean,test_rare_std,test_rare_min,test_rare_max,all_split_rare_mean,all_split_rare_std,all_split_rare_min,all_split_rare_max,total_rare_supervision_mean,total_rare_supervision_std,total_rare_supervision_min,total_rare_supervision_max,training_rare_label_fraction_mean,training_rare_label_fraction_std,training_rare_label_fraction_min,training_rare_label_fraction_max,training_rare_share_of_all_split_rare_mean,training_rare_share_of_all_split_rare_std,training_rare_share_of_all_split_rare_min,training_rare_share_of_all_split_rare_max,total_supervised_rare_share_of_all_split_rare_mean,total_supervised_rare_share_of_all_split_rare_std,total_supervised_rare_share_of_all_split_rare_min,total_supervised_rare_share_of_all_split_rare_max,training_rare_label_share_of_training_cells_mean,training_rare_label_share_of_training_cells_std,training_rare_label_share_of_training_cells_min,training_rare_label_share_of_training_cells_max
immune_dc,ASDC,5,3,3,3,277.0,0.0,277.0,277.0,115.0,0.0,115.0,115.0,130.0,0.0,130.0,130.0,522.0,0.0,522.0,522.0,120.0,0.0,120.0,120.0,0.018050541516245487,0.0,0.018050541516245487,0.018050541516245487,0.009578544061302681,0.0,0.009578544061302681,0.009578544061302681,0.2298850574712644,3.3993498887762956e-17,0.22988505747126436,0.22988505747126436,0.0004428305730227614,6.639355251516202e-20,0.00044283057302276147,0.00044283057302276147
immune_dc,ASDC,13,3,3,3,277.0,0.0,277.0,277.0,115.0,0.0,115.0,115.0,130.0,0.0,130.0,130.0,522.0,0.0,522.0,522.0,128.0,0.0,128.0,128.0,0.04693140794223827,0.0,0.04693140794223827,0.04693140794223827,0.02490421455938697,0.0,0.02490421455938697,0.02490421455938697,0.24521072796934865,0.0,0.24521072796934865,0.24521072796934865,0.00115135948985918,0.0,0.00115135948985918,0.00115135948985918
immune_dc,ASDC,27,3,3,3,277.0,0.0,277.0,277.0,115.0,0.0,115.0,115.0,130.0,0.0,130.0,130.0,522.0,0.0,522.0,522.0,142.0,0.0,142.0,142.0,0.09747292418772563,0.0,0.09747292418772563,0.09747292418772563,0.05172413793103448,0.0,0.05172413793103448,0.05172413793103448,0.2720306513409962,0.0,0.2720306513409962,0.2720306513409962,0.0023912850943229123,0.0,0.0023912850943229123,0.0023912850943229123
immune_dc,ASDC,277,3,3,3,277.0,0.0,277.0,277.0,115.0,0.0,115.0,115.0,130.0,0.0,130.0,130.0,522.0,0.0,522.0,522.0,392.0,0.0,392.0,392.0,1.0,0.0,1.0,1.0,0.5306513409961686,0.0,0.5306513409961686,0.5306513409961686,0.7509578544061303,0.0,0.7509578544061303,0.7509578544061303,0.024532813745460985,0.0,0.024532813745460985,0.024532813745460985
pancreas_baron,gamma,5,3,3,3,106.0,0.0,106.0,106.0,63.0,0.0,63.0,63.0,86.0,0.0,86.0,86.0,255.0,0.0,255.0,255.0,68.0,0.0,68.0,68.0,0.04716981132075473,8.498374721940739e-18,0.04716981132075472,0.04716981132075472,0.0196078431372549,0.0,0.0196078431372549,0.0196078431372549,0.26666666666666666,0.0,0.26666666666666666,0.26666666666666666,0.0009022013713460845,0.0,0.0009022013713460845,0.0009022013713460845
pancreas_baron,gamma,10,3,3,3,106.0,0.0,106.0,106.0,63.0,0.0,63.0,63.0,86.0,0.0,86.0,86.0,255.0,0.0,255.0,255.0,73.0,0.0,73.0,73.0,0.09433962264150945,1.6996749443881478e-17,0.09433962264150944,0.09433962264150944,0.0392156862745098,0.0,0.0392156862745098,0.0392156862745098,0.28627450980392155,0.0,0.28627450980392155,0.28627450980392155,0.001804402742692169,0.0,0.001804402742692169,0.001804402742692169
pancreas_baron,gamma,106,3,3,3,106.0,0.0,106.0,106.0,63.0,0.0,63.0,63.0,86.0,0.0,86.0,86.0,255.0,0.0,255.0,255.0,169.0,0.0,169.0,169.0,1.0,0.0,1.0,1.0,0.41568627450980394,0.0,0.41568627450980394,0.41568627450980394,0.6627450980392157,0.0,0.6627450980392157,0.6627450980392157,0.01912666907253699,0.0,0.01912666907253699,0.01912666907253699
pancreas_integrated,endothelial,5,3,3,3,243.0,0.0,243.0,243.0,7.0,0.0,7.0,7.0,23.0,0.0,23.0,23.0,273.0,0.0,273.0,273.0,12.0,0.0,12.0,12.0,0.0205761316872428,0.0,0.0205761316872428,0.0205761316872428,0.018315018315018316,0.0,0.018315018315018316,0.018315018315018316,0.04395604395604396,0.0,0.04395604395604396,0.04395604395604396,0.0006300403225806451,0.0,0.0006300403225806451,0.0006300403225806451
pancreas_integrated,endothelial,12,3,3,3,243.0,0.0,243.0,243.0,7.0,0.0,7.0,7.0,23.0,0.0,23.0,23.0,273.0,0.0,273.0,273.0,19.0,0.0,19.0,19.0,0.04938271604938271,0.0,0.04938271604938271,0.04938271604938271,0.04395604395604396,0.0,0.04395604395604396,0.04395604395604396,0.0695970695970696,0.0,0.0695970695970696,0.0695970695970696,0.0015120967741935481,2.655742100606481e-19,0.0015120967741935483,0.0015120967741935483
pancreas_integrated,endothelial,24,3,3,3,243.0,0.0,243.0,243.0,7.0,0.0,7.0,7.0,23.0,0.0,23.0,23.0,273.0,0.0,273.0,273.0,31.0,0.0,31.0,31.0,0.09876543209876543,0.0,0.09876543209876543,0.09876543209876543,0.08791208791208792,0.0,0.08791208791208792,0.08791208791208792,0.11355311355311355,0.0,0.11355311355311355,0.11355311355311355,0.0030241935483870963,5.311484201212962e-19,0.0030241935483870967,0.0030241935483870967
