dataset,rare_train_size,method,n_seed,f1_mean,f1_std,rec_mean,ffr_max,fp_rate_max
immune_dc,0.01,kNN,3,0.4786,0.0371,0.3154,0.0,0.0
immune_dc,0.01,scANVI,3,0.0,0.0,0.0,0.0,0.0
immune_dc,0.01,scRareRefine,3,0.927,0.0183,0.8667,0.000167,0.000167
immune_dc,0.05,kNN,3,0.8172,0.0329,0.6923,0.0,0.0
immune_dc,0.05,scANVI,3,0.8711,0.0231,0.7744,0.0,0.000167
immune_dc,0.05,scRareRefine,3,0.9403,0.0025,0.9077,0.000833,0.000999
immune_dc,0.10,kNN,3,0.8609,0.0207,0.7564,0.0,0.0
immune_dc,0.10,scANVI,3,0.9105,0.0217,0.8384,0.0,0.000167
immune_dc,0.10,scRareRefine,3,0.9431,0.012,0.9154,0.000833,0.000833
immune_dc,all,kNN,3,0.9407,0.004,0.8949,0.0,0.000333
immune_dc,all,scANVI,3,0.9443,0.0036,0.9128,0.0,0.0005
immune_dc,all,scRareRefine,3,0.9468,0.0084,0.9334,0.000999,0.001499
pancreas_baron,0.01,kNN,3,0.3784,0.1622,0.2481,0.000611,0.000611
pancreas_baron,0.01,scANVI,3,0.3829,0.208,0.2597,0.0,0.0
pancreas_baron,0.01,scRareRefine,3,0.5667,0.2313,0.469,0.009768,0.009768
pancreas_baron,0.05,kNN,3,0.3784,0.1622,0.2481,0.000611,0.000611
pancreas_baron,0.05,scANVI,3,0.3829,0.208,0.2597,0.0,0.0
pancreas_baron,0.05,scRareRefine,3,0.5667,0.2313,0.469,0.009768,0.009768
pancreas_baron,0.10,kNN,3,0.6317,0.1623,0.4884,0.0,0.001221
pancreas_baron,0.10,scANVI,3,0.82,0.0479,0.7171,0.0,0.001832
pancreas_baron,0.10,scRareRefine,3,0.8425,0.032,0.7791,0.004884,0.006716
pancreas_baron,all,kNN,3,0.915,0.0008,0.9186,0.003663,0.006716
pancreas_baron,all,scANVI,3,0.9112,0.0105,0.8953,0.0,0.005495
pancreas_baron,all,scRareRefine,3,0.9112,0.0105,0.8953,0.0,0.005495
pancreas_integrated,0.01,kNN,3,0.9693,0.0291,0.942,0.0,0.0
pancreas_integrated,0.01,scANVI,3,0.6667,0.4714,0.6667,0.0,0.0
pancreas_integrated,0.01,scRareRefine,3,1.0,0.0,1.0,0.0,0.0
pancreas_integrated,0.05,kNN,3,0.9855,0.0103,0.9855,0.000588,0.000588
pancreas_integrated,0.05,scANVI,3,1.0,0.0,1.0,0.0,0.0
pancreas_integrated,0.05,scRareRefine,3,1.0,0.0,1.0,0.0,0.0
pancreas_integrated,0.10,kNN,3,0.9926,0.0105,0.9855,0.0,0.0
pancreas_integrated,0.10,scANVI,3,0.9929,0.01,1.0,0.0,0.000588
pancreas_integrated,0.10,scRareRefine,3,0.9929,0.01,1.0,0.0,0.000588
pancreas_integrated,all,kNN,3,0.9654,0.0188,1.0,0.000588,0.001764
pancreas_integrated,all,scANVI,3,0.9651,0.0096,1.0,0.0,0.001176
pancreas_integrated,all,scRareRefine,3,0.9651,0.0096,1.0,0.0,0.001176
tabula_lung_endo,0.01,kNN,3,0.8919,0.0118,0.8051,0.0,0.0
tabula_lung_endo,0.01,scANVI,3,0.3188,0.3232,0.241,0.0,0.0
tabula_lung_endo,0.01,scRareRefine,3,0.982,0.0037,0.9795,0.001166,0.001166
tabula_lung_endo,0.05,kNN,3,0.9256,0.0197,0.8667,0.000583,0.000583
tabula_lung_endo,0.05,scANVI,3,0.8569,0.1347,0.7795,0.0,0.000583
tabula_lung_endo,0.05,scRareRefine,3,0.9776,0.012,1.0,0.002331,0.002914
tabula_lung_endo,0.10,kNN,3,0.9519,0.0065,0.9128,0.0,0.000583
tabula_lung_endo,0.10,scANVI,3,0.9694,0.0062,0.9743,0.0,0.001748
tabula_lung_endo,0.10,scRareRefine,3,0.9694,0.0062,0.9743,0.0,0.001748
tabula_lung_endo,all,kNN,3,0.9794,0.0037,0.9743,0.0,0.001166
tabula_lung_endo,all,scANVI,3,0.9771,0.0064,0.9897,0.0,0.001748
tabula_lung_endo,all,scRareRefine,3,0.9771,0.0064,0.9897,0.0,0.001748
tabula_sapiens_stomach,0.01,kNN,3,0.2846,0.0441,0.1667,0.0,0.0
tabula_sapiens_stomach,0.01,scANVI,3,0.607,0.0495,0.4479,0.0,0.00021
tabula_sapiens_stomach,0.01,scRareRefine,3,0.7191,0.0216,0.5729,0.0,0.00021
tabula_sapiens_stomach,0.05,kNN,3,0.2846,0.0441,0.1667,0.0,0.0
tabula_sapiens_stomach,0.05,scANVI,3,0.607,0.0495,0.4479,0.0,0.00021
tabula_sapiens_stomach,0.05,scRareRefine,3,0.7191,0.0216,0.5729,0.0,0.00021
tabula_sapiens_stomach,0.10,kNN,3,0.2846,0.0441,0.1667,0.0,0.0
tabula_sapiens_stomach,0.10,scANVI,3,0.607,0.0495,0.4479,0.0,0.00021
tabula_sapiens_stomach,0.10,scRareRefine,3,0.7191,0.0216,0.5729,0.0,0.00021
tabula_sapiens_stomach,all,kNN,3,0.5111,0.0283,0.3438,0.0,0.0
tabula_sapiens_stomach,all,scANVI,3,0.5585,0.1145,0.3958,0.0,0.0
tabula_sapiens_stomach,all,scRareRefine,3,0.7197,0.0209,0.5625,0.0,0.0
tabula_small_intestine,0.01,kNN,3,0.9744,0.0074,0.9795,0.0,0.000318
tabula_small_intestine,0.01,scANVI,3,0.9774,0.0,1.0,0.0,0.000477
tabula_small_intestine,0.01,scRareRefine,3,0.9774,0.0,1.0,0.0,0.000477
tabula_small_intestine,0.05,kNN,3,0.9772,0.0001,0.9897,0.0,0.000477
tabula_small_intestine,0.05,scANVI,3,0.9799,0.0035,1.0,0.0,0.000477
tabula_small_intestine,0.05,scRareRefine,3,0.9799,0.0035,1.0,0.0,0.000477
tabula_small_intestine,0.10,kNN,3,0.9798,0.0071,0.9949,0.0,0.000477
tabula_small_intestine,0.10,scANVI,3,0.9823,0.0035,1.0,0.0,0.000477
tabula_small_intestine,0.10,scRareRefine,3,0.9823,0.0035,1.0,0.0,0.000477
tabula_small_intestine,all,kNN,3,0.9774,0.0,1.0,0.0,0.000477
tabula_small_intestine,all,scANVI,3,0.975,0.0034,1.0,0.0,0.000636
