dataset,seed,rare_train_size,method,sep,rare_f1,rare_recall,rare_precision,rare_fp_rate,rescue_ffr
immune_dc,42,0.01,scANVI,2.1126,0.0,0.0,0.0,0.0,0.0
immune_dc,42,0.01,kNN,2.1126,0.4524,0.2923,1.0,0.0,0.0
immune_dc,42,0.01,scRareRefine,2.1126,0.903,0.8231,1.0,0.0,0.0
immune_dc,42,0.05,scANVI,2.1376,0.8393,0.7231,1.0,0.0,0.0
immune_dc,42,0.05,kNN,2.1376,0.7793,0.6385,1.0,0.0,0.0
immune_dc,42,0.05,scRareRefine,2.1376,0.9435,0.9,0.9915,0.000167,0.000167
immune_dc,42,0.10,scANVI,2.1041,0.8803,0.7923,0.9904,0.000167,0.0
immune_dc,42,0.10,kNN,2.1041,0.8393,0.7231,1.0,0.0,0.0
immune_dc,42,0.10,scRareRefine,2.1041,0.9274,0.8846,0.9746,0.0005,0.000333
immune_dc,42,all,scANVI,1.7622,0.9398,0.9,0.9832,0.000333,0.0
immune_dc,42,all,kNN,1.7622,0.935,0.8846,0.9914,0.000167,0.0
immune_dc,42,all,scRareRefine,1.7622,0.9528,0.9308,0.9758,0.0005,0.000167
immune_dc,43,0.01,scANVI,2.4436,0.0,0.0,0.0,0.0,0.0
immune_dc,43,0.01,kNN,2.4436,0.5311,0.3615,1.0,0.0,0.0
immune_dc,43,0.01,scRareRefine,2.4436,0.9306,0.8769,0.9913,0.000167,0.000167
immune_dc,43,0.05,scANVI,1.9468,0.8936,0.8077,1.0,0.0,0.0
immune_dc,43,0.05,kNN,1.9468,0.8596,0.7538,1.0,0.0,0.0
immune_dc,43,0.05,scRareRefine,1.9468,0.9398,0.9,0.9832,0.000333,0.000333
immune_dc,43,0.10,scANVI,1.7472,0.93,0.8692,1.0,0.0,0.0
immune_dc,43,0.10,kNN,1.7472,0.8546,0.7462,1.0,0.0,0.0
immune_dc,43,0.10,scRareRefine,1.7472,0.9565,0.9308,0.9837,0.000333,0.000333
immune_dc,43,all,scANVI,1.9374,0.9444,0.9154,0.9754,0.0005,0.0
immune_dc,43,all,kNN,1.9374,0.944,0.9077,0.9833,0.000333,0.0
immune_dc,43,all,scRareRefine,1.9374,0.9528,0.9308,0.9758,0.0005,0.0
immune_dc,44,0.01,scANVI,2.7583,0.0,0.0,0.0,0.0,0.0
immune_dc,44,0.01,kNN,2.7583,0.4524,0.2923,1.0,0.0,0.0
immune_dc,44,0.01,scRareRefine,2.7583,0.9474,0.9,1.0,0.0,0.0
immune_dc,44,0.05,scANVI,1.6314,0.8803,0.7923,0.9904,0.000167,0.0
immune_dc,44,0.05,kNN,1.6314,0.8128,0.6846,1.0,0.0,0.0
immune_dc,44,0.05,scRareRefine,1.6314,0.9375,0.9231,0.9524,0.000999,0.000833
immune_dc,44,0.10,scANVI,1.9127,0.9212,0.8538,1.0,0.0,0.0
immune_dc,44,0.10,kNN,1.9127,0.8889,0.8,1.0,0.0,0.0
immune_dc,44,0.10,scRareRefine,1.9127,0.9453,0.9308,0.9603,0.000833,0.000833
immune_dc,44,all,scANVI,1.8292,0.9486,0.9231,0.9756,0.0005,0.0
immune_dc,44,all,kNN,1.8292,0.9431,0.8923,1.0,0.0,0.0
immune_dc,44,all,scRareRefine,1.8292,0.9349,0.9385,0.9313,0.001499,0.000999
pancreas_baron,42,0.01,scANVI,1.5213,0.2268,0.1279,1.0,0.0,0.0
pancreas_baron,42,0.01,kNN,1.5213,0.3301,0.1977,1.0,0.0,0.0
pancreas_baron,42,0.01,scRareRefine,1.5213,0.7784,0.7558,0.8025,0.009768,0.009768
pancreas_baron,42,0.05,scANVI,1.5213,0.2268,0.1279,1.0,0.0,0.0
pancreas_baron,42,0.05,kNN,1.5213,0.3301,0.1977,1.0,0.0,0.0
pancreas_baron,42,0.05,scRareRefine,1.5213,0.7784,0.7558,0.8025,0.009768,0.009768
pancreas_baron,42,0.10,scANVI,1.4422,0.7917,0.6628,0.9828,0.000611,0.0
pancreas_baron,42,0.10,kNN,1.4422,0.4074,0.2558,1.0,0.0,0.0
pancreas_baron,42,0.10,scRareRefine,1.4422,0.8158,0.7209,0.9394,0.002442,0.001832
pancreas_baron,42,all,scANVI,1.1597,0.9143,0.9302,0.8989,0.005495,0.0
pancreas_baron,42,all,kNN,1.1597,0.9162,0.9535,0.8817,0.006716,0.002442
pancreas_baron,42,all,scRareRefine,1.1597,0.9143,0.9302,0.8989,0.005495,0.0
pancreas_baron,43,0.01,scANVI,1.1245,0.2449,0.1395,1.0,0.0,0.0
pancreas_baron,43,0.01,kNN,1.1245,0.2083,0.1163,1.0,0.0,0.0
pancreas_baron,43,0.01,scRareRefine,1.1245,0.2449,0.1395,1.0,0.0,0.0
pancreas_baron,43,0.05,scANVI,1.1245,0.2449,0.1395,1.0,0.0,0.0
pancreas_baron,43,0.05,kNN,1.1245,0.2083,0.1163,1.0,0.0,0.0
pancreas_baron,43,0.05,scRareRefine,1.1245,0.2449,0.1395,1.0,0.0,0.0
pancreas_baron,43,0.10,scANVI,1.5543,0.7808,0.6628,0.95,0.001832,0.0
pancreas_baron,43,0.10,kNN,1.5543,0.7015,0.5465,0.9792,0.000611,0.0
pancreas_baron,43,0.10,scRareRefine,1.5543,0.8242,0.7907,0.8608,0.006716,0.004884
pancreas_baron,43,all,scANVI,1.1218,0.9222,0.8953,0.9506,0.002442,0.0
pancreas_baron,43,all,kNN,1.1218,0.9146,0.8721,0.9615,0.001832,0.0
pancreas_baron,43,all,scRareRefine,1.1218,0.9222,0.8953,0.9506,0.002442,0.0
pancreas_baron,44,0.01,scANVI,1.222,0.6769,0.5116,1.0,0.0,0.0
pancreas_baron,44,0.01,kNN,1.222,0.5968,0.4302,0.9737,0.000611,0.000611
pancreas_baron,44,0.01,scRareRefine,1.222,0.6769,0.5116,1.0,0.0,0.0
pancreas_baron,44,0.05,scANVI,1.222,0.6769,0.5116,1.0,0.0,0.0
pancreas_baron,44,0.05,kNN,1.222,0.5968,0.4302,0.9737,0.000611,0.000611
pancreas_baron,44,0.05,scRareRefine,1.222,0.6769,0.5116,1.0,0.0,0.0
pancreas_baron,44,0.10,scANVI,1.1241,0.8875,0.8256,0.9595,0.001832,0.0
pancreas_baron,44,0.10,kNN,1.1241,0.7862,0.6628,0.9661,0.001221,0.0
pancreas_baron,44,0.10,scRareRefine,1.1241,0.8875,0.8256,0.9595,0.001832,0.0
pancreas_baron,44,all,scANVI,1.0929,0.897,0.8605,0.9367,0.003053,0.0
pancreas_baron,44,all,kNN,1.0929,0.9143,0.9302,0.8989,0.005495,0.003663
pancreas_baron,44,all,scRareRefine,1.0929,0.897,0.8605,0.9367,0.003053,0.0
tabula_lung_endo,42,0.01,scANVI,2.3468,0.0,0.0,0.0,0.0,0.0
tabula_lung_endo,42,0.01,kNN,2.3468,0.9076,0.8308,1.0,0.0,0.0
tabula_lung_endo,42,0.01,scRareRefine,2.3468,0.9848,1.0,0.9701,0.001166,0.001166
tabula_lung_endo,42,0.05,scANVI,1.879,0.6667,0.5077,0.9706,0.000583,0.0
tabula_lung_endo,42,0.05,kNN,1.879,0.944,0.9077,0.9833,0.000583,0.000583
tabula_lung_endo,42,0.05,scRareRefine,1.879,0.963,1.0,0.9286,0.002914,0.002331
tabula_lung_endo,42,0.10,scANVI,1.6589,0.9771,0.9846,0.9697,0.001166,0.0
tabula_lung_endo,42,0.10,kNN,1.6589,0.96,0.9231,1.0,0.0,0.0
tabula_lung_endo,42,0.10,scRareRefine,1.6589,0.9771,0.9846,0.9697,0.001166,0.0
