run_dir,run_id,required_files_ok,manifest_exists,current_git_sha,manifest_dataset,manifest_dataset_path,manifest_split_mode,manifest_seed,manifest_rare_class,manifest_rare_train_size,manifest_split_hash,manifest_git_sha,manifest_n_train,manifest_n_val,manifest_n_test,cached_split_hash,split_hash_ok,git_status
outputs\immune_dc\batch_heldout_seed42_asdc_rare10pct,batch_heldout_seed42_asdc_rare10pct,True,True,91746c9,immune_dc,data/raw/human_immune_health/human_immune_health_atlas_dc.h5ad,batch_heldout,42,ASDC,0.1,33b8ce5bdff2e437,unknown,11291,5862,6134,33b8ce5bdff2e437,True,legacy_unknown
outputs\immune_dc\batch_heldout_seed42_asdc_rare1pct,batch_heldout_seed42_asdc_rare1pct,True,True,91746c9,immune_dc,data/raw/human_immune_health/human_immune_health_atlas_dc.h5ad,batch_heldout,42,ASDC,0.01,33b8ce5bdff2e437,unknown,11291,5862,6134,33b8ce5bdff2e437,True,legacy_unknown
outputs\immune_dc\batch_heldout_seed42_asdc_rare5pct,batch_heldout_seed42_asdc_rare5pct,True,True,91746c9,immune_dc,data/raw/human_immune_health/human_immune_health_atlas_dc.h5ad,batch_heldout,42,ASDC,0.05,33b8ce5bdff2e437,unknown,11291,5862,6134,33b8ce5bdff2e437,True,legacy_unknown
outputs\immune_dc\batch_heldout_seed42_asdc_rareall,batch_heldout_seed42_asdc_rareall,True,True,91746c9,immune_dc,data/raw/human_immune_health/human_immune_health_atlas_dc.h5ad,batch_heldout,42,ASDC,all,33b8ce5bdff2e437,unknown,11291,5862,6134,33b8ce5bdff2e437,True,legacy_unknown
outputs\immune_dc\batch_heldout_seed43_asdc_rare10pct,batch_heldout_seed43_asdc_rare10pct,True,True,91746c9,immune_dc,data/raw/human_immune_health/human_immune_health_atlas_dc.h5ad,batch_heldout,43,ASDC,0.1,33b8ce5bdff2e437,7a90a01,11291,5862,6134,33b8ce5bdff2e437,True,different_commit
outputs\immune_dc\batch_heldout_seed43_asdc_rare1pct,batch_heldout_seed43_asdc_rare1pct,True,True,91746c9,immune_dc,data/raw/human_immune_health/human_immune_health_atlas_dc.h5ad,batch_heldout,43,ASDC,0.01,33b8ce5bdff2e437,7a90a01,11291,5862,6134,33b8ce5bdff2e437,True,different_commit
outputs\immune_dc\batch_heldout_seed43_asdc_rare5pct,batch_heldout_seed43_asdc_rare5pct,True,True,91746c9,immune_dc,data/raw/human_immune_health/human_immune_health_atlas_dc.h5ad,batch_heldout,43,ASDC,0.05,33b8ce5bdff2e437,7a90a01,11291,5862,6134,33b8ce5bdff2e437,True,different_commit
outputs\immune_dc\batch_heldout_seed43_asdc_rareall,batch_heldout_seed43_asdc_rareall,True,True,91746c9,immune_dc,data/raw/human_immune_health/human_immune_health_atlas_dc.h5ad,batch_heldout,43,ASDC,all,33b8ce5bdff2e437,7a90a01,11291,5862,6134,33b8ce5bdff2e437,True,different_commit
outputs\immune_dc\batch_heldout_seed44_asdc_rare10pct,batch_heldout_seed44_asdc_rare10pct,True,True,91746c9,immune_dc,data/raw/human_immune_health/human_immune_health_atlas_dc.h5ad,batch_heldout,44,ASDC,0.1,33b8ce5bdff2e437,7a90a01,11291,5862,6134,33b8ce5bdff2e437,True,different_commit
outputs\immune_dc\batch_heldout_seed44_asdc_rare1pct,batch_heldout_seed44_asdc_rare1pct,True,True,91746c9,immune_dc,data/raw/human_immune_health/human_immune_health_atlas_dc.h5ad,batch_heldout,44,ASDC,0.01,33b8ce5bdff2e437,7a90a01,11291,5862,6134,33b8ce5bdff2e437,True,different_commit
outputs\immune_dc\batch_heldout_seed44_asdc_rare5pct,batch_heldout_seed44_asdc_rare5pct,True,True,91746c9,immune_dc,data/raw/human_immune_health/human_immune_health_atlas_dc.h5ad,batch_heldout,44,ASDC,0.05,33b8ce5bdff2e437,7a90a01,11291,5862,6134,33b8ce5bdff2e437,True,different_commit
outputs\immune_dc\batch_heldout_seed44_asdc_rareall,batch_heldout_seed44_asdc_rareall,True,True,91746c9,immune_dc,data/raw/human_immune_health/human_immune_health_atlas_dc.h5ad,batch_heldout,44,ASDC,all,33b8ce5bdff2e437,7a90a01,11291,5862,6134,33b8ce5bdff2e437,True,different_commit
outputs\pancreas_baron\batch_heldout_seed42_gamma_rare10pct,batch_heldout_seed42_gamma_rare10pct,True,True,91746c9,pancreas_baron,data/raw/pancreas_baron/pancreas_baron.h5ad,batch_heldout,42,gamma,0.1,507baa4fe66b76ae,unknown,5542,1303,1724,507baa4fe66b76ae,True,legacy_unknown
outputs\pancreas_baron\batch_heldout_seed42_gamma_rare1pct,batch_heldout_seed42_gamma_rare1pct,True,True,91746c9,pancreas_baron,data/raw/pancreas_baron/pancreas_baron.h5ad,batch_heldout,42,gamma,0.01,507baa4fe66b76ae,unknown,5542,1303,1724,507baa4fe66b76ae,True,legacy_unknown
outputs\pancreas_baron\batch_heldout_seed42_gamma_rare5pct,batch_heldout_seed42_gamma_rare5pct,True,True,91746c9,pancreas_baron,data/raw/pancreas_baron/pancreas_baron.h5ad,batch_heldout,42,gamma,0.05,507baa4fe66b76ae,unknown,5542,1303,1724,507baa4fe66b76ae,True,legacy_unknown
outputs\pancreas_baron\batch_heldout_seed42_gamma_rareall,batch_heldout_seed42_gamma_rareall,True,True,91746c9,pancreas_baron,data/raw/pancreas_baron/pancreas_baron.h5ad,batch_heldout,42,gamma,all,507baa4fe66b76ae,unknown,5542,1303,1724,507baa4fe66b76ae,True,legacy_unknown
outputs\pancreas_baron\batch_heldout_seed43_gamma_rare10pct,batch_heldout_seed43_gamma_rare10pct,True,True,91746c9,pancreas_baron,data/raw/pancreas_baron/pancreas_baron.h5ad,batch_heldout,43,gamma,0.1,507baa4fe66b76ae,7a90a01,5542,1303,1724,507baa4fe66b76ae,True,different_commit
outputs\pancreas_baron\batch_heldout_seed43_gamma_rare1pct,batch_heldout_seed43_gamma_rare1pct,True,True,91746c9,pancreas_baron,data/raw/pancreas_baron/pancreas_baron.h5ad,batch_heldout,43,gamma,0.01,507baa4fe66b76ae,7a90a01,5542,1303,1724,507baa4fe66b76ae,True,different_commit
outputs\pancreas_baron\batch_heldout_seed43_gamma_rare5pct,batch_heldout_seed43_gamma_rare5pct,True,True,91746c9,pancreas_baron,data/raw/pancreas_baron/pancreas_baron.h5ad,batch_heldout,43,gamma,0.05,507baa4fe66b76ae,7a90a01,5542,1303,1724,507baa4fe66b76ae,True,different_commit
outputs\pancreas_baron\batch_heldout_seed43_gamma_rareall,batch_heldout_seed43_gamma_rareall,True,True,91746c9,pancreas_baron,data/raw/pancreas_baron/pancreas_baron.h5ad,batch_heldout,43,gamma,all,507baa4fe66b76ae,7a90a01,5542,1303,1724,507baa4fe66b76ae,True,different_commit
outputs\pancreas_baron\batch_heldout_seed44_gamma_rare10pct,batch_heldout_seed44_gamma_rare10pct,True,True,91746c9,pancreas_baron,data/raw/pancreas_baron/pancreas_baron.h5ad,batch_heldout,44,gamma,0.1,507baa4fe66b76ae,7a90a01,5542,1303,1724,507baa4fe66b76ae,True,different_commit
outputs\pancreas_baron\batch_heldout_seed44_gamma_rare1pct,batch_heldout_seed44_gamma_rare1pct,True,True,91746c9,pancreas_baron,data/raw/pancreas_baron/pancreas_baron.h5ad,batch_heldout,44,gamma,0.01,507baa4fe66b76ae,7a90a01,5542,1303,1724,507baa4fe66b76ae,True,different_commit
outputs\pancreas_baron\batch_heldout_seed44_gamma_rare5pct,batch_heldout_seed44_gamma_rare5pct,True,True,91746c9,pancreas_baron,data/raw/pancreas_baron/pancreas_baron.h5ad,batch_heldout,44,gamma,0.05,507baa4fe66b76ae,7a90a01,5542,1303,1724,507baa4fe66b76ae,True,different_commit
outputs\pancreas_baron\batch_heldout_seed44_gamma_rareall,batch_heldout_seed44_gamma_rareall,True,True,91746c9,pancreas_baron,data/raw/pancreas_baron/pancreas_baron.h5ad,batch_heldout,44,gamma,all,507baa4fe66b76ae,7a90a01,5542,1303,1724,507baa4fe66b76ae,True,different_commit
outputs\pancreas_integrated\batch_heldout_seed42_endothelial_rare10pct,batch_heldout_seed42_endothelial_rare10pct,True,True,91746c9,pancreas_integrated,data/raw/human_pancreas/pancreas_integrated_clean.h5ad,batch_heldout,42,endothelial,0.1,2373a4f6ec6225a2,6a0ead9,7936,1303,1724,2373a4f6ec6225a2,True,different_commit
outputs\pancreas_integrated\batch_heldout_seed42_endothelial_rare1pct,batch_heldout_seed42_endothelial_rare1pct,True,True,91746c9,pancreas_integrated,data/raw/human_pancreas/pancreas_integrated_clean.h5ad,batch_heldout,42,endothelial,0.01,2373a4f6ec6225a2,6a0ead9,7936,1303,1724,2373a4f6ec6225a2,True,different_commit
outputs\pancreas_integrated\batch_heldout_seed42_endothelial_rare5pct,batch_heldout_seed42_endothelial_rare5pct,True,True,91746c9,pancreas_integrated,data/raw/human_pancreas/pancreas_integrated_clean.h5ad,batch_heldout,42,endothelial,0.05,2373a4f6ec6225a2,6a0ead9,7936,1303,1724,2373a4f6ec6225a2,True,different_commit
outputs\pancreas_integrated\batch_heldout_seed42_endothelial_rareall,batch_heldout_seed42_endothelial_rareall,True,True,91746c9,pancreas_integrated,data/raw/human_pancreas/pancreas_integrated_clean.h5ad,batch_heldout,42,endothelial,all,2373a4f6ec6225a2,6a0ead9,7936,1303,1724,2373a4f6ec6225a2,True,different_commit
outputs\pancreas_integrated\batch_heldout_seed43_endothelial_rare10pct,batch_heldout_seed43_endothelial_rare10pct,True,True,91746c9,pancreas_integrated,data/raw/human_pancreas/pancreas_integrated_clean.h5ad,batch_heldout,43,endothelial,0.1,2373a4f6ec6225a2,7a90a01,7936,1303,1724,2373a4f6ec6225a2,True,different_commit
outputs\pancreas_integrated\batch_heldout_seed43_endothelial_rare1pct,batch_heldout_seed43_endothelial_rare1pct,True,True,91746c9,pancreas_integrated,data/raw/human_pancreas/pancreas_integrated_clean.h5ad,batch_heldout,43,endothelial,0.01,2373a4f6ec6225a2,7a90a01,7936,1303,1724,2373a4f6ec6225a2,True,different_commit
outputs\pancreas_integrated\batch_heldout_seed43_endothelial_rare5pct,batch_heldout_seed43_endothelial_rare5pct,True,True,91746c9,pancreas_integrated,data/raw/human_pancreas/pancreas_integrated_clean.h5ad,batch_heldout,43,endothelial,0.05,2373a4f6ec6225a2,7a90a01,7936,1303,1724,2373a4f6ec6225a2,True,different_commit
outputs\pancreas_integrated\batch_heldout_seed43_endothelial_rareall,batch_heldout_seed43_endothelial_rareall,True,True,91746c9,pancreas_integrated,data/raw/human_pancreas/pancreas_integrated_clean.h5ad,batch_heldout,43,endothelial,all,2373a4f6ec6225a2,7a90a01,7936,1303,1724,2373a4f6ec6225a2,True,different_commit
outputs\pancreas_integrated\batch_heldout_seed44_endothelial_rare10pct,batch_heldout_seed44_endothelial_rare10pct,True,True,91746c9,pancreas_integrated,data/raw/human_pancreas/pancreas_integrated_clean.h5ad,batch_heldout,44,endothelial,0.1,2373a4f6ec6225a2,7a90a01,7936,1303,1724,2373a4f6ec6225a2,True,different_commit
outputs\pancreas_integrated\batch_heldout_seed44_endothelial_rare1pct,batch_heldout_seed44_endothelial_rare1pct,True,True,91746c9,pancreas_integrated,data/raw/human_pancreas/pancreas_integrated_clean.h5ad,batch_heldout,44,endothelial,0.01,2373a4f6ec6225a2,7a90a01,7936,1303,1724,2373a4f6ec6225a2,True,different_commit
outputs\pancreas_integrated\batch_heldout_seed44_endothelial_rare5pct,batch_heldout_seed44_endothelial_rare5pct,True,True,91746c9,pancreas_integrated,data/raw/human_pancreas/pancreas_integrated_clean.h5ad,batch_heldout,44,endothelial,0.05,2373a4f6ec6225a2,7a90a01,7936,1303,1724,2373a4f6ec6225a2,True,different_commit
outputs\pancreas_integrated\batch_heldout_seed44_endothelial_rareall,batch_heldout_seed44_endothelial_rareall,True,True,91746c9,pancreas_integrated,data/raw/human_pancreas/pancreas_integrated_clean.h5ad,batch_heldout,44,endothelial,all,2373a4f6ec6225a2,7a90a01,7936,1303,1724,2373a4f6ec6225a2,True,different_commit
outputs\tabula_lung_endo\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare10pct,batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare10pct,True,True,91746c9,tabula_lung_endo,data/raw/tabula_lung_endo/tabula_lung_endo.h5ad,batch_heldout,42,endothelial cell of lymphatic vessel,0.1,da9ffbdf489ba7b0,67acaa3,7464,887,1781,da9ffbdf489ba7b0,True,different_commit
outputs\tabula_lung_endo\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare1pct,batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare1pct,True,True,91746c9,tabula_lung_endo,data/raw/tabula_lung_endo/tabula_lung_endo.h5ad,batch_heldout,42,endothelial cell of lymphatic vessel,0.01,da9ffbdf489ba7b0,67acaa3,7464,887,1781,da9ffbdf489ba7b0,True,different_commit
outputs\tabula_lung_endo\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare5pct,batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rare5pct,True,True,91746c9,tabula_lung_endo,data/raw/tabula_lung_endo/tabula_lung_endo.h5ad,batch_heldout,42,endothelial cell of lymphatic vessel,0.05,da9ffbdf489ba7b0,67acaa3,7464,887,1781,da9ffbdf489ba7b0,True,different_commit
outputs\tabula_lung_endo\batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rareall,batch_heldout_seed42_endothelial_cell_of_lymphatic_vessel_rareall,True,True,91746c9,tabula_lung_endo,data/raw/tabula_lung_endo/tabula_lung_endo.h5ad,batch_heldout,42,endothelial cell of lymphatic vessel,all,da9ffbdf489ba7b0,67acaa3,7464,887,1781,da9ffbdf489ba7b0,True,different_commit
outputs\tabula_lung_endo\batch_heldout_seed43_endothelial_cell_of_lymphatic_vessel_rare10pct,batch_heldout_seed43_endothelial_cell_of_lymphatic_vessel_rare10pct,True,True,91746c9,tabula_lung_endo,data/raw/tabula_lung_endo/tabula_lung_endo.h5ad,batch_heldout,43,endothelial cell of lymphatic vessel,0.1,da9ffbdf489ba7b0,7a90a01,7464,887,1781,da9ffbdf489ba7b0,True,different_commit
