dataset,rare_class,rare_train_size,baseline_missed_rare_mean,baseline_missed_rare_std,baseline_missed_rare_min,baseline_missed_rare_max,true_rescues_mean,true_rescues_std,true_rescues_min,true_rescues_max,false_rescues_mean,false_rescues_std,false_rescues_min,false_rescues_max,all_rescues_mean,all_rescues_std,all_rescues_min,all_rescues_max,remaining_missed_rare_mean,remaining_missed_rare_std,remaining_missed_rare_min,remaining_missed_rare_max,recovery_rate_mean,recovery_rate_std,recovery_rate_min,recovery_rate_max,rescue_precision_mean,rescue_precision_std,rescue_precision_min,rescue_precision_max,rescue_fdp_mean,rescue_fdp_std,rescue_fdp_min,rescue_fdp_max,incremental_fpr_mean,incremental_fpr_std,incremental_fpr_min,incremental_fpr_max,n_seeds,n_abstain_known,n_abstain_true,n_abstain_false,n_abstain_unknown,n_current_replay,n_historical_counts_only,n_rescue_runs,n_recovery_rate_defined,n_rescue_precision_defined,n_rescue_fdp_defined
immune_dc,ASDC,0.01,130.0,0.0,130,130,112.66666666666667,5.131601439446882,107,117,0.3333333333333333,0.5773502691896258,0,1,113.0,5.291502622129181,107,117,17.333333333333332,5.131601439446884,13,23,0.8666666666666667,0.03947385722651451,0.823076923076923,0.9,0.9971014492753624,0.005020437123388013,0.991304347826087,1.0,0.002898550724637681,0.005020437123388051,0.0,0.008695652173913044,5.5518543193426606e-05,9.616093757322214e-05,0.0,0.00016655562958027982,3,3,0,3,0,3,0,3,3,3,3
immune_dc,ASDC,0.05,29.333333333333332,5.859465277082315,25,36,17.333333333333332,5.507570547286102,12,23,2.6666666666666665,2.0816659994661326,1,5,20.0,5.291502622129181,14,24,12.0,1.7320508075688772,10,13,0.5828395061728395,0.08918187311843515,0.48,0.6388888888888888,0.8627344877344877,0.09292928592715059,0.7727272727272727,0.9583333333333334,0.13726551226551226,0.09292928592715057,0.041666666666666664,0.22727272727272727,0.00044414834554741284,0.0003467131911169441,0.00016655562958027982,0.0008327781479013991,3,3,0,3,0,3,0,3,3,3,3
immune_dc,ASDC,0.10,21.0,5.291502622129181,17,27,10.0,2.0,8,12,3.0,1.7320508075688772,2,5,13.0,2.6457513110645907,10,15,11.0,3.4641016151377544,9,15,0.4804494897374154,0.04181701255016672,0.4444444444444444,0.5263157894736842,0.7746031746031745,0.09774478932279775,0.6666666666666666,0.8571428571428571,0.2253968253968254,0.09774478932279779,0.14285714285714285,0.3333333333333333,0.0004996668887408394,0.0002884828127196664,0.00033311125916055963,0.0008327781479013991,3,3,0,3,0,3,0,3,3,3,3
immune_dc,ASDC,all,11.333333333333334,1.5275252316519468,10,13,2.6666666666666665,1.1547005383792515,2,4,2.3333333333333335,3.2145502536643185,0,6,5.0,3.0,2,8,8.666666666666666,0.5773502691896255,8,9,0.22983682983682985,0.06803492634065078,0.18181818181818182,0.3076923076923077,0.6833333333333332,0.3883726732577014,0.25,1.0,0.31666666666666665,0.3883726732577015,0.0,0.75,0.0003886298023539862,0.0005354014413165086,0.0,0.000999333777481679,3,3,0,3,0,3,0,3,3,3,3
pancreas_baron,gamma,0.01,63.666666666666664,18.77054430040145,42,75,18.0,31.176914536239792,0,54,5.333333333333333,9.237604307034013,0,16,23.333333333333332,40.414518843273804,0,70,45.666666666666664,26.689573494781317,21,74,0.24,0.41569219381653055,0.0,0.72,0.7714285714285715,,0.7714285714285715,0.7714285714285715,0.22857142857142856,,0.22857142857142856,0.22857142857142856,0.003256003256003256,0.005639563069007333,0.0,0.009768009768009768,3,3,2,1,0,3,0,1,3,1,1
pancreas_baron,gamma,0.05,63.666666666666664,18.77054430040145,42,75,18.0,31.176914536239792,0,54,5.333333333333333,9.237604307034013,0,16,23.333333333333332,40.414518843273804,0,70,45.666666666666664,26.689573494781317,21,74,0.24,0.41569219381653055,0.0,0.72,0.7714285714285715,,0.7714285714285715,0.7714285714285715,0.22857142857142856,,0.22857142857142856,0.22857142857142856,0.003256003256003256,0.005639563069007333,0.0,0.009768009768009768,3,3,2,1,0,3,0,1,3,1,1
pancreas_baron,gamma,0.10,24.333333333333332,8.082903768654761,15,29,5.333333333333333,5.507570547286102,0,11,3.6666666666666665,4.041451884327381,0,8,9.0,9.539392014169456,0,19,19.0,4.58257569495584,15,24,0.1839080459770115,0.18991622576848627,0.0,0.3793103448275862,0.6019736842105263,0.03256412808095941,0.5789473684210527,0.625,0.3980263157894737,0.03256412808095941,0.375,0.42105263157894735,0.0022385022385022386,0.0024673088426907085,0.0,0.004884004884004884,3,3,1,2,0,3,0,2,3,2,2
pancreas_baron,gamma,all,9.0,3.0,6,12,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,9.0,3.0,6,12,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,3,3,3,0,0,3,0,0,3,0,0
pancreas_integrated,endothelial,0.01,7.666666666666667,13.279056191361391,0,23,7.666666666666667,13.279056191361391,0,23,0.0,0.0,0,0,7.666666666666667,13.279056191361391,0,23,0.0,0.0,0,0,1.0,,1.0,1.0,1.0,,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3,3,2,1,0,3,0,1,1,1,1
pancreas_integrated,endothelial,0.05,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3,3,3,0,0,3,0,0,0,0,0
pancreas_integrated,endothelial,0.10,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3,3,3,0,0,3,0,0,0,0,0
pancreas_integrated,endothelial,all,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3,3,3,0,0,3,0,0,0,0,0
