rare_train_size,contrast,metric,n_datasets,median_dataset_effect,q25_dataset_effect,q75_dataset_effect,dataset_direction_rate
0.01,H2_true_rescued_vs_unrescued,rare_membership_score,5,0.9710716633793557,0.9201298701298701,0.9717813051146384,1.0
0.01,H2_true_rescued_vs_unrescued,rare_rank,5,1.0,1.0,1.0,1.0
0.01,H2_true_rescued_vs_unrescued,rare_standardized_distance,5,0.8318181818181818,0.5890652557319225,0.8724523339907955,1.0
0.01,H2_true_rescued_vs_unrescued,standardized_prototype_margin,5,0.9792207792207792,0.9153439153439153,0.9886225111743194,1.0
0.01,H2_true_rescued_vs_unrescued,rare_prototype_distance,5,0.8318181818181818,0.5890652557319225,0.8724523339907955,1.0
0.01,H2_true_rescued_vs_unrescued,nearest_nonrare_distance,5,0.4564935064935065,0.4505494505494505,0.6790123456790123,0.8
0.01,H2_true_rescued_vs_unrescued,prototype_margin,5,1.0,1.0,1.0,1.0
0.01,H3a_true_rescued_vs_non_target,rare_membership_score,6,0.99976450980215,0.9982663585227687,0.9999146822307965,1.0
0.01,H3a_true_rescued_vs_non_target,rare_rank,6,0.9997267525803466,0.9994679522605054,0.9999583610926049,1.0
0.01,H3a_true_rescued_vs_non_target,rare_standardized_distance,6,0.9900725607002343,0.9844002951905687,0.997140422308437,1.0
0.01,H3a_true_rescued_vs_non_target,standardized_prototype_margin,6,0.9998162701565562,0.9994945121903271,0.9999460003056639,1.0
0.01,H3a_true_rescued_vs_non_target,rare_prototype_distance,6,0.9900725607002343,0.9844002951905687,0.997140422308437,1.0
0.01,H3a_true_rescued_vs_non_target,nearest_nonrare_distance,6,0.8143147850786958,0.7729339429567393,0.8747113093686271,1.0
0.01,H3a_true_rescued_vs_non_target,prototype_margin,6,0.9999151277227027,0.9998087087489707,0.9999934254356745,1.0
0.01,H3b_true_rescued_vs_closest_competitor,rare_membership_score,6,0.9988439735216219,0.9884359903381643,0.9998748853115356,1.0
0.01,H3b_true_rescued_vs_closest_competitor,rare_rank,6,1.0,0.9996038034865293,1.0,1.0
0.01,H3b_true_rescued_vs_closest_competitor,rare_standardized_distance,6,0.9401446264013618,0.8900950980130384,0.9947486417030963,1.0
0.01,H3b_true_rescued_vs_closest_competitor,standardized_prototype_margin,6,0.9987480303050826,0.9919498235517946,0.9999616219901482,1.0
0.01,H3b_true_rescued_vs_closest_competitor,rare_prototype_distance,6,0.9401446264013618,0.8900950980130384,0.9947486417030963,1.0
0.01,H3b_true_rescued_vs_closest_competitor,nearest_nonrare_distance,6,0.9200643090135844,0.8782436929683306,0.9397966699175098,1.0
0.01,H3b_true_rescued_vs_closest_competitor,prototype_margin,6,1.0,0.9999374426557677,1.0,1.0
0.05,H1_baseline_correct_vs_true_rescued,rare_membership_score,5,0.5733333333333333,0.5,0.7647058823529411,1.0
0.05,H1_baseline_correct_vs_true_rescued,rare_rank,5,-0.0,0.0,0.38888888888888884,0.4
0.05,H1_baseline_correct_vs_true_rescued,rare_standardized_distance,5,0.6333333333333333,0.5,0.6470588235294117,1.0
0.05,H1_baseline_correct_vs_true_rescued,standardized_prototype_margin,5,0.8945420906567993,0.52,0.9523809523809523,1.0
0.05,H1_baseline_correct_vs_true_rescued,rare_prototype_distance,5,0.6333333333333333,0.5,0.6470588235294117,1.0
0.05,H1_baseline_correct_vs_true_rescued,nearest_nonrare_distance,5,0.4444444444444444,0.16666666666666674,0.75,0.8
0.05,H1_baseline_correct_vs_true_rescued,prototype_margin,5,0.7647058823529411,0.6912878787878789,0.912118408880666,1.0
0.05,H2_true_rescued_vs_unrescued,rare_membership_score,4,0.9344200643220251,0.8870798319327731,0.9788359788359788,1.0
0.05,H2_true_rescued_vs_unrescued,rare_rank,4,1.0,0.9632352941176471,1.0,1.0
0.05,H2_true_rescued_vs_unrescued,rare_standardized_distance,4,0.711199294532628,0.5544363044363045,0.8400735294117647,1.0
0.05,H2_true_rescued_vs_unrescued,standardized_prototype_margin,4,0.9337748988484282,0.9007936507936508,0.9641544117647058,1.0
0.05,H2_true_rescued_vs_unrescued,rare_prototype_distance,4,0.711199294532628,0.5544363044363045,0.8400735294117647,1.0
