dataset,seed,rare_train_size,contrast,left_group,right_group,metric,n_left,n_right,median_left,median_right,raw_median_difference,raw_cliffs_delta,hypothesis_direction,oriented_median_difference,oriented_cliffs_delta
immune_dc,42,0.01,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,rare_membership_score,0,107,,0.19526996753816903,,,1.0,,
immune_dc,42,0.01,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,rare_rank,0,107,,1.0,,,-1.0,,
immune_dc,42,0.01,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,rare_standardized_distance,0,107,,1.8508681534403657,,,-1.0,,
immune_dc,42,0.01,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,standardized_prototype_margin,0,107,,-0.2232853977410425,,,1.0,,
immune_dc,42,0.01,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,rare_prototype_distance,0,107,,3.949102538133904,,,-1.0,,
immune_dc,42,0.01,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,nearest_nonrare_distance,0,107,,5.22764014307912,,,1.0,,
immune_dc,42,0.01,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,prototype_margin,0,107,,1.3614321322002763,,,1.0,,
immune_dc,42,0.01,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,scANVI_rare_probability,0,107,,1.1591596e-05,,,,,
immune_dc,42,0.01,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,rare_membership_score,107,23,0.19526996753816903,0.13058132525398278,0.06468864228418625,0.9544900446972775,1.0,0.06468864228418625,0.9544900446972775
immune_dc,42,0.01,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,rare_rank,107,23,1.0,2.0,-1.0,-1.0,-1.0,1.0,1.0
immune_dc,42,0.01,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,rare_standardized_distance,107,23,1.8508681534403657,2.215760983762991,-0.3648928303226253,-0.6245428687525396,-1.0,0.3648928303226253,0.6245428687525396
immune_dc,42,0.01,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,standardized_prototype_margin,107,23,-0.2232853977410425,-0.9519032422062651,0.7286178444652226,0.9886225111743194,1.0,0.7286178444652226,0.9886225111743194
immune_dc,42,0.01,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,rare_prototype_distance,107,23,3.949102538133904,4.7276556726159225,-0.7785531344820185,-0.6245428687525396,-1.0,0.7785531344820185,0.6245428687525396
immune_dc,42,0.01,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,nearest_nonrare_distance,107,23,5.22764014307912,3.831388443856505,1.3962516992226153,0.8496546119463633,1.0,1.3962516992226153,0.8496546119463633
immune_dc,42,0.01,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,prototype_margin,107,23,1.3614321322002763,-0.618354146421618,1.9797862786218943,1.0,1.0,1.9797862786218943,1.0
immune_dc,42,0.01,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,scANVI_rare_probability,107,23,1.1591596e-05,1.0475214e-07,1.148684386e-05,0.6180414465664363,,,
immune_dc,42,0.01,H3a_true_rescued_vs_non_target,true_rescued_rare,non_target,rare_membership_score,107,6004,0.19526996753816903,0.04479266524439046,0.15047730229377856,0.9998941515625097,1.0,0.15047730229377856,0.9998941515625097
immune_dc,42,0.01,H3a_true_rescued_vs_non_target,true_rescued_rare,non_target,rare_rank,107,6004,1.0,5.0,-4.0,-0.9995003331112592,-1.0,4.0,0.9995003331112592
