dataset,seed,rare_train_size,primary_group,metric,n,median,q25,q75
immune_dc,42,0.01,non_target,rare_membership_score,6004,0.04479266524439046,0.03568821010846289,0.05691034994908295
immune_dc,42,0.01,true_rescued_rare,rare_membership_score,107,0.19526996753816903,0.1729212876159652,0.22229023825812982
immune_dc,42,0.01,unrescued_rare,rare_membership_score,23,0.13058132525398278,0.10286975851208086,0.13410131070160847
immune_dc,42,0.05,non_target,rare_membership_score,6004,0.07235053806981152,0.059651752296291605,0.0884436627872203
immune_dc,42,0.05,baseline_correct_rare,rare_membership_score,94,0.3862942053362315,0.3432532879953548,0.4213984240260457
immune_dc,42,0.05,unrescued_rare,rare_membership_score,13,0.17660173857263425,0.1542352199469795,0.2039842077699906
immune_dc,42,0.05,true_rescued_rare,rare_membership_score,23,0.2792456253569517,0.244839106017972,0.30147380041055155
immune_dc,42,0.10,non_target,rare_membership_score,6004,0.06824666506679693,0.057849229278089595,0.08066676995968275
immune_dc,42,0.10,baseline_correct_rare,rare_membership_score,103,0.36844039521827254,0.3184230898239119,0.4134293654487904
immune_dc,42,0.10,unrescued_rare,rare_membership_score,15,0.16073056400746188,0.13730921303239996,0.1758021177648612
immune_dc,42,0.10,true_rescued_rare,rare_membership_score,12,0.23392076902061482,0.21951030607188898,0.25937563803251357
immune_dc,42,all,non_target,rare_membership_score,6004,0.08393850657693853,0.07131306871317042,0.10006482753326884
immune_dc,42,all,baseline_correct_rare,rare_membership_score,117,0.39189137443556815,0.3387678807381476,0.4354388694255339
immune_dc,42,all,unrescued_rare,rare_membership_score,9,0.18946541544802437,0.16308232176474668,0.2037943678637497
immune_dc,42,all,true_rescued_rare,rare_membership_score,4,0.2424968142949893,0.22945914196858527,0.24773644408057818
immune_dc,43,0.01,non_target,rare_membership_score,6004,0.030035647345324545,0.024644034690280526,0.03789038072663302
immune_dc,43,0.01,true_rescued_rare,rare_membership_score,114,0.22874528252556192,0.18940764257534137,0.2672984689929936
immune_dc,43,0.01,unrescued_rare,rare_membership_score,16,0.0915689020704691,0.07666623138617507,0.11209376803362134
immune_dc,43,0.05,non_target,rare_membership_score,6004,0.05358585834320268,0.04420043610679146,0.06422479932893524
immune_dc,43,0.05,baseline_correct_rare,rare_membership_score,105,0.36457354923479884,0.2973893621134023,0.3965602665052798
immune_dc,43,0.05,unrescued_rare,rare_membership_score,13,0.1474569235584145,0.12561853948339677,0.1642812226324241
immune_dc,43,0.05,true_rescued_rare,rare_membership_score,12,0.2131567623890139,0.20005554935490968,0.23658194928125512
immune_dc,43,0.10,non_target,rare_membership_score,6004,0.09328661579890091,0.07958851839861417,0.11049382624318622
immune_dc,43,0.10,baseline_correct_rare,rare_membership_score,113,0.41206017463492284,0.3734876737203594,0.4656429288358909
immune_dc,43,0.10,unrescued_rare,rare_membership_score,9,0.20413371749540563,0.18133243268004048,0.21505489362752458
immune_dc,43,0.10,true_rescued_rare,rare_membership_score,8,0.27543564065430093,0.2650748727943518,0.2859142740010457
immune_dc,43,all,non_target,rare_membership_score,6004,0.07459818083139794,0.06196435204161073,0.09089870438570546
immune_dc,43,all,baseline_correct_rare,rare_membership_score,119,0.43044573639177675,0.3567904824946625,0.4760451742533365
