dataset,rare_train_size,contrast,metric,n_seeds,median_oriented_delta,min_oriented_delta,max_oriented_delta,seed_direction_rate
immune_dc,0.01,H2_true_rescued_vs_unrescued,rare_membership_score,3,0.9710716633793557,0.9544900446972775,0.9824561403508771,1.0
immune_dc,0.01,H2_true_rescued_vs_unrescued,rare_rank,3,1.0,1.0,1.0,1.0
immune_dc,0.01,H2_true_rescued_vs_unrescued,rare_standardized_distance,3,0.8724523339907955,0.6245428687525396,0.8980263157894737,1.0
immune_dc,0.01,H2_true_rescued_vs_unrescued,standardized_prototype_margin,3,0.9886225111743194,0.986842105263158,0.99474030243261,1.0
immune_dc,0.01,H2_true_rescued_vs_unrescued,rare_prototype_distance,3,0.8724523339907955,0.6245428687525396,0.8980263157894737,1.0
immune_dc,0.01,H2_true_rescued_vs_unrescued,nearest_nonrare_distance,3,0.8527284681130836,0.8496546119463633,0.8662280701754386,1.0
immune_dc,0.01,H2_true_rescued_vs_unrescued,prototype_margin,3,1.0,1.0,1.0,1.0
immune_dc,0.01,H3a_true_rescued_vs_non_target,rare_membership_score,3,0.999815912198885,0.9997409134650974,0.9998941515625097,1.0
immune_dc,0.01,H3a_true_rescued_vs_non_target,rare_rank,3,0.9998334443704198,0.9995003331112592,1.0,1.0
immune_dc,0.01,H3a_true_rescued_vs_non_target,rare_standardized_distance,3,0.9904478885421415,0.986466965947935,0.9916209706349614,1.0
immune_dc,0.01,H3a_true_rescued_vs_non_target,standardized_prototype_margin,3,0.9999373636948587,0.999815912198885,0.9999782076746344,1.0
immune_dc,0.01,H3a_true_rescued_vs_non_target,rare_prototype_distance,3,0.9904478885421415,0.986466965947935,0.9916209706349614,1.0
immune_dc,0.01,H3a_true_rescued_vs_non_target,nearest_nonrare_distance,3,0.9444387502348861,0.9415934548307359,0.9542088899797796,1.0
immune_dc,0.01,H3a_true_rescued_vs_non_target,prototype_margin,3,0.999973701742698,0.9999719812959584,1.0,1.0
immune_dc,0.01,H3b_true_rescued_vs_closest_competitor,rare_membership_score,3,0.9994995412461423,0.9994401325621611,0.9996865142342131,1.0
immune_dc,0.01,H3b_true_rescued_vs_closest_competitor,rare_rank,3,0.9994717379820391,0.9984276729559748,1.0,1.0
immune_dc,0.01,H3b_true_rescued_vs_closest_competitor,rare_standardized_distance,3,0.9822151787286494,0.9755970924195223,0.9848745490583842,1.0
immune_dc,0.01,H3b_true_rescued_vs_closest_competitor,standardized_prototype_margin,3,0.9998464879605926,0.9994902734914413,0.9999902035698192,1.0
immune_dc,0.01,H3b_true_rescued_vs_closest_competitor,rare_prototype_distance,3,0.9822151787286494,0.9755970924195223,0.9848745490583842,1.0
immune_dc,0.01,H3b_true_rescued_vs_closest_competitor,nearest_nonrare_distance,3,0.9404553889498422,0.9277513274162894,0.9524934894023225,1.0
immune_dc,0.01,H3b_true_rescued_vs_closest_competitor,prototype_margin,3,0.9999165902076903,0.9999118321283724,1.0,1.0
immune_dc,0.05,H1_baseline_correct_vs_true_rescued,rare_membership_score,3,0.8640148011100832,0.8023986293546546,0.9349206349206349,1.0
immune_dc,0.05,H1_baseline_correct_vs_true_rescued,rare_rank,3,-0.0,-0.0,-0.0,0.0
immune_dc,0.05,H1_baseline_correct_vs_true_rescued,rare_standardized_distance,3,0.7363552266419982,0.6756139348943461,0.8634920634920635,1.0
immune_dc,0.05,H1_baseline_correct_vs_true_rescued,standardized_prototype_margin,3,0.8945420906567993,0.8892061679040548,0.9571428571428571,1.0
immune_dc,0.05,H1_baseline_correct_vs_true_rescued,rare_prototype_distance,3,0.7363552266419982,0.6756139348943461,0.8634920634920635,1.0
immune_dc,0.05,H1_baseline_correct_vs_true_rescued,nearest_nonrare_distance,3,0.8172472872644203,0.7345050878815911,0.8555555555555556,1.0
immune_dc,0.05,H1_baseline_correct_vs_true_rescued,prototype_margin,3,0.912118408880666,0.8869217589948601,0.980952380952381,1.0
immune_dc,0.05,H2_true_rescued_vs_unrescued,rare_membership_score,3,1.0,0.9933110367892977,1.0,1.0
immune_dc,0.05,H2_true_rescued_vs_unrescued,rare_rank,3,1.0,1.0,1.0,1.0
immune_dc,0.05,H2_true_rescued_vs_unrescued,rare_standardized_distance,3,0.8333333333333334,0.8327759197324415,0.8588235294117648,1.0
immune_dc,0.05,H2_true_rescued_vs_unrescued,standardized_prototype_margin,3,1.0,1.0,1.0,1.0
immune_dc,0.05,H2_true_rescued_vs_unrescued,rare_prototype_distance,3,0.8333333333333334,0.8327759197324415,0.8588235294117648,1.0
immune_dc,0.05,H2_true_rescued_vs_unrescued,nearest_nonrare_distance,3,0.7176470588235293,0.5641025641025641,0.7391304347826086,1.0
immune_dc,0.05,H2_true_rescued_vs_unrescued,prototype_margin,3,1.0,1.0,1.0,1.0
immune_dc,0.05,H3a_true_rescued_vs_non_target,rare_membership_score,3,0.9999444814568066,0.9997648626405926,0.9999710338035512,1.0
immune_dc,0.05,H3a_true_rescued_vs_non_target,rare_rank,3,0.9996668887408394,0.9990006662225184,0.9996668887408394,1.0
immune_dc,0.05,H3a_true_rescued_vs_non_target,rare_standardized_distance,3,0.9983054775077485,0.9951600893521966,0.9986397956917611,1.0
immune_dc,0.05,H3a_true_rescued_vs_non_target,standardized_prototype_margin,3,0.9998334443704198,0.9993925618215307,1.0,1.0
immune_dc,0.05,H3a_true_rescued_vs_non_target,rare_prototype_distance,3,0.9983054775077485,0.9951600893521966,0.9986397956917611,1.0
immune_dc,0.05,H3a_true_rescued_vs_non_target,nearest_nonrare_distance,3,0.8959304907839218,0.874730571775679,0.9027025461286677,1.0
immune_dc,0.05,H3a_true_rescued_vs_non_target,prototype_margin,3,0.9998841352142049,0.9995885096210368,0.9999722407284033,1.0
immune_dc,0.05,H3b_true_rescued_vs_closest_competitor,rare_membership_score,3,0.9998239126606796,0.9992542183275845,1.0,1.0
immune_dc,0.05,H3b_true_rescued_vs_closest_competitor,rare_rank,3,0.9989434759640782,0.9973586899101955,1.0,1.0
immune_dc,0.05,H3b_true_rescued_vs_closest_competitor,rare_standardized_distance,3,0.9960495188222054,0.9893726111680805,0.9962141222046135,1.0
immune_dc,0.05,H3b_true_rescued_vs_closest_competitor,standardized_prototype_margin,3,0.999471737982039,0.9981355458189616,1.0,1.0
immune_dc,0.05,H3b_true_rescued_vs_closest_competitor,rare_prototype_distance,3,0.9960495188222054,0.9893726111680805,0.9962141222046135,1.0
immune_dc,0.05,H3b_true_rescued_vs_closest_competitor,nearest_nonrare_distance,3,0.8910899806303927,0.8655107050744228,0.9006867406233492,1.0
immune_dc,0.05,H3b_true_rescued_vs_closest_competitor,prototype_margin,3,0.9999119563303398,0.9988191790186756,1.0,1.0
immune_dc,0.10,H1_baseline_correct_vs_true_rescued,rare_membership_score,3,0.9424778761061947,0.9271844660194175,0.9495495495495496,1.0
immune_dc,0.10,H1_baseline_correct_vs_true_rescued,rare_rank,3,-0.0,-0.0,-0.0,0.0
immune_dc,0.10,H1_baseline_correct_vs_true_rescued,rare_standardized_distance,3,0.8827433628318584,0.7686084142394822,0.8864864864864865,1.0
immune_dc,0.10,H1_baseline_correct_vs_true_rescued,standardized_prototype_margin,3,0.9690265486725664,0.9621621621621621,0.970873786407767,1.0
immune_dc,0.10,H1_baseline_correct_vs_true_rescued,rare_prototype_distance,3,0.8827433628318584,0.7686084142394822,0.8864864864864865,1.0
immune_dc,0.10,H1_baseline_correct_vs_true_rescued,nearest_nonrare_distance,3,0.9092920353982301,0.8108108108108107,0.9514563106796117,1.0
immune_dc,0.10,H1_baseline_correct_vs_true_rescued,prototype_margin,3,0.9712389380530972,0.9585585585585585,0.9822006472491909,1.0
immune_dc,0.10,H2_true_rescued_vs_unrescued,rare_membership_score,3,0.9777777777777779,0.9333333333333333,1.0,1.0
immune_dc,0.10,H2_true_rescued_vs_unrescued,rare_rank,3,1.0,1.0,1.0,1.0
immune_dc,0.10,H2_true_rescued_vs_unrescued,rare_standardized_distance,3,0.8611111111111112,0.8444444444444444,0.9333333333333333,1.0
immune_dc,0.10,H2_true_rescued_vs_unrescued,standardized_prototype_margin,3,1.0,1.0,1.0,1.0
immune_dc,0.10,H2_true_rescued_vs_unrescued,rare_prototype_distance,3,0.8611111111111112,0.8444444444444444,0.9333333333333333,1.0
immune_dc,0.10,H2_true_rescued_vs_unrescued,nearest_nonrare_distance,3,0.5777777777777777,0.36111111111111116,0.6777777777777778,1.0
immune_dc,0.10,H2_true_rescued_vs_unrescued,prototype_margin,3,1.0,1.0,1.0,1.0
immune_dc,0.10,H3a_true_rescued_vs_non_target,rare_membership_score,3,0.9999444814568066,0.9990672884743503,0.9999583610926048,1.0
immune_dc,0.10,H3a_true_rescued_vs_non_target,rare_rank,3,0.9995003331112592,0.9991672218520986,0.9996668887408394,1.0
immune_dc,0.10,H3a_true_rescued_vs_non_target,rare_standardized_distance,3,0.9990006662225184,0.996435709526982,0.9992504996668887,1.0
immune_dc,0.10,H3a_true_rescued_vs_non_target,standardized_prototype_margin,3,0.9996668887408395,0.9988341105929381,0.9998889629136132,1.0
immune_dc,0.10,H3a_true_rescued_vs_non_target,rare_prototype_distance,3,0.9990006662225184,0.996435709526982,0.9992504996668887,1.0
immune_dc,0.10,H3a_true_rescued_vs_non_target,nearest_nonrare_distance,3,0.8639240506329113,0.8634576948700865,0.8657978014656895,1.0
immune_dc,0.10,H3a_true_rescued_vs_non_target,prototype_margin,3,0.9997501665556296,0.9993337774816788,1.0,1.0
immune_dc,0.10,H3b_true_rescued_vs_closest_competitor,rare_membership_score,3,0.9998239126606796,0.997675647120972,1.0,1.0
immune_dc,0.10,H3b_true_rescued_vs_closest_competitor,rare_rank,3,0.9989434759640782,0.9973586899101955,0.9994717379820391,1.0
immune_dc,0.10,H3b_true_rescued_vs_closest_competitor,rare_standardized_distance,3,0.9970065152315548,0.9901743264659271,0.998283148441627,1.0
immune_dc,0.10,H3b_true_rescued_vs_closest_competitor,standardized_prototype_margin,3,0.999339672477549,0.9963021658742737,0.9996478253213594,1.0
immune_dc,0.10,H3b_true_rescued_vs_closest_competitor,rare_prototype_distance,3,0.9970065152315548,0.9901743264659271,0.998283148441627,1.0
immune_dc,0.10,H3b_true_rescued_vs_closest_competitor,nearest_nonrare_distance,3,0.8508540235957034,0.8464870575805599,0.8565768621236134,1.0
immune_dc,0.10,H3b_true_rescued_vs_closest_competitor,prototype_margin,3,0.9997358689910196,0.9978869519281564,1.0,1.0
immune_dc,all,H1_baseline_correct_vs_true_rescued,rare_membership_score,3,0.9579831932773109,0.925,0.9615384615384615,1.0
immune_dc,all,H1_baseline_correct_vs_true_rescued,rare_rank,3,-0.008403361344537785,-0.008547008547008517,-0.0,0.0
immune_dc,all,H1_baseline_correct_vs_true_rescued,rare_standardized_distance,3,0.8931623931623932,0.725,0.9747899159663865,1.0
immune_dc,all,H1_baseline_correct_vs_true_rescued,standardized_prototype_margin,3,0.982905982905983,0.9495798319327731,0.9916666666666667,1.0
immune_dc,all,H1_baseline_correct_vs_true_rescued,rare_prototype_distance,3,0.8931623931623932,0.725,0.9747899159663865,1.0
immune_dc,all,H1_baseline_correct_vs_true_rescued,nearest_nonrare_distance,3,0.7179487179487178,0.46218487394957974,0.9916666666666667,1.0
immune_dc,all,H1_baseline_correct_vs_true_rescued,prototype_margin,3,0.982905982905983,0.9495798319327731,0.9916666666666667,1.0
immune_dc,all,H2_true_rescued_vs_unrescued,rare_membership_score,3,0.8333333333333333,0.5555555555555556,1.0,1.0
immune_dc,all,H2_true_rescued_vs_unrescued,rare_rank,3,1.0,1.0,1.0,1.0
immune_dc,all,H2_true_rescued_vs_unrescued,rare_standardized_distance,3,0.5555555555555556,-0.33333333333333326,1.0,0.6666666666666666
immune_dc,all,H2_true_rescued_vs_unrescued,standardized_prototype_margin,3,1.0,0.9444444444444444,1.0,1.0
immune_dc,all,H2_true_rescued_vs_unrescued,rare_prototype_distance,3,0.5555555555555556,-0.33333333333333326,1.0,0.6666666666666666
immune_dc,all,H2_true_rescued_vs_unrescued,nearest_nonrare_distance,3,0.6111111111111112,0.125,0.8888888888888888,1.0
immune_dc,all,H2_true_rescued_vs_unrescued,prototype_margin,3,1.0,1.0,1.0,1.0
immune_dc,all,H3a_true_rescued_vs_non_target,rare_membership_score,3,0.9990839440373085,0.9988341105929381,0.9993337774816788,1.0
immune_dc,all,H3a_true_rescued_vs_non_target,rare_rank,3,0.9995003331112592,0.9986675549633578,0.9995003331112592,1.0
immune_dc,all,H3a_true_rescued_vs_non_target,rare_standardized_distance,3,0.9654397068620919,0.9501998667554963,0.9996668887408394,1.0
immune_dc,all,H3a_true_rescued_vs_non_target,standardized_prototype_margin,3,0.9989173884077283,0.9986675549633577,0.9991672218520986,1.0
immune_dc,all,H3a_true_rescued_vs_non_target,rare_prototype_distance,3,0.9654397068620919,0.9501998667554963,0.9996668887408394,1.0
immune_dc,all,H3a_true_rescued_vs_non_target,nearest_nonrare_distance,3,0.814207195203198,0.599433710859427,0.9551965356429046,1.0
immune_dc,all,H3a_true_rescued_vs_non_target,prototype_margin,3,0.9993337774816788,0.9986675549633577,0.9995003331112591,1.0
immune_dc,all,H3b_true_rescued_vs_closest_competitor,rare_membership_score,3,0.9984152139461173,0.9978869519281564,0.9986793449550977,1.0
immune_dc,all,H3b_true_rescued_vs_closest_competitor,rare_rank,3,0.9989434759640782,0.9963021658742737,0.9989434759640782,1.0
immune_dc,all,H3b_true_rescued_vs_closest_competitor,rare_standardized_distance,3,0.9397781299524565,0.9265715795034337,0.9989434759640782,1.0
immune_dc,all,H3b_true_rescued_vs_closest_competitor,standardized_prototype_margin,3,0.9973586899101954,0.9963021658742737,0.9978869519281564,1.0
immune_dc,all,H3b_true_rescued_vs_closest_competitor,rare_prototype_distance,3,0.9397781299524565,0.9265715795034337,0.9989434759640782,1.0
immune_dc,all,H3b_true_rescued_vs_closest_competitor,nearest_nonrare_distance,3,0.8042789223454834,0.5224511357633386,0.95351294241944,1.0
immune_dc,all,H3b_true_rescued_vs_closest_competitor,prototype_margin,3,0.9989434759640783,0.9968304278922346,0.9989434759640783,1.0
pancreas_baron,0.01,H1_baseline_correct_vs_true_rescued,rare_membership_score,1,0.3434343434343434,0.3434343434343434,0.3434343434343434,1.0
pancreas_baron,0.01,H1_baseline_correct_vs_true_rescued,rare_rank,1,0.38888888888888884,0.38888888888888884,0.38888888888888884,1.0
pancreas_baron,0.01,H1_baseline_correct_vs_true_rescued,rare_standardized_distance,1,0.0033670033670033517,0.0033670033670033517,0.0033670033670033517,1.0
pancreas_baron,0.01,H1_baseline_correct_vs_true_rescued,standardized_prototype_margin,1,0.3535353535353536,0.3535353535353536,0.3535353535353536,1.0
pancreas_baron,0.01,H1_baseline_correct_vs_true_rescued,rare_prototype_distance,1,0.0033670033670033517,0.0033670033670033517,0.0033670033670033517,1.0
