low_sep,dataset,seed,rts,sep,baseline_f1,f1,gain,ffr,n_false,abstain
0.0,immune_dc,42,0.01,2.1126,0.0,0.903,0.903,0.0,0,False
0.7,immune_dc,42,0.01,2.1126,0.0,0.903,0.903,0.0,0,False
1.0,immune_dc,42,0.01,2.1126,0.0,0.903,0.903,0.0,0,False
1.3,immune_dc,42,0.01,2.1126,0.0,0.903,0.903,0.0,0,False
1.6,immune_dc,42,0.01,2.1126,0.0,0.903,0.903,0.0,0,False
0.0,immune_dc,42,0.05,2.1376,0.8393,0.9435,0.1043,0.000167,1,False
0.7,immune_dc,42,0.05,2.1376,0.8393,0.9435,0.1043,0.000167,1,False
1.0,immune_dc,42,0.05,2.1376,0.8393,0.9435,0.1043,0.000167,1,False
1.3,immune_dc,42,0.05,2.1376,0.8393,0.9435,0.1043,0.000167,1,False
1.6,immune_dc,42,0.05,2.1376,0.8393,0.9435,0.1043,0.000167,1,False
0.0,immune_dc,42,0.10,2.1041,0.8803,0.9274,0.0471,0.000333,2,False
0.7,immune_dc,42,0.10,2.1041,0.8803,0.9274,0.0471,0.000333,2,False
1.0,immune_dc,42,0.10,2.1041,0.8803,0.9274,0.0471,0.000333,2,False
1.3,immune_dc,42,0.10,2.1041,0.8803,0.9274,0.0471,0.000333,2,False
1.6,immune_dc,42,0.10,2.1041,0.8803,0.9274,0.0471,0.000333,2,False
0.0,immune_dc,42,all,1.7622,0.9398,0.9528,0.013,0.000167,1,False
0.7,immune_dc,42,all,1.7622,0.9398,0.9528,0.013,0.000167,1,False
1.0,immune_dc,42,all,1.7622,0.9398,0.9528,0.013,0.000167,1,False
1.3,immune_dc,42,all,1.7622,0.9398,0.9528,0.013,0.000167,1,False
1.6,immune_dc,42,all,1.7622,0.9398,0.9528,0.013,0.000167,1,False
0.0,immune_dc,43,0.01,2.4436,0.0,0.9306,0.9306,0.000167,1,False
0.7,immune_dc,43,0.01,2.4436,0.0,0.9306,0.9306,0.000167,1,False
1.0,immune_dc,43,0.01,2.4436,0.0,0.9306,0.9306,0.000167,1,False
1.3,immune_dc,43,0.01,2.4436,0.0,0.9306,0.9306,0.000167,1,False
1.6,immune_dc,43,0.01,2.4436,0.0,0.9306,0.9306,0.000167,1,False
0.0,immune_dc,43,0.05,1.9468,0.8936,0.9398,0.0461,0.000333,2,False
0.7,immune_dc,43,0.05,1.9468,0.8936,0.9398,0.0461,0.000333,2,False
1.0,immune_dc,43,0.05,1.9468,0.8936,0.9398,0.0461,0.000333,2,False
1.3,immune_dc,43,0.05,1.9468,0.8936,0.9398,0.0461,0.000333,2,False
1.6,immune_dc,43,0.05,1.9468,0.8936,0.9398,0.0461,0.000333,2,False
0.0,immune_dc,43,0.10,1.7472,0.93,0.9565,0.0265,0.000333,2,False
0.7,immune_dc,43,0.10,1.7472,0.93,0.9565,0.0265,0.000333,2,False
1.0,immune_dc,43,0.10,1.7472,0.93,0.9565,0.0265,0.000333,2,False
1.3,immune_dc,43,0.10,1.7472,0.93,0.9565,0.0265,0.000333,2,False
1.6,immune_dc,43,0.10,1.7472,0.93,0.9565,0.0265,0.000333,2,False
0.0,immune_dc,43,all,1.9374,0.9444,0.9528,0.0083,0.0,0,False
0.7,immune_dc,43,all,1.9374,0.9444,0.9528,0.0083,0.0,0,False
1.0,immune_dc,43,all,1.9374,0.9444,0.9528,0.0083,0.0,0,False
1.3,immune_dc,43,all,1.9374,0.9444,0.9528,0.0083,0.0,0,False
1.6,immune_dc,43,all,1.9374,0.9444,0.9528,0.0083,0.0,0,False
0.0,immune_dc,44,0.01,2.7583,0.0,0.9474,0.9474,0.0,0,False
0.7,immune_dc,44,0.01,2.7583,0.0,0.9474,0.9474,0.0,0,False
1.0,immune_dc,44,0.01,2.7583,0.0,0.9474,0.9474,0.0,0,False
1.3,immune_dc,44,0.01,2.7583,0.0,0.9474,0.9474,0.0,0,False
1.6,immune_dc,44,0.01,2.7583,0.0,0.9474,0.9474,0.0,0,False
0.0,immune_dc,44,0.05,1.6314,0.8803,0.9375,0.0572,0.000833,5,False
0.7,immune_dc,44,0.05,1.6314,0.8803,0.9375,0.0572,0.000833,5,False
1.0,immune_dc,44,0.05,1.6314,0.8803,0.9375,0.0572,0.000833,5,False
1.3,immune_dc,44,0.05,1.6314,0.8803,0.9375,0.0572,0.000833,5,False
1.6,immune_dc,44,0.05,1.6314,0.8803,0.9375,0.0572,0.000833,5,False
0.0,immune_dc,44,0.10,1.9127,0.9212,0.9453,0.0242,0.000833,5,False
0.7,immune_dc,44,0.10,1.9127,0.9212,0.9453,0.0242,0.000833,5,False
1.0,immune_dc,44,0.10,1.9127,0.9212,0.9453,0.0242,0.000833,5,False
1.3,immune_dc,44,0.10,1.9127,0.9212,0.9453,0.0242,0.000833,5,False
1.6,immune_dc,44,0.10,1.9127,0.9212,0.9453,0.0242,0.000833,5,False
0.0,immune_dc,44,all,1.8292,0.9486,0.9349,-0.0138,0.000999,6,False
0.7,immune_dc,44,all,1.8292,0.9486,0.9349,-0.0138,0.000999,6,False
1.0,immune_dc,44,all,1.8292,0.9486,0.9349,-0.0138,0.000999,6,False
1.3,immune_dc,44,all,1.8292,0.9486,0.9349,-0.0138,0.000999,6,False
1.6,immune_dc,44,all,1.8292,0.9486,0.9349,-0.0138,0.000999,6,False
0.0,pancreas_baron,42,0.01,1.5213,0.2268,0.7784,0.5516,0.009768,16,False
0.7,pancreas_baron,42,0.01,1.5213,0.2268,0.7784,0.5516,0.009768,16,False
1.0,pancreas_baron,42,0.01,1.5213,0.2268,0.7784,0.5516,0.009768,16,False
1.3,pancreas_baron,42,0.01,1.5213,0.2268,0.7784,0.5516,0.009768,16,False
1.6,pancreas_baron,42,0.01,1.5213,0.2268,0.2268,0.0,0.0,0,True
0.0,pancreas_baron,42,0.05,1.5213,0.2268,0.7784,0.5516,0.009768,16,False
0.7,pancreas_baron,42,0.05,1.5213,0.2268,0.7784,0.5516,0.009768,16,False
1.0,pancreas_baron,42,0.05,1.5213,0.2268,0.7784,0.5516,0.009768,16,False
1.3,pancreas_baron,42,0.05,1.5213,0.2268,0.7784,0.5516,0.009768,16,False
1.6,pancreas_baron,42,0.05,1.5213,0.2268,0.2268,0.0,0.0,0,True
0.0,pancreas_baron,42,0.10,1.4422,0.7917,0.8158,0.0241,0.001832,3,False
0.7,pancreas_baron,42,0.10,1.4422,0.7917,0.8158,0.0241,0.001832,3,False
1.0,pancreas_baron,42,0.10,1.4422,0.7917,0.8158,0.0241,0.001832,3,False
1.3,pancreas_baron,42,0.10,1.4422,0.7917,0.8158,0.0241,0.001832,3,False
1.6,pancreas_baron,42,0.10,1.4422,0.7917,0.7917,0.0,0.0,0,True
0.0,pancreas_baron,42,all,1.1597,0.9143,0.9011,-0.0132,0.003053,5,False
0.7,pancreas_baron,42,all,1.1597,0.9143,0.9011,-0.0132,0.003053,5,False
1.0,pancreas_baron,42,all,1.1597,0.9143,0.9011,-0.0132,0.003053,5,False
1.3,pancreas_baron,42,all,1.1597,0.9143,0.9143,0.0,0.0,0,True
1.6,pancreas_baron,42,all,1.1597,0.9143,0.9143,0.0,0.0,0,True
0.0,pancreas_baron,43,0.01,1.1245,0.2449,0.75,0.5051,0.002442,4,False
0.7,pancreas_baron,43,0.01,1.1245,0.2449,0.75,0.5051,0.002442,4,False
1.0,pancreas_baron,43,0.01,1.1245,0.2449,0.75,0.5051,0.002442,4,False
1.3,pancreas_baron,43,0.01,1.1245,0.2449,0.2449,0.0,0.0,0,True
1.6,pancreas_baron,43,0.01,1.1245,0.2449,0.2449,0.0,0.0,0,True
0.0,pancreas_baron,43,0.05,1.1245,0.2449,0.75,0.5051,0.002442,4,False
0.7,pancreas_baron,43,0.05,1.1245,0.2449,0.75,0.5051,0.002442,4,False
1.0,pancreas_baron,43,0.05,1.1245,0.2449,0.75,0.5051,0.002442,4,False
1.3,pancreas_baron,43,0.05,1.1245,0.2449,0.2449,0.0,0.0,0,True
1.6,pancreas_baron,43,0.05,1.1245,0.2449,0.2449,0.0,0.0,0,True
0.0,pancreas_baron,43,0.10,1.5543,0.7808,0.8242,0.0434,0.004884,8,False
0.7,pancreas_baron,43,0.10,1.5543,0.7808,0.8242,0.0434,0.004884,8,False
1.0,pancreas_baron,43,0.10,1.5543,0.7808,0.8242,0.0434,0.004884,8,False
1.3,pancreas_baron,43,0.10,1.5543,0.7808,0.8242,0.0434,0.004884,8,False
1.6,pancreas_baron,43,0.10,1.5543,0.7808,0.7808,0.0,0.0,0,True
0.0,pancreas_baron,43,all,1.1218,0.9222,0.9222,0.0,0.0,0,True
0.7,pancreas_baron,43,all,1.1218,0.9222,0.9222,0.0,0.0,0,True
1.0,pancreas_baron,43,all,1.1218,0.9222,0.9222,0.0,0.0,0,True
1.3,pancreas_baron,43,all,1.1218,0.9222,0.9222,0.0,0.0,0,True
1.6,pancreas_baron,43,all,1.1218,0.9222,0.9222,0.0,0.0,0,True
0.0,pancreas_baron,44,0.01,1.222,0.6769,0.8316,0.1547,0.015263,25,False
0.7,pancreas_baron,44,0.01,1.222,0.6769,0.8316,0.1547,0.015263,25,False
1.0,pancreas_baron,44,0.01,1.222,0.6769,0.8316,0.1547,0.015263,25,False
1.3,pancreas_baron,44,0.01,1.222,0.6769,0.6769,0.0,0.0,0,True
1.6,pancreas_baron,44,0.01,1.222,0.6769,0.6769,0.0,0.0,0,True
0.0,pancreas_baron,44,0.05,1.222,0.6769,0.8316,0.1547,0.015263,25,False
0.7,pancreas_baron,44,0.05,1.222,0.6769,0.8316,0.1547,0.015263,25,False
1.0,pancreas_baron,44,0.05,1.222,0.6769,0.8316,0.1547,0.015263,25,False
