t,sep,nearest_majority,n_rare_total,n_labeled_rare,baseline_f1,full_f1,full_gain,full_ffr,full_abstain,full_reason,full_chosen_rank,nogate_f1,nogate_gain,nogate_ffr,base_sha
0.0,1.879,vein endothelial cell,307,10,0.6667,0.963,0.2963,0.002331,False,,1,0.963,0.2963,0.002331,248079f60761
0.1,2.2051,vein endothelial cell,307,10,0.68,0.8992,0.2192,0.002914,False,,1,0.8992,0.2192,0.002914,248079f60761
0.2,2.2133,vein endothelial cell,307,10,0.24,0.8205,0.5805,0.001748,False,,1,0.8205,0.5805,0.001748,248079f60761
0.3,2.1851,vein endothelial cell,307,10,0.4524,0.7833,0.3309,0.004662,False,,1,0.7833,0.3309,0.004662,248079f60761
0.4,2.2272,vein endothelial cell,307,10,0.4471,0.7563,0.3092,0.004662,False,,1,0.7563,0.3092,0.004662,248079f60761
0.5,1.6509,vein endothelial cell,307,10,0.1944,0.6727,0.4783,0.004662,False,,1,0.6727,0.4783,0.004662,248079f60761
0.6,1.4513,vein endothelial cell,307,10,0.0597,0.5306,0.4709,0.004079,False,,1,0.5306,0.4709,0.004079,248079f60761
0.7,1.3698,vein endothelial cell,307,10,0.0303,0.4468,0.4165,0.004662,False,,1,0.4468,0.4165,0.004662,248079f60761
0.8,1.1522,vein endothelial cell,307,10,0.0857,0.0857,0.0,0.0,True,sep<1.3,0,0.321,0.2353,0.000583,248079f60761
0.9,0.761,vein endothelial cell,307,10,0.0294,0.0294,0.0,0.0,True,sep<1.3,0,0.1867,0.1573,0.000583,248079f60761
0.95,0.686,vein endothelial cell,307,10,0.0299,0.0299,0.0,0.0,True,sep<1.3,0,0.1124,0.0825,0.01049,248079f60761
