dataset,dataset_label,rare_class,rare_train_size,rts_label,seed,method,rare_f1,rare_recall,rare_precision,overall_accuracy
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,42,baseline,0.8841201716738197,0.7923076923076923,1.0,0.8997391587870883
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,42,knn_k15,0.7906976744186046,0.6538461538461539,1.0,0.897782849690251
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,42,lr,0.0,0.0,0.0,0.8472448646886208
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,42,scbalance,0.0303030303030303,0.0153846153846153,1.0,0.871698728399087
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,42,scRareRefine,0.9411764705882352,0.9230769230769232,0.96,0.9016954678839256
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,42,baseline,0.015267175572519,0.0076923076923076,1.0,0.8703945223345289
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,42,knn_k15,0.0,0.0,0.0,0.8834365829801109
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,42,lr,0.0597014925373134,0.0307692307692307,1.0,0.845614607107923
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,42,scbalance,0.1021897810218978,0.0538461538461538,1.0,0.8674600586892729
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,42,scRareRefine,0.935483870967742,0.8923076923076924,0.9830508474576272,0.8888164329964134
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,42,baseline,0.375,0.2307692307692307,1.0,0.8818063253994131
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,42,knn_k15,0.5227272727272727,0.3538461538461538,1.0,0.8888164329964134
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,42,lr,0.0303030303030303,0.0153846153846153,1.0,0.8465927616563417
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,42,scbalance,0.4146341463414634,0.2615384615384615,1.0,0.8738180632539941
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,42,scRareRefine,0.9568627450980391,0.9384615384615383,0.976,0.896315617867623
immune_dc_ASDC,DC-ASDC,ASDC,all,all,42,baseline,0.9444444444444444,0.9153846153846154,0.9754098360655736,0.8924029996739485
immune_dc_ASDC,DC-ASDC,ASDC,all,all,42,knn_k15,0.9218106995884774,0.8615384615384616,0.991150442477876,0.9031626997065536
immune_dc_ASDC,DC-ASDC,ASDC,all,all,42,lr,0.9375,0.9230769230769232,0.9523809523809524,0.8643625692859471
immune_dc_ASDC,DC-ASDC,ASDC,all,all,42,scbalance,0.9534883720930232,0.946153846153846,0.9609375,0.8788718617541571
immune_dc_ASDC,DC-ASDC,ASDC,all,all,42,scRareRefine,0.942084942084942,0.9384615384615383,0.9457364341085271,0.8922399739158787
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,42,baseline,0.9938900203665988,0.9878542510121456,1.0,0.8897945875448321
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,42,knn_k15,0.9708333333333332,0.9433198380566802,1.0,0.8959895663514835
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,42,lr,0.2955326460481099,0.1740890688259109,0.9772727272727272,0.832572546462341
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,42,scbalance,0.503030303030303,0.3360323886639676,1.0,0.85507010107597
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,42,scRareRefine,0.991869918699187,0.9878542510121456,0.9959183673469388,0.8896315617867623
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,42,baseline,0.0,0.0,0.0,0.8602869253342028
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,42,knn_k15,0.0,0.0,0.0,0.8638734920117379
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,42,lr,0.1904761904761904,0.1052631578947368,1.0,0.8293120313009456
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,42,scbalance,0.7430025445292621,0.5910931174089069,1.0,0.8350179328333877
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,42,scRareRefine,0.9857433808553973,0.979757085020243,0.9918032786885246,0.8994131072709488
