dataset,seed,rare_train_size,rare_class,split_mode,run_dir,variant,variant_group,status,error_reason,separability,alpha,split_hash,actual_training_labeled_rare_count,labeled_rare_id_sha256,effective_budget_key,rare_f1,rare_recall,rare_precision,true_rescues,false_rescues,all_rescues,rescue_precision,incremental_fpr,rescue_ffr,alpha_violation,abstain,abstain_reason,chosen_rank,tau,val_missed,n_candidate
immune_dc,42,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare1pct,baseline,component,success,,2.1125757445434328,0.01,33b8ce5bdff2e437,5,fdcc17818646be6e4311520e9fa5dfc87502bf44c8941b3aa24e0884add06e3d,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",5,""fdcc17818646be6e4311520e9fa5dfc87502bf44c8941b3aa24e0884add06e3d""]",0.0,0.0,0.0,0,0,0,,0.0,0.0,False,False,baseline_no_rescue,0,,115,0
immune_dc,42,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare1pct,minus_separability_gate,component,success,,2.1125757445434328,0.01,33b8ce5bdff2e437,5,fdcc17818646be6e4311520e9fa5dfc87502bf44c8941b3aa24e0884add06e3d,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",5,""fdcc17818646be6e4311520e9fa5dfc87502bf44c8941b3aa24e0884add06e3d""]",0.9029535864978903,0.823076923076923,1.0,107,0,107,1.0,0.0,0.0,False,False,rescue_applied,1,0.10510290735292942,115,110
immune_dc,42,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare1pct,minus_necessity_gate,component,success,,2.1125757445434328,0.01,33b8ce5bdff2e437,5,fdcc17818646be6e4311520e9fa5dfc87502bf44c8941b3aa24e0884add06e3d,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",5,""fdcc17818646be6e4311520e9fa5dfc87502bf44c8941b3aa24e0884add06e3d""]",0.9029535864978903,0.823076923076923,1.0,107,0,107,1.0,0.0,0.0,False,False,rescue_applied,1,0.10510290735292942,115,110
immune_dc,42,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare1pct,fixed_rank_1,component,success,,2.1125757445434328,0.01,33b8ce5bdff2e437,5,fdcc17818646be6e4311520e9fa5dfc87502bf44c8941b3aa24e0884add06e3d,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",5,""fdcc17818646be6e4311520e9fa5dfc87502bf44c8941b3aa24e0884add06e3d""]",0.9029535864978903,0.823076923076923,1.0,107,0,107,1.0,0.0,0.0,False,False,rescue_applied,1,0.10510290735292942,115,110
immune_dc,42,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare1pct,minus_conformal_tau,component,success,,2.1125757445434328,0.01,33b8ce5bdff2e437,5,fdcc17818646be6e4311520e9fa5dfc87502bf44c8941b3aa24e0884add06e3d,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",5,""fdcc17818646be6e4311520e9fa5dfc87502bf44c8941b3aa24e0884add06e3d""]",0.8916666666666667,0.823076923076923,0.9727272727272728,107,3,110,0.9727272727272728,0.0004996668887408394,0.0004996668887408394,False,False,rescue_applied,1,-inf,115,110
immune_dc,42,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare1pct,full_method,component,success,,2.1125757445434328,0.01,33b8ce5bdff2e437,5,fdcc17818646be6e4311520e9fa5dfc87502bf44c8941b3aa24e0884add06e3d,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",5,""fdcc17818646be6e4311520e9fa5dfc87502bf44c8941b3aa24e0884add06e3d""]",0.9029535864978903,0.823076923076923,1.0,107,0,107,1.0,0.0,0.0,False,False,rescue_applied,1,0.10510290735292942,115,110
immune_dc,42,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare1pct,rank_1,rank,success,,2.1125757445434328,0.01,33b8ce5bdff2e437,5,fdcc17818646be6e4311520e9fa5dfc87502bf44c8941b3aa24e0884add06e3d,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",5,""fdcc17818646be6e4311520e9fa5dfc87502bf44c8941b3aa24e0884add06e3d""]",0.9029535864978903,0.823076923076923,1.0,107,0,107,1.0,0.0,0.0,False,False,rescue_applied,1,0.10510290735292942,115,110
immune_dc,42,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare1pct,rank_2,rank,success,,2.1125757445434328,0.01,33b8ce5bdff2e437,5,fdcc17818646be6e4311520e9fa5dfc87502bf44c8941b3aa24e0884add06e3d,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",5,""fdcc17818646be6e4311520e9fa5dfc87502bf44c8941b3aa24e0884add06e3d""]",0.8378378378378378,0.9538461538461539,0.7469879518072289,124,42,166,0.7469879518072289,0.0069953364423717525,0.0069953364423717525,False,False,rescue_applied,2,0.10510290735292942,115,744
immune_dc,42,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare1pct,rank_3,rank,success,,2.1125757445434328,0.01,33b8ce5bdff2e437,5,fdcc17818646be6e4311520e9fa5dfc87502bf44c8941b3aa24e0884add06e3d,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",5,""fdcc17818646be6e4311520e9fa5dfc87502bf44c8941b3aa24e0884add06e3d""]",0.8378378378378378,0.9538461538461539,0.7469879518072289,124,42,166,0.7469879518072289,0.0069953364423717525,0.0069953364423717525,False,False,rescue_applied,3,0.10510290735292942,115,1072
immune_dc,42,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare1pct,adaptive_rank,rank,success,,2.1125757445434328,0.01,33b8ce5bdff2e437,5,fdcc17818646be6e4311520e9fa5dfc87502bf44c8941b3aa24e0884add06e3d,"[""immune_dc"",""ASDC"",""33b8ce5bdff2e437"",5,""fdcc17818646be6e4311520e9fa5dfc87502bf44c8941b3aa24e0884add06e3d""]",0.9029535864978903,0.823076923076923,1.0,107,0,107,1.0,0.0,0.0,False,False,rescue_applied,1,0.10510290735292942,115,110
