dataset,rare_class,actual_training_labeled_rare_count,variant,variant_group,n_seeds,rare_f1_mean,rare_f1_std,rare_f1_min,rare_f1_max,rare_f1_n_defined,rare_recall_mean,rare_recall_std,rare_recall_min,rare_recall_max,rare_recall_n_defined,rescue_precision_mean,rescue_precision_std,rescue_precision_min,rescue_precision_max,rescue_precision_n_defined,incremental_fpr_mean,incremental_fpr_std,incremental_fpr_min,incremental_fpr_max,incremental_fpr_n_defined,abstention_rate,alpha_violation_rate,n_alpha_violations
immune_dc,ASDC,5,baseline,component,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,,,,,0,0.0,0.0,0.0,0.0,3,0.0,0.0,0
immune_dc,ASDC,5,minus_separability_gate,component,3,0.9269780841494937,0.022429327350380463,0.9029535864978903,0.9473684210526315,3,0.8666666666666667,0.039473857226514523,0.823076923076923,0.9,3,0.9971014492753624,0.00502043712338802,0.991304347826087,1.0,3,5.5518543193426606e-05,9.616093757322214e-05,0.0,0.00016655562958027982,3,0.0,0.0,0
immune_dc,ASDC,5,minus_necessity_gate,component,3,0.9269780841494937,0.022429327350380463,0.9029535864978903,0.9473684210526315,3,0.8666666666666667,0.039473857226514523,0.823076923076923,0.9,3,0.9971014492753624,0.00502043712338802,0.991304347826087,1.0,3,5.5518543193426606e-05,9.616093757322214e-05,0.0,0.00016655562958027982,3,0.0,0.0,0
immune_dc,ASDC,5,fixed_rank_1,component,3,0.9269780841494937,0.022429327350380463,0.9029535864978903,0.9473684210526315,3,0.8666666666666667,0.039473857226514523,0.823076923076923,0.9,3,0.9971014492753624,0.00502043712338802,0.991304347826087,1.0,3,5.5518543193426606e-05,9.616093757322214e-05,0.0,0.00016655562958027982,3,0.0,0.0,0
immune_dc,ASDC,5,minus_conformal_tau,component,3,0.9232157775390858,0.02857800128528492,0.8916666666666667,0.9473684210526315,3,0.8666666666666667,0.039473857226514523,0.823076923076923,0.9,3,0.9880105401844532,0.013931521446281576,0.9727272727272728,1.0,3,0.00022207417277370642,0.0002544179266575527,0.0,0.0004996668887408394,3,0.0,0.0,0
immune_dc,ASDC,5,full_method,component,3,0.9269780841494937,0.022429327350380463,0.9029535864978903,0.9473684210526315,3,0.8666666666666667,0.039473857226514523,0.823076923076923,0.9,3,0.9971014492753624,0.00502043712338802,0.991304347826087,1.0,3,5.5518543193426606e-05,9.616093757322214e-05,0.0,0.00016655562958027982,3,0.0,0.0,0
immune_dc,ASDC,5,rank_1,rank,3,0.9269780841494937,0.022429327350380463,0.9029535864978903,0.9473684210526315,3,0.8666666666666667,0.039473857226514523,0.823076923076923,0.9,3,0.9971014492753624,0.00502043712338802,0.991304347826087,1.0,3,5.5518543193426606e-05,9.616093757322214e-05,0.0,0.00016655562958027982,3,0.0,0.0,0
immune_dc,ASDC,5,rank_2,rank,3,0.8357762654625461,0.004545962277784351,0.8305647840531561,0.8389261744966443,3,0.958974358974359,0.00444115591684326,0.9538461538461539,0.9615384615384616,3,0.7406765743005438,0.00851312896116299,0.7309941520467836,0.7469879518072289,3,0.007272929158338885,0.00034671319111694406,0.0069953364423717525,0.007661558960692871,3,0.0,0.0,0
immune_dc,ASDC,5,rank_3,rank,3,0.8156040656040657,0.01951994666024355,0.8012820512820513,0.8378378378378378,3,0.9615384615384616,0.007692307692307665,0.9538461538461539,0.9692307692307692,3,0.7087029436427027,0.03326941215705001,0.6868131868131868,0.7469879518072289,3,0.008605374194981122,0.0013968183017331914,0.0069953364423717525,0.00949367088607595,3,0.0,0.0,0
immune_dc,ASDC,5,adaptive_rank,rank,3,0.9269780841494937,0.022429327350380463,0.9029535864978903,0.9473684210526315,3,0.8666666666666667,0.039473857226514523,0.823076923076923,0.9,3,0.9971014492753624,0.00502043712338802,0.991304347826087,1.0,3,5.5518543193426606e-05,9.616093757322214e-05,0.0,0.00016655562958027982,3,0.0,0.0,0
immune_dc,ASDC,13,baseline,component,3,0.87108153863473,0.02832469198833835,0.8392857142857143,0.8936170212765957,3,0.7743589743589743,0.045072809823710126,0.7230769230769231,0.8076923076923077,3,,,,,0,0.0,0.0,0.0,0.0,3,0.0,0.0,0
immune_dc,ASDC,13,minus_separability_gate,component,3,0.9402691410804508,0.0030562889101502532,0.9375,0.9435483870967742,3,0.9076923076923077,0.013323467750529842,0.9,0.9230769230769231,3,0.8627344877344877,0.0929292859271506,0.7727272727272727,0.9583333333333334,3,0.00044414834554741284,0.00034671319111694417,0.00016655562958027982,0.0008327781479013991,3,0.0,0.0,0
immune_dc,ASDC,13,minus_necessity_gate,component,3,0.9402691410804508,0.0030562889101502532,0.9375,0.9435483870967742,3,0.9076923076923077,0.013323467750529842,0.9,0.9230769230769231,3,0.8627344877344877,0.0929292859271506,0.7727272727272727,0.9583333333333334,3,0.00044414834554741284,0.00034671319111694417,0.00016655562958027982,0.0008327781479013991,3,0.0,0.0,0
immune_dc,ASDC,13,fixed_rank_1,component,3,0.9402691410804508,0.0030562889101502532,0.9375,0.9435483870967742,3,0.9076923076923077,0.013323467750529842,0.9,0.9230769230769231,3,0.8627344877344877,0.0929292859271506,0.7727272727272727,0.9583333333333334,3,0.00044414834554741284,0.00034671319111694417,0.00016655562958027982,0.0008327781479013991,3,0.0,0.0,0
immune_dc,ASDC,13,minus_conformal_tau,component,3,0.9390060240963857,0.0013042551261813998,0.9375,0.9397590361445783,3,0.9076923076923077,0.013323467750529842,0.9,0.9230769230769231,3,0.84995670995671,0.0738988807974959,0.7727272727272727,0.92,3,0.0004996668887408394,0.0002884828127196664,0.00033311125916055963,0.0008327781479013991,3,0.0,0.0,0
