variant,variant_group,n_datasets,n_effective_budget_units,n_alpha_violations,dataset_equal_rare_f1_mean,dataset_equal_rare_recall_mean,dataset_equal_rescue_precision_mean,dataset_equal_incremental_fpr_mean,dataset_equal_abstention_rate,dataset_equal_alpha_violation_rate
baseline,component,8,29,0,0.7145109559230303,0.6637399407203712,,0.0,0.0,0.0
minus_separability_gate,component,8,29,1,0.8564830076981287,0.8132966413821506,0.8424122377288278,0.0008570548617210772,0.46527777777777773,0.013888888888888888
minus_necessity_gate,component,8,29,0,0.8193436301503421,0.7792877172996971,0.5969896637665706,0.0004601636028193055,0.28125,0.0
fixed_rank_1,component,8,29,0,0.8269411849626382,0.7858513274939576,0.8462913527537607,0.0006084188362676758,0.45833333333333326,0.0
minus_conformal_tau,component,8,29,1,0.8214216358240571,0.7780234235678931,0.8599413916446318,0.0004014327143987157,0.5972222222222221,0.013888888888888888
full_method,component,8,29,0,0.8211304068889826,0.7781659224279023,0.8692986560047986,0.00037259177752395036,0.5833333333333333,0.0
rank_1,rank,8,29,0,0.8269411849626382,0.7858513274939576,0.8462913527537607,0.0006084188362676758,0.45833333333333326,0.0
rank_2,rank,8,29,6,0.8213176547028302,0.8201481510574785,0.6654459084622928,0.003027229543351298,0.45833333333333326,0.06249999999999999
rank_3,rank,8,29,14,0.813535947690186,0.8262912304034992,0.5784157905016516,0.004245650564125047,0.45833333333333326,0.15277777777777776
adaptive_rank,rank,8,29,0,0.8211304068889826,0.7781659224279023,0.8692986560047986,0.00037259177752395036,0.5833333333333333,0.0
