dataset,rare_class,actual_training_labeled_rare_count,variant,variant_group,seed,n_identity_runs,rare_f1,rare_recall,rescue_precision,incremental_fpr,abstain,alpha_violation
immune_dc,ASDC,5,baseline,component,42,1,0.0,0.0,,0.0,0.0,0.0
immune_dc,ASDC,5,minus_separability_gate,component,42,1,0.9029535864978903,0.823076923076923,1.0,0.0,0.0,0.0
immune_dc,ASDC,5,minus_necessity_gate,component,42,1,0.9029535864978903,0.823076923076923,1.0,0.0,0.0,0.0
immune_dc,ASDC,5,fixed_rank_1,component,42,1,0.9029535864978903,0.823076923076923,1.0,0.0,0.0,0.0
immune_dc,ASDC,5,minus_conformal_tau,component,42,1,0.8916666666666667,0.823076923076923,0.9727272727272728,0.0004996668887408394,0.0,0.0
immune_dc,ASDC,5,full_method,component,42,1,0.9029535864978903,0.823076923076923,1.0,0.0,0.0,0.0
immune_dc,ASDC,5,rank_1,rank,42,1,0.9029535864978903,0.823076923076923,1.0,0.0,0.0,0.0
immune_dc,ASDC,5,rank_2,rank,42,1,0.8378378378378378,0.9538461538461539,0.7469879518072289,0.0069953364423717525,0.0,0.0
immune_dc,ASDC,5,rank_3,rank,42,1,0.8378378378378378,0.9538461538461539,0.7469879518072289,0.0069953364423717525,0.0,0.0
immune_dc,ASDC,5,adaptive_rank,rank,42,1,0.9029535864978903,0.823076923076923,1.0,0.0,0.0,0.0
immune_dc,ASDC,13,baseline,component,42,1,0.8392857142857143,0.7230769230769231,,0.0,0.0,0.0
immune_dc,ASDC,13,minus_separability_gate,component,42,1,0.9435483870967742,0.9,0.9583333333333334,0.00016655562958027982,0.0,0.0
immune_dc,ASDC,13,minus_necessity_gate,component,42,1,0.9435483870967742,0.9,0.9583333333333334,0.00016655562958027982,0.0,0.0
immune_dc,ASDC,13,fixed_rank_1,component,42,1,0.9435483870967742,0.9,0.9583333333333334,0.00016655562958027982,0.0,0.0
immune_dc,ASDC,13,minus_conformal_tau,component,42,1,0.9397590361445783,0.9,0.92,0.00033311125916055963,0.0,0.0
immune_dc,ASDC,13,full_method,component,42,1,0.9435483870967742,0.9,0.9583333333333334,0.00016655562958027982,0.0,0.0
immune_dc,ASDC,13,rank_1,rank,42,1,0.9435483870967742,0.9,0.9583333333333334,0.00016655562958027982,0.0,0.0
immune_dc,ASDC,13,rank_2,rank,42,1,0.8063492063492064,0.9769230769230769,0.3626373626373626,0.009660226515656229,0.0,0.0
immune_dc,ASDC,13,rank_3,rank,42,1,0.7962382445141066,0.9769230769230769,0.3473684210526316,0.010326449033977348,0.0,1.0
immune_dc,ASDC,13,adaptive_rank,rank,42,1,0.9435483870967742,0.9,0.9583333333333334,0.00016655562958027982,0.0,0.0
