dataset,rare_train_size,method,lab_rare,n_seed,f1_mean,f1_std,fp_rate_max
immune_dc,0.01,scANVI,5,3,0.015,0.0213,0.0
immune_dc,0.01,kNN,5,3,0.589,0.0653,0.0
immune_dc,0.01,CellTypist,5,3,0.26,0.0684,0.0
immune_dc,0.01,scBalance,5,3,0.0772,0.0557,0.0
immune_dc,0.01,scRareRefine,5,3,0.9106,0.0199,0.001332
immune_dc,0.05,scANVI,13,3,0.0251,0.0188,0.0
immune_dc,0.05,kNN,13,3,0.6725,0.0662,0.0
immune_dc,0.05,CellTypist,13,3,0.5598,0.0388,0.0
immune_dc,0.05,scBalance,13,3,0.5624,0.0412,0.0
immune_dc,0.05,scRareRefine,13,3,0.9394,0.0096,0.0005
immune_dc,0.10,scANVI,27,3,0.3665,0.1754,0.0
immune_dc,0.10,kNN,27,3,0.798,0.0145,0.0
immune_dc,0.10,CellTypist,27,3,0.783,0.0117,0.0
immune_dc,0.10,scBalance,27,3,0.6264,0.0622,0.0
immune_dc,0.10,scRareRefine,27,3,0.9328,0.0056,0.000999
immune_dc,all,scANVI,277,3,0.9411,0.014,0.0005
immune_dc,all,kNN,277,3,0.9494,0.0105,0.0005
immune_dc,all,CellTypist,277,3,0.9524,0.0,0.000333
immune_dc,all,scBalance,277,3,0.9312,0.0059,0.000833
immune_dc,all,scRareRefine,277,3,0.9397,0.0125,0.001832
pancreas_baron,0.01,scANVI,5,3,0.462,0.1764,0.0
pancreas_baron,0.01,kNN,5,3,0.3674,0.1662,0.000611
pancreas_baron,0.01,CellTypist,5,3,0.0669,0.0311,0.0
pancreas_baron,0.01,scBalance,5,3,0.3082,0.0984,0.0
pancreas_baron,0.01,scRareRefine,5,3,0.5244,0.1979,0.001832
pancreas_baron,0.05,scANVI,5,3,0.462,0.1764,0.0
pancreas_baron,0.05,kNN,5,3,0.3674,0.1662,0.000611
pancreas_baron,0.05,CellTypist,5,3,0.0669,0.0311,0.0
pancreas_baron,0.05,scBalance,5,3,0.3133,0.027,0.0
pancreas_baron,0.05,scRareRefine,5,3,0.5244,0.1979,0.001832
pancreas_baron,0.10,scANVI,10,3,0.8246,0.0456,0.001832
pancreas_baron,0.10,kNN,10,3,0.6165,0.1833,0.001221
pancreas_baron,0.10,CellTypist,10,3,0.6277,0.1256,0.0
pancreas_baron,0.10,scBalance,10,3,0.5997,0.2168,0.000611
pancreas_baron,0.10,scRareRefine,10,3,0.8494,0.0274,0.006716
pancreas_baron,all,scANVI,106,3,0.9126,0.0111,0.004274
pancreas_baron,all,kNN,106,3,0.911,0.0049,0.006716
pancreas_baron,all,CellTypist,106,3,0.9829,0.0,0.001832
pancreas_baron,all,scBalance,106,3,0.9767,0.0082,0.001832
pancreas_baron,all,scRareRefine,106,3,0.9126,0.0111,0.004274
tabula_lung_endo,0.01,scANVI,5,3,0.3188,0.3232,0.0
tabula_lung_endo,0.01,kNN,5,3,0.8919,0.0118,0.0
tabula_lung_endo,0.01,CellTypist,5,3,0.2665,0.0189,0.0
tabula_lung_endo,0.01,scBalance,5,3,0.6219,0.0069,0.0
tabula_lung_endo,0.01,scRareRefine,5,3,0.982,0.0037,0.001166
tabula_lung_endo,0.05,scANVI,10,3,0.8569,0.1347,0.000583
tabula_lung_endo,0.05,kNN,10,3,0.9256,0.0197,0.000583
tabula_lung_endo,0.05,CellTypist,10,3,0.678,0.0762,0.0
tabula_lung_endo,0.05,scBalance,10,3,0.7107,0.1332,0.0
tabula_lung_endo,0.05,scRareRefine,10,3,0.9776,0.012,0.002914
tabula_lung_endo,0.10,scANVI,20,3,0.9694,0.0062,0.001748
tabula_lung_endo,0.10,kNN,20,3,0.9519,0.0065,0.000583
tabula_lung_endo,0.10,CellTypist,20,3,0.7751,0.0362,0.000583
tabula_lung_endo,0.10,scBalance,20,3,0.9121,0.0044,0.001166
tabula_lung_endo,0.10,scRareRefine,20,3,0.9799,0.0035,0.001748
tabula_lung_endo,all,scANVI,208,3,0.9771,0.0064,0.001748
tabula_lung_endo,all,kNN,208,3,0.9794,0.0037,0.001166
tabula_lung_endo,all,CellTypist,208,3,0.9774,0.0,0.001748
tabula_lung_endo,all,scBalance,208,3,0.9693,0.0066,0.001748
tabula_lung_endo,all,scRareRefine,208,3,0.9702,0.0059,0.002914
