dataset,seed,rare_train_size,lab_rare,rare_class,method,status,sep,best_k,rare_f1,rare_recall,rare_precision,macro_f1,rare_fp_rate,n_rescued,n_false_rescue,rescue_ffr
immune_dc,42,0.01,5,ASDC,scANVI,ok,2.7073,,0.0,0.0,0.0,0.7263,0.0,0,0,0.0
immune_dc,42,0.01,5,ASDC,kNN,ok,2.7073,3.0,0.5311,0.3615,1.0,0.818,0.0,47,0,0.0
immune_dc,42,0.01,5,ASDC,CellTypist,ok,2.7073,,0.3544,0.2154,1.0,0.7728,0.0,28,0,0.0
immune_dc,42,0.01,5,ASDC,scBalance,ok,2.7073,,0.0,0.0,0.0,0.6925,0.0,0,0,0.0
immune_dc,42,0.01,5,ASDC,scRareRefine,ok,2.7073,,0.9224,0.8692,0.9826,0.8843,0.000333,115,2,0.000333
immune_dc,42,0.05,13,ASDC,scANVI,ok,2.3866,,0.0,0.0,0.0,0.712,0.0,0,0,0.0
immune_dc,42,0.05,13,ASDC,kNN,ok,2.3866,3.0,0.7255,0.5692,1.0,0.8513,0.0,74,0,0.0
immune_dc,42,0.05,13,ASDC,CellTypist,ok,2.3866,,0.5946,0.4231,1.0,0.8158,0.0,55,0,0.0
immune_dc,42,0.05,13,ASDC,scBalance,ok,2.3866,,0.6022,0.4308,1.0,0.8192,0.0,56,0,0.0
immune_dc,42,0.05,13,ASDC,scRareRefine,ok,2.3866,,0.9486,0.9231,0.9756,0.8747,0.0005,123,3,0.0005
immune_dc,42,0.10,27,ASDC,scANVI,ok,2.4046,,0.3851,0.2385,1.0,0.7911,0.0,0,0,0.0
immune_dc,42,0.10,27,ASDC,kNN,ok,2.4046,10.0,0.7907,0.6538,1.0,0.8637,0.0,54,0,0.0
immune_dc,42,0.10,27,ASDC,CellTypist,ok,2.4046,,0.7678,0.6231,1.0,0.8466,0.0,52,0,0.0
immune_dc,42,0.10,27,ASDC,scBalance,ok,2.4046,,0.6598,0.4923,1.0,0.8105,0.0,42,0,0.0
immune_dc,42,0.10,27,ASDC,scRareRefine,ok,2.4046,,0.9291,0.9077,0.9516,0.8852,0.000999,93,6,0.000999
immune_dc,42,all,277,ASDC,scANVI,ok,2.0106,,0.9274,0.8846,0.9746,0.8748,0.0005,0,0,0.0
