dataset,seed,rare_train_size,rare_class,split_mode,run_dir,backbone,representation,alpha,tosica_cutoff,status,error_reason,n_hvg,n_classes,n_labeled_train,n_labeled_rare,n_validation,n_test,n_validation_unknown,n_test_unknown,separability,baseline_rare_f1,baseline_rare_recall,baseline_rare_precision,refined_rare_f1,refined_rare_recall,refined_rare_precision,delta_rare_f1,delta_rare_recall,true_rescues,false_rescues,all_rescues,rescue_precision,rescue_fdp,incremental_fpr,rescue_ffr,alpha_violation,abstain,abstain_reason,chosen_rank,tau,val_missed,n_candidate,wall_time_seconds,labeled_train_id_sha256,hvg_sha256
immune_dc,42,0.01,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare1pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,3000,6,11019,5,5862,6134,0,0,11.234334352376365,0.5361702127659574,0.4846153846153846,0.6,0.5560165975103735,0.5153846153846153,0.6036036036036037,0.019846384744416024,0.030769230769230715,4,2,6,0.6666666666666666,0.33333333333333337,0.00033311125916055963,0.00033311125916055963,False,False,rescue_applied,1,0.02894072569988134,56,6,857.3358199999993,f8b21a185d9ca90f4734ac46a6a87b0ef1d72ff456886daddeba4fe2fd0897af,87414cf312dd09d2dfe11b126c039eb4620eb483291da59515befac816c5e83e
immune_dc,42,0.05,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare5pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,3000,6,11027,13,5862,6134,0,0,17.70919787920855,0.4260355029585799,0.27692307692307694,0.9230769230769231,0.4624277456647399,0.3076923076923077,0.9302325581395349,0.03639224270615998,0.03076923076923077,4,0,4,1.0,0.0,0.0,0.0,False,False,rescue_applied,1,1.0382711709208067e-08,86,4,885.5764409000003,3409ba5ca909c4d9ef3545ebd89ee2933a05f564dc7c3f43d1f3daca6730014b,87414cf312dd09d2dfe11b126c039eb4620eb483291da59515befac816c5e83e
immune_dc,42,0.10,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rare10pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,3000,6,11041,27,5862,6134,0,0,18.356308425805505,0.6666666666666666,0.5076923076923077,0.9705882352941176,0.6666666666666666,0.5076923076923077,0.9705882352941176,0.0,0.0,0,0,0,,,0.0,0.0,False,False,rescue_applied,1,4.245589963303567e-08,59,0,952.1796620000005,c55089535247d945cb53df89c951f61236c5f71010cfc2f3409b968c42a4fa6f,87414cf312dd09d2dfe11b126c039eb4620eb483291da59515befac816c5e83e
immune_dc,42,all,ASDC,batch_heldout,outputs\immune_dc\batch_heldout_seed42_asdc_rareall,TOSICA,native_48d_cls_latent,0.01,0.1,success,,3000,6,11291,277,5862,6134,0,0,5.762672563978634,0.8784313725490196,0.8615384615384616,0.896,0.8828125,0.8692307692307693,0.8968253968253969,0.004381127450980404,0.007692307692307665,1,0,1,1.0,0.0,0.0,0.0,False,False,rescue_applied,1,0.0384942471102428,21,1,928.7102059999997,77756ca485b7c7e3c8aebab51828128c47f124e962784da01174c6485baf3431,87414cf312dd09d2dfe11b126c039eb4620eb483291da59515befac816c5e83e
pancreas_baron,42,0.01,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rare1pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,2000,14,5441,5,1303,1724,0,0,20.41740861258745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,False,False,rescue_applied,1,1.6614598225874474e-09,63,0,713.5267473000004,2aab94d05579a373b307bfac1da9f152c8f87b0dea8787d5a98b1265db99788b,4f69eeed8143d3fd19185d5f329b6e836b02940c569c24d23120d3a6565aa85c
pancreas_baron,42,0.05,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rare5pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,2000,14,5441,5,1303,1724,0,0,20.41740861258745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,0.0,0.0,False,False,rescue_applied,1,1.6614598225874474e-09,63,0,707.0415009000008,2aab94d05579a373b307bfac1da9f152c8f87b0dea8787d5a98b1265db99788b,4f69eeed8143d3fd19185d5f329b6e836b02940c569c24d23120d3a6565aa85c
pancreas_baron,42,0.10,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rare10pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,2000,14,5446,10,1303,1724,0,0,2.262667528606785,0.20618556701030927,0.11627906976744186,0.9090909090909091,0.23529411764705882,0.13953488372093023,0.75,0.029108550636749553,0.023255813953488372,2,3,5,0.4,0.6,0.0018315018315018315,0.0018315018315018315,False,False,rescue_applied,1,0.020525280657229132,59,12,710.7166381000006,236c877f8f51daf61be4c43cd7c7cce188c14bc425807d693c8beee6155a61e2,4f69eeed8143d3fd19185d5f329b6e836b02940c569c24d23120d3a6565aa85c
pancreas_baron,42,all,gamma,batch_heldout,outputs\pancreas_baron\batch_heldout_seed42_gamma_rareall,TOSICA,native_48d_cls_latent,0.01,0.1,success,,2000,14,5542,106,1303,1724,0,0,0.9320178161521213,0.33112582781456956,0.29069767441860467,0.38461538461538464,0.33112582781456956,0.29069767441860467,0.38461538461538464,0.0,0.0,0,0,0,,,0.0,0.0,False,True,sep<1.3,0,inf,0,0,710.6032200000009,0666411d1ea8a2d0f58c73e7cc96c456b4745b52f5a61be52bde07a3d9c88622,4f69eeed8143d3fd19185d5f329b6e836b02940c569c24d23120d3a6565aa85c
pancreas_integrated,42,0.01,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed42_endothelial_rare1pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,2000,14,7698,5,1303,1724,0,0,11.947602741639063,0.5161290322580645,0.34782608695652173,1.0,0.5625,0.391304347826087,1.0,0.0463709677419355,0.043478260869565244,1,0,1,1.0,0.0,0.0,0.0,False,False,rescue_applied,1,1.3098341635477068e-05,6,1,1020.6772077000005,99784b13d007d8ad6e5d41f301fcd6b0423fd885d02a6bda0c08f74245b314bf,534efdde5107acc99d79e46163017f73af4f6103c8bb5dcb9d9812c1c8ac09dd
pancreas_integrated,42,0.05,endothelial,batch_heldout,outputs\pancreas_integrated\batch_heldout_seed42_endothelial_rare5pct,TOSICA,native_48d_cls_latent,0.01,0.1,success,,2000,14,7705,12,1303,1724,0,0,13.88786895161088,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,0,,,0.0,0.0,False,True,val_missed=1 < MIN_VAL_MISSED=3,0,inf,1,0,984.7832175999993,a1133b3601e0df77b99a86ba30efaaa374bc87de0e975acfc79ae637ed8d6719,534efdde5107acc99d79e46163017f73af4f6103c8bb5dcb9d9812c1c8ac09dd
