dataset,seed,rts,rare_class,k,sep,variant,abstain,abstain_reason,chosen_rank,rare_f1,rare_recall,rare_precision,rare_fp_rate,rescue_ffr,n_rescued,n_false_rescue
immune_dc,42,0.01,ASDC,3,2.1126,kNN,False,,0,0.4524,0.2923,1.0,0.0,0.0,0,0
immune_dc,42,0.01,ASDC,3,2.1126,kNN+scRareRefine,False,,1,0.903,0.8231,1.0,0.0,0.0,69,0
immune_dc,42,0.05,ASDC,3,2.1376,kNN,False,,0,0.7793,0.6385,1.0,0.0,0.0,0,0
immune_dc,42,0.05,ASDC,3,2.1376,kNN+scRareRefine,False,,1,0.9435,0.9,0.9915,0.000167,0.000167,35,1
immune_dc,42,0.10,ASDC,5,2.1041,kNN,False,,0,0.8393,0.7231,1.0,0.0,0.0,0,0
immune_dc,42,0.10,ASDC,5,2.1041,kNN+scRareRefine,False,,1,0.9274,0.8846,0.9746,0.0005,0.0005,24,3
immune_dc,42,all,ASDC,10,1.7622,kNN,False,,0,0.935,0.8846,0.9914,0.000167,0.0,0,0
immune_dc,42,all,ASDC,10,1.7622,kNN+scRareRefine,False,,1,0.9486,0.9231,0.9756,0.0005,0.000333,7,2
immune_dc,43,0.01,ASDC,3,2.4436,kNN,False,,0,0.5311,0.3615,1.0,0.0,0.0,0,0
immune_dc,43,0.01,ASDC,3,2.4436,kNN+scRareRefine,False,,1,0.9306,0.8769,0.9913,0.000167,0.000167,68,1
immune_dc,43,0.05,ASDC,3,1.9468,kNN,False,,0,0.8596,0.7538,1.0,0.0,0.0,0,0
immune_dc,43,0.05,ASDC,3,1.9468,kNN+scRareRefine,False,,1,0.9398,0.9,0.9832,0.000333,0.000333,21,2
immune_dc,43,0.10,ASDC,3,1.7472,kNN,False,,0,0.8546,0.7462,1.0,0.0,0.0,0,0
immune_dc,43,0.10,ASDC,3,1.7472,kNN+scRareRefine,False,,1,0.9565,0.9308,0.9837,0.000333,0.000333,26,2
immune_dc,43,all,ASDC,3,1.9374,kNN,False,,0,0.944,0.9077,0.9833,0.000333,0.0,0,0
immune_dc,43,all,ASDC,3,1.9374,kNN+scRareRefine,False,,1,0.9569,0.9385,0.976,0.0005,0.000167,5,1
immune_dc,44,0.01,ASDC,3,2.7583,kNN,False,,0,0.4524,0.2923,1.0,0.0,0.0,0,0
immune_dc,44,0.01,ASDC,3,2.7583,kNN+scRareRefine,False,,1,0.9474,0.9,1.0,0.0,0.0,79,0
immune_dc,44,0.05,ASDC,3,1.6314,kNN,False,,0,0.8128,0.6846,1.0,0.0,0.0,0,0
immune_dc,44,0.05,ASDC,3,1.6314,kNN+scRareRefine,False,,1,0.9375,0.9231,0.9524,0.000999,0.000999,37,6
immune_dc,44,0.10,ASDC,3,1.9127,kNN,False,,0,0.8889,0.8,1.0,0.0,0.0,0,0
immune_dc,44,0.10,ASDC,3,1.9127,kNN+scRareRefine,False,,1,0.9453,0.9308,0.9603,0.000833,0.000833,22,5
immune_dc,44,all,ASDC,10,1.8292,kNN,False,,0,0.9431,0.8923,1.0,0.0,0.0,0,0
immune_dc,44,all,ASDC,10,1.8292,kNN+scRareRefine,False,,1,0.9385,0.9385,0.9385,0.001332,0.001332,14,8
pancreas_baron,42,0.01,gamma,3,1.5213,kNN,False,,0,0.3301,0.1977,1.0,0.0,0.0,0,0
pancreas_baron,42,0.01,gamma,3,1.5213,kNN+scRareRefine,False,,2,0.7784,0.7558,0.8025,0.009768,0.009768,64,16
pancreas_baron,42,0.05,gamma,3,1.5213,kNN,False,,0,0.3301,0.1977,1.0,0.0,0.0,0,0
pancreas_baron,42,0.05,gamma,3,1.5213,kNN+scRareRefine,False,,2,0.7784,0.7558,0.8025,0.009768,0.009768,64,16
pancreas_baron,42,0.10,gamma,3,1.4422,kNN,False,,0,0.4074,0.2558,1.0,0.0,0.0,0,0
pancreas_baron,42,0.10,gamma,3,1.4422,kNN+scRareRefine,False,,1,0.7234,0.593,0.9273,0.002442,0.002442,33,4
pancreas_baron,42,all,gamma,3,1.1597,kNN,False,,0,0.9162,0.9535,0.8817,0.006716,0.0,0,0
pancreas_baron,42,all,gamma,3,1.1597,kNN+scRareRefine,True,sep<1.3,0,0.9162,0.9535,0.8817,0.006716,0.0,0,0
pancreas_baron,43,0.01,gamma,3,1.1245,kNN,False,,0,0.2083,0.1163,1.0,0.0,0.0,0,0
pancreas_baron,43,0.01,gamma,3,1.1245,kNN+scRareRefine,True,sep<1.3,0,0.2083,0.1163,1.0,0.0,0.0,0,0
pancreas_baron,43,0.05,gamma,3,1.1245,kNN,False,,0,0.2083,0.1163,1.0,0.0,0.0,0,0
pancreas_baron,43,0.05,gamma,3,1.1245,kNN+scRareRefine,True,sep<1.3,0,0.2083,0.1163,1.0,0.0,0.0,0,0
pancreas_baron,43,0.10,gamma,5,1.5543,kNN,False,,0,0.7015,0.5465,0.9792,0.000611,0.0,0,0
pancreas_baron,43,0.10,gamma,5,1.5543,kNN+scRareRefine,False,,1,0.72,0.6279,0.8438,0.006105,0.005495,16,9
pancreas_baron,43,all,gamma,10,1.1218,kNN,False,,0,0.9146,0.8721,0.9615,0.001832,0.0,0,0
pancreas_baron,43,all,gamma,10,1.1218,kNN+scRareRefine,True,sep<1.3,0,0.9146,0.8721,0.9615,0.001832,0.0,0,0
pancreas_baron,44,0.01,gamma,3,1.222,kNN,False,,0,0.5968,0.4302,0.9737,0.000611,0.0,0,0
pancreas_baron,44,0.01,gamma,3,1.222,kNN+scRareRefine,True,sep<1.3,0,0.5968,0.4302,0.9737,0.000611,0.0,0,0
pancreas_baron,44,0.05,gamma,3,1.222,kNN,False,,0,0.5968,0.4302,0.9737,0.000611,0.0,0,0
pancreas_baron,44,0.05,gamma,3,1.222,kNN+scRareRefine,True,sep<1.3,0,0.5968,0.4302,0.9737,0.000611,0.0,0,0
pancreas_baron,44,0.10,gamma,3,1.1241,kNN,False,,0,0.7862,0.6628,0.9661,0.001221,0.0,0,0
pancreas_baron,44,0.10,gamma,3,1.1241,kNN+scRareRefine,True,sep<1.3,0,0.7862,0.6628,0.9661,0.001221,0.0,0,0
pancreas_baron,44,all,gamma,3,1.0929,kNN,False,,0,0.9143,0.9302,0.8989,0.005495,0.0,0,0
pancreas_baron,44,all,gamma,3,1.0929,kNN+scRareRefine,True,sep<1.3,0,0.9143,0.9302,0.8989,0.005495,0.0,0,0
pancreas_integrated,42,0.01,endothelial,3,1.4516,kNN,False,,0,0.9778,0.9565,1.0,0.0,0.0,0,0
pancreas_integrated,42,0.01,endothelial,3,1.4516,kNN+scRareRefine,False,,2,0.9388,1.0,0.8846,0.001764,0.001764,4,3
pancreas_integrated,42,0.05,endothelial,3,1.5432,kNN,False,,0,0.9787,1.0,0.9583,0.000588,0.0,0,0
pancreas_integrated,42,0.05,endothelial,3,1.5432,kNN+scRareRefine,True,val baseline 零漏判稀有,0,0.9787,1.0,0.9583,0.000588,0.0,0,0
pancreas_integrated,42,0.10,endothelial,3,1.341,kNN,False,,0,1.0,1.0,1.0,0.0,0.0,0,0
