method,seed,rare_class,rare_train_size,split_mode,overall_accuracy,macro_f1,rare_precision,rare_recall,rare_f1,n_candidates,n_marker_verified,rescued_rare_errors,false_rescues,modification_rate,major_to_rare_false_rescue_rate,k,gate_name,candidate_precision_for_rare_error,rare_error_recall,n_changed,dataset,separability_ratio,nearest_majority_class
baseline,42,ASDC,10,batch_heldout,0.8816432996413434,0.7383821969624317,1.0,0.0153846153846153,0.0303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,immune_dc,1.7924,pDC
knn_k15,42,ASDC,10,batch_heldout,0.8906097163351809,0.7922993750786732,1.0,0.2307692307692307,0.375,,,,,,,15.0,,,,,immune_dc,1.7924,pDC
prototype,42,ASDC,10,batch_heldout,0.8914248451255299,0.8455394892999167,0.9558823529411764,0.5,0.6565656565656566,66.0,0.0,63.0,3.0,0.0107597000326051,0.0004996668887408,,,,,,immune_dc,1.7924,pDC
prototype_gate,42,ASDC,10,batch_heldout,0.8989240299967395,0.8892140608851683,0.990909090909091,0.8384615384615385,0.9083333333333332,108.0,,107.0,1.0,0.0176067818715357,0.0001665556295802,,rank1,0.9907407407407408,0.8359375,,immune_dc,1.7924,pDC
prototype_gate_best,42,ASDC,10,batch_heldout,0.8989240299967395,0.8892140608851683,0.990909090909091,0.8384615384615385,0.9083333333333332,108.0,,107.0,1.0,0.0176067818715357,0.0001665556295802,,rank1,0.9907407407407408,0.8359375,,immune_dc,1.7924,pDC
prototype_gate_marker,42,ASDC,10,batch_heldout,0.8989240299967395,0.8892140608851683,0.990909090909091,0.8384615384615385,0.9083333333333332,108.0,108.0,107.0,1.0,0.0176067818715357,0.0001665556295802,,,,,,immune_dc,1.7924,pDC
fusion,42,ASDC,10,batch_heldout,0.8889794587544833,0.8118466811544051,1.0,0.2846153846153846,0.4431137724550898,,,35.0,0.0,0.0197261167264427,0.0,,,,0.2734375,121.0,immune_dc,1.7924,pDC
fusion_gated,42,ASDC,10,batch_heldout,0.8989240299967395,0.8892140608851683,0.990909090909091,0.8384615384615385,0.9083333333333332,,,107.0,1.0,0.0176067818715357,0.0001665556295802,,,,0.8359375,108.0,immune_dc,1.7924,pDC
baseline,42,ASDC,20,batch_heldout,0.8783827844799479,0.8008254620132781,1.0,0.3230769230769231,0.4883720930232558,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,immune_dc,1.7924,pDC
knn_k15,42,ASDC,20,batch_heldout,0.892729051190088,0.827931533924367,1.0,0.4384615384615384,0.6096256684491979,,,,,,,15.0,,,,,immune_dc,1.7924,pDC
prototype,42,ASDC,20,batch_heldout,0.8868601238995761,0.8621578515212622,0.9607843137254902,0.7538461538461538,0.8448275862068966,60.0,0.0,56.0,4.0,0.0097815454841865,0.0006662225183211,,,,,,immune_dc,1.7924,pDC
prototype_gate,42,ASDC,20,batch_heldout,0.8901206390609716,0.8777982516388795,1.0,0.8769230769230769,0.9344262295081968,72.0,,72.0,0.0,0.0117378545810238,0.0,,rank1,1.0,0.8181818181818182,,immune_dc,1.7924,pDC
prototype_gate_best,42,ASDC,20,batch_heldout,0.8901206390609716,0.8777982516388795,1.0,0.8769230769230769,0.9344262295081968,72.0,,72.0,0.0,0.0117378545810238,0.0,,rank1,1.0,0.8181818181818182,,immune_dc,1.7924,pDC
prototype_gate_marker,42,ASDC,20,batch_heldout,0.8901206390609716,0.8777982516388795,1.0,0.8769230769230769,0.9344262295081968,72.0,72.0,72.0,0.0,0.0117378545810238,0.0,,,,,,immune_dc,1.7924,pDC
fusion,42,ASDC,20,batch_heldout,0.8893055102706228,0.8444442699403462,1.0,0.5230769230769231,0.6868686868686869,,,26.0,0.0,0.0203782197587218,0.0,,,,0.2954545454545454,125.0,immune_dc,1.7924,pDC
fusion_gated,42,ASDC,20,batch_heldout,0.8901206390609716,0.8777982516388795,1.0,0.8769230769230769,0.9344262295081968,,,72.0,0.0,0.0117378545810238,0.0,,,,0.8181818181818182,72.0,immune_dc,1.7924,pDC
baseline,42,ASDC,5,batch_heldout,0.8624062601891099,0.7283938948756941,1.0,0.0307692307692307,0.0597014925373134,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,immune_dc,1.7924,pDC
knn_k15,42,ASDC,5,batch_heldout,0.8806651450929247,0.7261487149744084,0.0,0.0,0.0,,,,,,,15.0,,,,,immune_dc,1.7924,pDC
prototype,42,ASDC,5,batch_heldout,0.8718617541571568,0.8321132973757314,0.9305555555555556,0.5153846153846153,0.6633663366336634,68.0,0.0,63.0,5.0,0.0110857515487447,0.0008327781479013,,,,,,immune_dc,1.7924,pDC
prototype_gate,42,ASDC,5,batch_heldout,0.8798500163025758,0.8772795399632711,0.982608695652174,0.8692307692307693,0.9224489795918368,111.0,,109.0,2.0,0.018095859145745,0.0003331112591605,,rank1,0.981981981981982,0.8650793650793651,,immune_dc,1.7924,pDC
prototype_gate_best,42,ASDC,5,batch_heldout,0.8798500163025758,0.8772795399632711,0.982608695652174,0.8692307692307693,0.9224489795918368,111.0,,109.0,2.0,0.018095859145745,0.0003331112591605,,rank1,0.981981981981982,0.8650793650793651,,immune_dc,1.7924,pDC
prototype_gate_marker,42,ASDC,5,batch_heldout,0.879686990544506,0.8764091064822775,0.9910714285714286,0.8538461538461538,0.9173553719008264,111.0,108.0,107.0,1.0,0.0176067818715357,0.0001665556295802,,,,,,immune_dc,1.7924,pDC
fusion,42,ASDC,5,batch_heldout,0.8788718617541571,0.8170034949789106,1.0,0.3538461538461538,0.5227272727272727,,,42.0,0.0,0.0239647864362569,0.0,,,,0.3333333333333333,147.0,immune_dc,1.7924,pDC
fusion_gated,42,ASDC,5,batch_heldout,0.879686990544506,0.8765044639195803,0.9824561403508772,0.8615384615384616,0.918032786885246,,,108.0,2.0,0.0179328333876752,0.0003331112591605,,,,0.8571428571428571,110.0,immune_dc,1.7924,pDC
baseline,42,ASDC,50,batch_heldout,0.8878382784479948,0.8628292275728092,1.0,0.7076923076923077,0.8288288288288288,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,immune_dc,1.7924,pDC
knn_k15,42,ASDC,50,batch_heldout,0.897130746657972,0.8635660605083076,1.0,0.6615384615384615,0.7962962962962963,,,,,,,15.0,,,,,immune_dc,1.7924,pDC
prototype,42,ASDC,50,batch_heldout,0.8920769481578089,0.8846238751917933,0.9609375,0.946153846153846,0.9534883720930232,36.0,0.0,31.0,5.0,0.0058689272905119,0.0008327781479013,,,,,,immune_dc,1.7924,pDC
prototype_gate,42,ASDC,50,batch_heldout,0.8922399739158787,0.8852128656177679,0.976,0.9384615384615383,0.9568627450980391,33.0,,30.0,3.0,0.0053798500163025,0.0004996668887408,,rank1,0.9090909090909092,0.7894736842105263,,immune_dc,1.7924,pDC
prototype_gate_best,42,ASDC,50,batch_heldout,0.8922399739158787,0.8852128656177679,0.976,0.9384615384615383,0.9568627450980391,33.0,,30.0,3.0,0.0053798500163025,0.0004996668887408,,rank1,0.9090909090909092,0.7894736842105263,,immune_dc,1.7924,pDC
prototype_gate_marker,42,ASDC,50,batch_heldout,0.8909357678513206,0.8792023352589019,0.982608695652174,0.8692307692307693,0.9224489795918368,33.0,23.0,21.0,2.0,0.0037495924356048,0.0003331112591605,,,,,,immune_dc,1.7924,pDC
fusion,42,ASDC,50,batch_heldout,0.8966416693837627,0.8861142027318194,1.0,0.8307692307692308,0.907563025210084,,,16.0,0.0,0.0198891424845125,0.0,,,,0.4210526315789473,122.0,immune_dc,1.7924,pDC
fusion_gated,42,ASDC,50,batch_heldout,0.8912618193674601,0.880503029196872,1.0,0.8692307692307693,0.9300411522633744,,,21.0,0.0,0.0034235409194652,0.0,,,,0.5526315789473685,21.0,immune_dc,1.7924,pDC
baseline,42,ASDC,all,batch_heldout,0.897130746657972,0.8964376632356322,0.9915254237288136,0.9,0.9435483870967742,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,immune_dc,1.7924,pDC
knn_k15,42,ASDC,all,batch_heldout,0.9025105966742746,0.8871509158257392,1.0,0.8692307692307693,0.9300411522633744,,,,,,,15.0,,,,,immune_dc,1.7924,pDC
prototype,42,ASDC,all,batch_heldout,0.8950114118030649,0.8893100060143548,0.8366013071895425,0.9846153846153848,0.9045936395759716,35.0,0.0,11.0,24.0,0.0057059015324421,0.0039973351099267,,,,,,immune_dc,1.7924,pDC
prototype_gate,42,ASDC,all,batch_heldout,0.8972937724160417,0.8972453411436438,0.9834710743801652,0.9153846153846154,0.9482071713147412,3.0,,2.0,1.0,0.0004890772742093,0.0001665556295802,,rank1,0.6666666666666666,0.1538461538461538,,immune_dc,1.7924,pDC
prototype_gate_best,42,ASDC,all,batch_heldout,0.8972937724160417,0.8972453411436438,0.9834710743801652,0.9153846153846154,0.9482071713147412,3.0,,2.0,1.0,0.0004890772742093,0.0001665556295802,,rank1,0.6666666666666666,0.1538461538461538,,immune_dc,1.7924,pDC
prototype_gate_marker,42,ASDC,all,batch_heldout,0.897130746657972,0.8965081165460118,0.9833333333333332,0.9076923076923076,0.944,3.0,2.0,1.0,1.0,0.0003260515161395,0.0001665556295802,,,,,,immune_dc,1.7924,pDC
fusion,42,ASDC,all,batch_heldout,0.9012063906097164,0.90154822526774,0.9915966386554622,0.9076923076923076,0.9477911646586346,,,1.0,0.0,0.0145092924682099,0.0,,,,0.0769230769230769,89.0,immune_dc,1.7924,pDC
