dataset,rare_class,method,rare_f1_mean,rare_f1_std,rare_f1_n,rare_precision_mean,rare_precision_std,rare_precision_n,rare_recall_mean,rare_recall_std,rare_recall_n,overall_accuracy_mean,overall_accuracy_std,overall_accuracy_n,major_to_rare_false_rescue_rate_mean,major_to_rare_false_rescue_rate_std,major_to_rare_false_rescue_rate_n
immune_dc,ASDC,baseline,0.6565,0.1472,3,1.0,0.0,3,0.5,0.1556,3,0.8817,0.0042,3,0.0,0.0,3
immune_dc,ASDC,knn_k15,0.6145,0.0153,3,1.0,0.0,3,0.4436,0.016,3,0.8925,0.0003,3,,0.0,0
immune_dc,ASDC,celltypist,0.7611,0.0384,3,1.0,0.0,3,0.6154,0.0504,3,0.8807,0.0022,3,,0.0,0
immune_dc,ASDC,prototype,0.8947,0.0432,3,0.9617,0.004,3,0.8385,0.0734,3,0.8882,0.0027,3,0.0007,0.0001,3
immune_dc,ASDC,prototype_gate,0.9308,0.0231,3,0.9856,0.0182,3,0.8821,0.0311,3,0.8895,0.0034,3,0.0003,0.0003,3
immune_dc,ASDC,prototype_gate_best,0.9308,0.0231,3,0.9856,0.0182,3,0.8821,0.0311,3,0.8895,0.0034,3,0.0003,0.0003,3
immune_dc,ASDC,prototype_gate_marker,0.9333,0.0192,3,0.9913,0.0089,3,0.8821,0.0311,3,0.8896,0.0032,3,0.0002,0.0002,3
immune_dc,ASDC,fusion,0.8004,0.0986,3,1.0,0.0,3,0.6744,0.1315,3,0.8902,0.002,3,0.0,0.0,3
immune_dc,ASDC,fusion_gated,0.9308,0.0231,3,0.9856,0.0182,3,0.8821,0.0311,3,0.8895,0.0034,3,0.0003,0.0003,3
immune_dc,cDC1,baseline,0.2084,0.2394,3,1.0,0.0,3,0.1309,0.1637,3,0.8525,0.0163,3,0.0,0.0,3
immune_dc,cDC1,knn_k15,0.8065,0.0864,3,1.0,0.0,3,0.6815,0.1185,3,0.8895,0.0057,3,,0.0,0
immune_dc,cDC1,celltypist,0.9772,0.0037,3,1.0,0.0,3,0.9555,0.007,3,0.8816,0.0026,3,,0.0,0
immune_dc,cDC1,prototype,0.8009,0.12,3,0.9948,0.0047,3,0.6829,0.1786,3,0.8746,0.0174,3,0.0002,0.0002,3
immune_dc,cDC1,prototype_gate,0.9824,0.0031,3,0.9864,0.0061,3,0.9784,0.0062,3,0.8861,0.0109,3,0.0006,0.0003,3
immune_dc,cDC1,prototype_gate_best,0.9824,0.0031,3,0.9864,0.0061,3,0.9784,0.0062,3,0.8861,0.0109,3,0.0006,0.0003,3
immune_dc,cDC1,prototype_gate_marker,0.985,0.0023,3,0.9959,0.0071,3,0.9744,0.0062,3,0.8863,0.0108,3,0.0002,0.0003,3
immune_dc,cDC1,fusion,0.6838,0.1537,3,1.0,0.0,3,0.5344,0.1909,3,0.8748,0.0135,3,0.0,0.0,3
immune_dc,cDC1,fusion_gated,0.9824,0.0031,3,0.9864,0.0061,3,0.9784,0.0062,3,0.8861,0.0109,3,0.0006,0.0003,3
pancreas,epsilon,baseline,0.8889,0.1925,3,1.0,0.0,3,0.8333,0.2887,3,0.972,0.0094,3,0.0,0.0,3
pancreas,epsilon,knn_k15,0.4444,0.3849,3,0.6667,0.5774,3,0.3333,0.2887,3,0.942,0.0075,3,,0.0,0
pancreas,epsilon,celltypist,1.0,0.0,3,1.0,0.0,3,1.0,0.0,3,0.9756,0.0,3,,0.0,0
pancreas,epsilon,prototype,0.02,0.0006,3,0.0101,0.0003,3,1.0,0.0,3,0.8608,0.0087,3,0.114,0.0034,3
pancreas,epsilon,prototype_gate,0.3247,0.1006,3,0.1966,0.0698,3,1.0,0.0,3,0.9677,0.0089,3,0.0054,0.0029,3
pancreas,epsilon,prototype_gate_best,0.2177,0.1788,3,0.1298,0.1146,3,1.0,0.0,3,0.9519,0.0362,3,0.0215,0.0268,3
pancreas,epsilon,prototype_gate_marker,0.8889,0.1925,3,1.0,0.0,3,0.8333,0.2887,3,0.972,0.0094,3,0.0,0.0,3
pancreas,epsilon,fusion,0.8889,0.1925,3,1.0,0.0,3,0.8333,0.2887,3,0.9667,0.0105,3,0.0,0.0,3
pancreas,epsilon,fusion_gated,0.7222,0.2546,3,0.6111,0.3469,3,1.0,0.0,3,0.9714,0.0089,3,0.0012,0.0012,3
pancreas,gamma,baseline,0.9961,0.0033,3,0.9923,0.0066,3,1.0,0.0,3,0.9768,0.0082,3,0.0,0.0,3
pancreas,gamma,knn_k15,0.805,0.1293,3,1.0,0.0,3,0.686,0.1721,3,0.9279,0.0153,3,,0.0,0
pancreas,gamma,celltypist,0.9032,0.0161,3,0.9862,0.0004,3,0.8333,0.0269,3,0.971,0.001,3,,0.0,0
pancreas,gamma,prototype,0.9668,0.0278,3,0.9367,0.0512,3,1.0,0.0,3,0.9741,0.0085,3,0.0033,0.003,3
pancreas,gamma,prototype_gate,0.9924,0.0087,3,0.9849,0.0171,3,1.0,0.0,3,0.9764,0.0083,3,0.0004,0.0007,3
pancreas,gamma,prototype_gate_best,0.9924,0.0087,3,0.9849,0.0171,3,1.0,0.0,3,0.9764,0.0083,3,0.0004,0.0007,3
pancreas,gamma,prototype_gate_marker,0.9924,0.0087,3,0.9849,0.0171,3,1.0,0.0,3,0.9764,0.0083,3,0.0004,0.0007,3
pancreas,gamma,fusion,0.9942,0.0,3,0.9923,0.0066,3,0.9961,0.0067,3,0.9727,0.0063,3,0.0,0.0,3
pancreas,gamma,fusion_gated,0.9942,0.0057,3,0.9886,0.0114,3,1.0,0.0,3,0.9766,0.0082,3,0.0002,0.0004,3
pbmc_pdc,pDC,baseline,0.9987,0.0,1,0.9974,0.0,1,1.0,0.0,1,0.8444,0.0,1,0.0,0.0,1
pbmc_pdc,pDC,prototype,0.998,0.0,1,0.9961,0.0,1,1.0,0.0,1,0.8443,0.0,1,0.0001,0.0,1
pbmc_pdc,pDC,prototype_gate,0.9987,0.0,1,0.9974,0.0,1,1.0,0.0,1,0.8444,0.0,1,0.0,0.0,1
pbmc_pdc,pDC,prototype_gate_best,0.9987,0.0,1,0.9974,0.0,1,1.0,0.0,1,0.8444,0.0,1,0.0,0.0,1
pbmc_pdc,pDC,prototype_gate_marker,0.9987,0.0,1,0.9974,0.0,1,1.0,0.0,1,0.8444,0.0,1,0.0,0.0,1
pbmc_pdc,pDC,fusion,0.9987,0.0,1,0.9974,0.0,1,1.0,0.0,1,0.848,0.0,1,0.0,0.0,1
pbmc_pdc,pDC,fusion_gated,0.9987,0.0,1,0.9974,0.0,1,1.0,0.0,1,0.8444,0.0,1,0.0,0.0,1
tabula_kidney,endothelial cell,baseline,0.9277,0.0383,3,1.0,0.0,3,0.8667,0.0667,3,0.9732,0.0029,3,0.0,0.0,3
tabula_kidney,endothelial cell,celltypist,0.898,0.0869,3,0.9333,0.1155,3,0.8667,0.0667,3,0.9693,0.0036,3,,0.0,0
tabula_kidney,endothelial cell,prototype,0.6197,0.1394,3,0.4693,0.138,3,0.9333,0.0667,3,0.9641,0.0069,3,0.0102,0.0052,3
tabula_kidney,endothelial cell,prototype_gate,0.7005,0.1249,3,0.5714,0.1296,3,0.9111,0.1018,3,0.9676,0.0044,3,0.0063,0.0025,3
tabula_kidney,endothelial cell,prototype_gate_best,0.663,0.1811,3,0.5259,0.1949,3,0.9333,0.0667,3,0.9654,0.0081,3,0.0089,0.0064,3
tabula_kidney,endothelial cell,prototype_gate_marker,0.9194,0.0566,3,0.9313,0.0074,3,0.9111,0.1018,3,0.9731,0.0033,3,0.0006,0.0,3
