dataset,seed,rare_class,separability_ratio,nearest_majority_class,intra_rare_radius,dist_to_nearest_majority,n_rare_train,baseline_f1,gate_marker_f1,f1_gain
immune_dc,42,ASDC,1.7924,pDC,3.2491,5.8235,10,0.4883720930232558,0.9344262295081968,0.44605413648494097
immune_dc,42,ASDC,1.8055,pDC,3.5491,6.4078,20,0.4883720930232558,0.9344262295081968,0.44605413648494097
immune_dc,42,ASDC,1.9091,HLA-DRhi cDC2,3.147,6.0079,5,0.4883720930232558,0.9344262295081968,0.44605413648494097
immune_dc,42,ASDC,1.4261,HLA-DRhi cDC2,4.1405,5.9049,50,0.4883720930232558,0.9344262295081968,0.44605413648494097
immune_dc,42,ASDC,1.4273,HLA-DRhi cDC2,4.0544,5.7867,277,0.4883720930232558,0.9344262295081968,0.44605413648494097
immune_dc,42,cDC1,1.6994,HLA-DRhi cDC2,3.6902,6.271,10,0.4846625766871165,0.9835390946502056,0.49887651796308913
immune_dc,42,cDC1,1.6018,HLA-DRhi cDC2,3.9645,6.3504,20,0.4846625766871165,0.9835390946502056,0.49887651796308913
immune_dc,42,cDC1,1.5531,HLA-DRhi cDC2,3.7617,5.8422,5,0.4846625766871165,0.9835390946502056,0.49887651796308913
immune_dc,42,cDC1,1.2935,HLA-DRhi cDC2,5.0214,6.4954,50,0.4846625766871165,0.9835390946502056,0.49887651796308913
immune_dc,42,cDC1,1.3084,HLA-DRhi cDC2,4.6666,6.1057,445,0.4846625766871165,0.9835390946502056,0.49887651796308913
immune_dc,43,ASDC,1.4675,HLA-DRhi cDC2,3.948,5.7939,10,0.7619047619047619,0.952,0.1900952380952381
immune_dc,43,ASDC,1.4137,pDC,3.9154,5.5351,20,0.7619047619047619,0.952,0.1900952380952381
immune_dc,43,ASDC,1.6863,HLA-DRhi cDC2,3.6471,6.1499,5,0.7619047619047619,0.952,0.1900952380952381
immune_dc,43,ASDC,1.469,pDC,3.9218,5.7611,50,0.7619047619047619,0.952,0.1900952380952381
immune_dc,43,ASDC,1.4551,pDC,4.0513,5.8948,277,0.7619047619047619,0.952,0.1900952380952381
immune_dc,43,cDC1,1.7247,HLA-DRhi cDC2,3.8077,6.567,10,0.0778210116731517,0.983739837398374,0.9059188257252223
immune_dc,43,cDC1,1.4626,HLA-DRhi cDC2,4.3464,6.357,20,0.0778210116731517,0.983739837398374,0.9059188257252223
immune_dc,43,cDC1,1.8485,HLA-DRhi cDC2,3.4515,6.3801,5,0.0778210116731517,0.983739837398374,0.9059188257252223
immune_dc,43,cDC1,1.3922,HLA-DRhi cDC2,4.4274,6.1638,50,0.0778210116731517,0.983739837398374,0.9059188257252223
immune_dc,43,cDC1,1.2377,HLA-DRhi cDC2,4.5664,5.6518,445,0.0778210116731517,0.983739837398374,0.9059188257252223
immune_dc,44,ASDC,1.169,pDC,4.4912,5.2501,10,0.7192118226600985,0.9135802469135802,0.19436842425348166
immune_dc,44,ASDC,1.2754,pDC,4.2641,5.4384,20,0.7192118226600985,0.9135802469135802,0.19436842425348166
immune_dc,44,ASDC,1.7586,HLA-DRhi cDC2,3.4274,6.0274,5,0.7192118226600985,0.9135802469135802,0.19436842425348166
immune_dc,44,ASDC,1.4417,pDC,4.1089,5.9238,50,0.7192118226600985,0.9135802469135802,0.19436842425348166
immune_dc,44,ASDC,1.394,HLA-DRhi cDC2,4.0019,5.5786,277,0.7192118226600985,0.9135802469135802,0.19436842425348166
immune_dc,44,cDC1,1.1379,HLA-DRhi cDC2,5.0501,5.7464,10,0.0627450980392156,0.9877049180327868,0.9249598199935712
immune_dc,44,cDC1,1.1045,HLA-DRhi cDC2,5.3166,5.8721,20,0.0627450980392156,0.9877049180327868,0.9249598199935712
immune_dc,44,cDC1,1.3087,HLA-DRhi cDC2,4.0563,5.3084,5,0.0627450980392156,0.9877049180327868,0.9249598199935712
immune_dc,44,cDC1,1.2083,HLA-DRhi cDC2,4.5186,5.4597,50,0.0627450980392156,0.9877049180327868,0.9249598199935712
immune_dc,44,cDC1,1.2341,HLA-DRhi cDC2,4.5742,5.6452,445,0.0627450980392156,0.9877049180327868,0.9249598199935712
pancreas,42,epsilon,1.1924,gamma,3.0187,3.5995,10,0.6666666666666666,0.6666666666666666,0.0
pancreas,42,epsilon,1.0976,delta,3.2213,3.5357,20,0.6666666666666666,0.6666666666666666,0.0
pancreas,42,epsilon,1.0239,delta,2.8969,2.966,5,0.6666666666666666,0.6666666666666666,0.0
pancreas,42,epsilon,1.1429,gamma,3.2809,3.7498,26,0.6666666666666666,0.6666666666666666,0.0
pancreas,42,gamma,0.9252,epsilon,4.1207,3.8123,10,1.0,1.0,0.0
pancreas,42,gamma,0.8914,epsilon,3.8754,3.4546,20,1.0,1.0,0.0
pancreas,42,gamma,1.027,epsilon,4.2877,4.4035,5,1.0,1.0,0.0
pancreas,42,gamma,0.9178,epsilon,3.7172,3.4116,50,1.0,1.0,0.0
pancreas,43,epsilon,1.1031,gamma,3.2565,3.5923,10,1.0,1.0,0.0
pancreas,43,epsilon,1.0584,gamma,3.2517,3.4415,20,1.0,1.0,0.0
pancreas,43,epsilon,1.2902,gamma,2.9522,3.8089,5,1.0,1.0,0.0
pancreas,43,epsilon,1.0854,gamma,3.5076,3.8072,26,1.0,1.0,0.0
pancreas,43,gamma,0.8016,epsilon,4.1167,3.3,10,0.9942196531791908,0.9942196531791908,0.0
pancreas,43,gamma,0.8573,epsilon,4.1958,3.5971,20,0.9942196531791908,0.9942196531791908,0.0
pancreas,43,gamma,1.1296,epsilon,3.002,3.3909,5,0.9942196531791908,0.9942196531791908,0.0
pancreas,43,gamma,0.8288,epsilon,4.5088,3.7368,50,0.9942196531791908,0.9942196531791908,0.0
pancreas,44,epsilon,1.0208,gamma,3.5865,3.6611,10,1.0,1.0,0.0
pancreas,44,epsilon,1.0407,gamma,3.2927,3.4266,20,1.0,1.0,0.0
pancreas,44,epsilon,1.2165,gamma,3.3038,4.019,5,1.0,1.0,0.0
pancreas,44,epsilon,1.0632,gamma,3.4141,3.6298,26,1.0,1.0,0.0
pancreas,44,gamma,0.9772,epsilon,3.9332,3.8435,10,0.9942196531791908,0.9828571428571428,-0.011362510322048047
pancreas,44,gamma,0.9128,epsilon,3.4769,3.1738,20,0.9942196531791908,0.9828571428571428,-0.011362510322048047
pancreas,44,gamma,1.2033,epsilon,2.8982,3.4874,5,0.9942196531791908,0.9828571428571428,-0.011362510322048047
pancreas,44,gamma,0.8601,epsilon,3.8103,3.2772,50,0.9942196531791908,0.9828571428571428,-0.011362510322048047
pbmc_pdc,42,pDC,2.03,iNKT,2.9295,5.9468,20,0.9986859395532196,0.9986859395532196,0.0
tabula_kidney,42,endothelial cell,1.2682,macrophage,4.8284,6.1235,10,0.8888888888888888,0.8571428571428571,-0.031746031746031744
tabula_kidney,42,endothelial cell,1.6094,macrophage,4.2879,6.901,20,0.8888888888888888,0.8571428571428571,-0.031746031746031744
tabula_kidney,42,endothelial cell,1.8943,macrophage,3.6733,6.9583,5,0.8888888888888888,0.8571428571428571,-0.031746031746031744
tabula_kidney,42,endothelial cell,1.6169,macrophage,4.188,6.7716,50,0.8888888888888888,0.8571428571428571,-0.031746031746031744
tabula_kidney,43,endothelial cell,1.5976,macrophage,4.0715,6.5046,10,0.9655172413793104,0.967741935483871,0.0022246941045606095
tabula_kidney,43,endothelial cell,1.6357,macrophage,3.8652,6.3224,20,0.9655172413793104,0.967741935483871,0.0022246941045606095
tabula_kidney,43,endothelial cell,1.9012,macrophage,3.3574,6.3829,5,0.9655172413793104,0.967741935483871,0.0022246941045606095
tabula_kidney,43,endothelial cell,1.6718,macrophage,3.858,6.45,50,0.9655172413793104,0.967741935483871,0.0022246941045606095
tabula_kidney,44,endothelial cell,1.735,macrophage,3.8733,6.7201,10,0.9285714285714286,0.9333333333333332,0.004761904761904634
tabula_kidney,44,endothelial cell,1.7693,macrophage,4.3588,7.7121,20,0.9285714285714286,0.9333333333333332,0.004761904761904634
tabula_kidney,44,endothelial cell,2.0964,macrophage,3.8116,7.9907,5,0.9285714285714286,0.9333333333333332,0.004761904761904634
tabula_kidney,44,endothelial cell,1.6866,macrophage,4.4547,7.5135,50,0.9285714285714286,0.9333333333333332,0.004761904761904634
tabula_liver,42,non-classical monocyte,1.8318,intermediate monocyte,2.6313,4.8199,10,0.3478260869565217,0.6470588235294118,0.2992327365728901
tabula_liver,42,non-classical monocyte,2.0805,monocyte,2.4531,5.1036,20,0.3478260869565217,0.6470588235294118,0.2992327365728901
tabula_liver,42,non-classical monocyte,2.1082,monocyte,2.2888,4.8253,5,0.3478260869565217,0.6470588235294118,0.2992327365728901
tabula_liver,42,non-classical monocyte,1.893,monocyte,2.486,4.7059,50,0.3478260869565217,0.6470588235294118,0.2992327365728901
tabula_liver,43,non-classical monocyte,2.075,monocyte,2.2358,4.6393,10,0.2727272727272727,0.7272727272727273,0.4545454545454546
tabula_liver,43,non-classical monocyte,2.0171,intermediate monocyte,2.3713,4.7832,20,0.2727272727272727,0.7272727272727273,0.4545454545454546
tabula_liver,43,non-classical monocyte,2.1687,monocyte,2.3463,5.0884,5,0.2727272727272727,0.7272727272727273,0.4545454545454546
tabula_liver,43,non-classical monocyte,1.9424,monocyte,2.3472,4.5591,50,0.2727272727272727,0.7272727272727273,0.4545454545454546
tabula_liver,44,non-classical monocyte,1.822,intermediate monocyte,2.4053,4.3824,10,0.5,0.5,0.0
tabula_liver,44,non-classical monocyte,1.938,monocyte,2.3926,4.637,20,0.5,0.5,0.0
tabula_liver,44,non-classical monocyte,2.2288,monocyte,2.0204,4.503,5,0.5,0.5,0.0
tabula_liver,44,non-classical monocyte,1.9848,monocyte,2.3819,4.7276,50,0.5,0.5,0.0
tabula_pancreas,42,type B pancreatic cell,0.8076,pancreatic D cell,3.2175,2.5985,20,0.896551724137931,0.896551724137931,0.0
tabula_pancreas,43,type B pancreatic cell,0.7554,pancreatic D cell,4.2566,3.2153,20,0.967741935483871,0.967741935483871,0.0
tabula_pancreas,44,type B pancreatic cell,0.8497,pancreatic D cell,3.2522,2.7636,20,0.8275862068965517,0.8275862068965517,0.0
tabula_spleen,42,innate lymphoid cell,1.7404,"CD4-positive, alpha-beta T cell",2.4703,4.2993,10,0.625,0.8571428571428571,0.2321428571428571
tabula_spleen,42,innate lymphoid cell,1.6536,mature NK T cell,2.6927,4.4526,20,0.625,0.8571428571428571,0.2321428571428571
tabula_spleen,42,innate lymphoid cell,1.6289,mature NK T cell,2.683,4.3702,5,0.625,0.8571428571428571,0.2321428571428571
tabula_spleen,42,innate lymphoid cell,1.3991,mature NK T cell,3.0066,4.2065,50,0.625,0.8571428571428571,0.2321428571428571
