dataset,dataset_label,rare_class,rare_train_size,rts_label,seed,method,rare_f1,rare_recall,rare_precision,overall_accuracy
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,42,baseline,0.7192118226600985,0.5615384615384615,1.0,0.8906097163351809
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,42,knn_k15,0.7317073170731707,0.5769230769230769,1.0,0.895663514835344
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,42,lr,0.3333333333333333,0.2,1.0,0.872513857189436
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,42,scbalance,0.1159420289855072,0.0615384615384615,1.0,0.871046625366808
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,42,scRareRefine,0.9558232931726908,0.9153846153846154,1.0,0.8981089012063906
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,42,baseline,0.0597014925373134,0.0307692307692307,1.0,0.8624062601891099
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,42,knn_k15,0.0,0.0,0.0,0.8806651450929247
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,42,lr,0.4146341463414634,0.2615384615384615,1.0,0.8738180632539941
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,42,scbalance,0.015267175572519,0.0076923076923076,1.0,0.8721878056732963
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,42,scRareRefine,0.9173553719008264,0.8538461538461538,0.9910714285714286,0.879686990544506
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,42,baseline,0.1690140845070422,0.0923076923076923,1.0,0.8819693511574829
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,42,knn_k15,0.4146341463414634,0.2615384615384615,1.0,0.889142484512553
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,42,lr,0.4146341463414634,0.2615384615384615,1.0,0.873981089012064
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,42,scbalance,0.1944444444444444,0.1076923076923077,1.0,0.8774046299315292
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,42,scRareRefine,0.9256198347107438,0.8615384615384616,1.0,0.8982719269644603
immune_dc_ASDC,DC-ASDC,ASDC,all,all,42,baseline,0.9435483870967742,0.9,0.9915254237288136,0.897130746657972
immune_dc_ASDC,DC-ASDC,ASDC,all,all,42,knn_k15,0.9300411522633744,0.8692307692307693,1.0,0.9025105966742746
immune_dc_ASDC,DC-ASDC,ASDC,all,all,42,lr,0.952,0.9153846153846154,0.9916666666666668,0.8803390935767851
immune_dc_ASDC,DC-ASDC,ASDC,all,all,42,scbalance,0.9387755102040816,0.8846153846153846,1.0,0.8837626344962504
immune_dc_ASDC,DC-ASDC,ASDC,all,all,42,scRareRefine,0.944,0.9076923076923076,0.9833333333333332,0.897130746657972
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,42,baseline,0.98989898989899,0.9919028340080972,0.9879032258064516,0.8976198239321813
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,42,knn_k15,0.9708333333333332,0.9433198380566802,1.0,0.894196283012716
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,42,lr,0.5075528700906344,0.340080971659919,1.0,0.8599608738180633
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,42,scbalance,0.2166064981949458,0.1214574898785425,1.0,0.8399087055754809
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,42,scRareRefine,0.98989898989899,0.9919028340080972,0.9879032258064516,0.8976198239321813
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,42,baseline,0.0,0.0,0.0,0.8544179980436909
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,42,knn_k15,0.0,0.0,0.0,0.8622432344310401
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,42,lr,0.2605633802816901,0.1497975708502024,1.0,0.8495272253015976
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,42,scbalance,0.375,0.2307692307692307,1.0,0.8501793283338768
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,42,scRareRefine,0.9816700610997964,0.9757085020242916,0.9877049180327868,0.8932181284642974
immune_dc_cDC1,DC-cDC1,cDC1,0.05,5%,42,baseline,0.375,0.2307692307692307,1.0,0.859471796543854
immune_dc_cDC1,DC-cDC1,cDC1,0.05,5%,42,knn_k15,0.8898876404494382,0.8016194331983806,1.0,0.8964786436256929
immune_dc_cDC1,DC-cDC1,cDC1,0.05,5%,42,lr,0.4367088607594936,0.2793522267206478,1.0,0.8549070753179002
immune_dc_cDC1,DC-cDC1,cDC1,0.05,5%,42,scbalance,0.5253731343283582,0.3562753036437247,1.0,0.8656667753505054
immune_dc_cDC1,DC-cDC1,cDC1,0.05,5%,42,scRareRefine,0.9939148073022313,0.9919028340080972,0.9959349593495936,0.8899576133029019
immune_dc_cDC1,DC-cDC1,cDC1,all,all,42,baseline,0.991869918699187,0.9878542510121456,0.9959183673469388,0.897130746657972
immune_dc_cDC1,DC-cDC1,cDC1,all,all,42,knn_k15,0.9979716024340772,0.9959514170040484,1.0,0.9025105966742746
immune_dc_cDC1,DC-cDC1,cDC1,all,all,42,lr,0.9959349593495936,0.9919028340080972,1.0,0.8803390935767851
immune_dc_cDC1,DC-cDC1,cDC1,all,all,42,scbalance,0.9959349593495936,0.9919028340080972,1.0,0.8858819693511575
immune_dc_cDC1,DC-cDC1,cDC1,all,all,42,scRareRefine,0.993939393939394,0.9959514170040484,0.9919354838709676,0.8972937724160417
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,43,baseline,0.8793103448275862,0.7846153846153846,1.0,0.8950114118030649
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,43,knn_k15,0.7439613526570048,0.5923076923076923,1.0,0.897130746657972
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,43,lr,0.3544303797468354,0.2153846153846154,1.0,0.872513857189436
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,43,scbalance,0.2666666666666666,0.1538461538461538,1.0,0.871698728399087
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,43,scRareRefine,0.9218106995884774,0.8615384615384616,0.991150442477876,0.8964786436256929
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,43,baseline,0.015267175572519,0.0076923076923076,1.0,0.8788718617541571
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,43,knn_k15,0.0,0.0,0.0,0.8808281708509944
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,43,lr,0.3544303797468354,0.2153846153846154,1.0,0.8726768829475057
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,43,scbalance,0.2550335570469799,0.1461538461538461,1.0,0.8723508314313662
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,43,scRareRefine,0.897119341563786,0.8384615384615385,0.9646017699115044,0.8958265405934137
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,43,baseline,0.547486033519553,0.3769230769230769,1.0,0.876100423866971
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,43,knn_k15,0.56353591160221,0.3923076923076923,1.0,0.8914248451255299
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,43,lr,0.3116883116883117,0.1846153846153846,1.0,0.8712096511248777
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,43,scbalance,0.2432432432432432,0.1384615384615384,1.0,0.8751222693185523
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,43,scRareRefine,0.9322709163346612,0.9,0.9669421487603306,0.8865340723834366
immune_dc_ASDC,DC-ASDC,ASDC,all,all,43,baseline,0.9482071713147412,0.9153846153846154,0.9834710743801652,0.8997391587870883
immune_dc_ASDC,DC-ASDC,ASDC,all,all,43,knn_k15,0.9166666666666666,0.8461538461538461,1.0,0.8999021845451581
immune_dc_ASDC,DC-ASDC,ASDC,all,all,43,lr,0.952,0.9153846153846154,0.9916666666666668,0.8803390935767851
immune_dc_ASDC,DC-ASDC,ASDC,all,all,43,scbalance,0.8721804511278195,0.8923076923076924,0.8529411764705882,0.8880013042060646
immune_dc_ASDC,DC-ASDC,ASDC,all,all,43,scRareRefine,0.9571984435797666,0.946153846153846,0.968503937007874,0.900065210303228
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,43,baseline,0.9897750511247444,0.979757085020243,1.0,0.8922399739158787
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,43,knn_k15,0.96218487394958,0.9271255060728744,1.0,0.8968046951418324
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,43,lr,0.1970802919708029,0.1093117408906882,1.0,0.8480599934789697
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,43,scbalance,0.2482269503546099,0.1417004048582996,1.0,0.8560482556243887
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,43,scRareRefine,0.9879032258064516,0.9919028340080972,0.9839357429718876,0.8920769481578089
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,43,baseline,0.0080645161290322,0.0040485829959514,1.0,0.857189435930877
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,43,knn_k15,0.0,0.0,0.0,0.8593087707857842
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,43,lr,0.5384615384615384,0.3684210526315789,1.0,0.8578415389631562
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,43,scbalance,0.5165165165165165,0.3481781376518219,1.0,0.8658298011085751
immune_dc_cDC1,DC-cDC1,cDC1,0.01,1%,43,scRareRefine,0.9856262833675564,0.97165991902834,1.0,0.8961525921095533
immune_dc_cDC1,DC-cDC1,cDC1,0.05,5%,43,baseline,0.2230215827338129,0.1255060728744939,1.0,0.8544179980436909
immune_dc_cDC1,DC-cDC1,cDC1,0.05,5%,43,knn_k15,0.8538283062645011,0.7449392712550608,1.0,0.8909357678513206
immune_dc_cDC1,DC-cDC1,cDC1,0.05,5%,43,lr,0.6965699208443272,0.5344129554655871,1.0,0.8650146723182263
immune_dc_cDC1,DC-cDC1,cDC1,0.05,5%,43,scbalance,0.48,0.3157894736842105,1.0,0.8614281056406913
immune_dc_cDC1,DC-cDC1,cDC1,0.05,5%,43,scRareRefine,0.979591836734694,0.97165991902834,0.9876543209876544,0.8880013042060646
immune_dc_cDC1,DC-cDC1,cDC1,all,all,43,baseline,0.991869918699187,0.9878542510121456,0.9959183673469388,0.8997391587870883
immune_dc_cDC1,DC-cDC1,cDC1,all,all,43,knn_k15,0.9959349593495936,0.9919028340080972,1.0,0.8999021845451581
immune_dc_cDC1,DC-cDC1,cDC1,all,all,43,lr,0.9959349593495936,0.9919028340080972,1.0,0.8803390935767851
immune_dc_cDC1,DC-cDC1,cDC1,all,all,43,scbalance,1.0,1.0,1.0,0.8793609390283664
immune_dc_cDC1,DC-cDC1,cDC1,all,all,43,scRareRefine,0.9899396378269618,0.9959514170040484,0.984,0.8995761330290186
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,44,baseline,0.8608695652173913,0.7615384615384615,0.99,0.8635474404955983
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,44,knn_k15,0.7850467289719626,0.6461538461538462,1.0,0.8981089012063906
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,44,lr,0.4523809523809524,0.2923076923076923,1.0,0.8720247799152266
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,44,scbalance,0.1944444444444444,0.1076923076923077,1.0,0.8682751874796217
immune_dc_ASDC,DC-ASDC,ASDC,0.1,10%,44,scRareRefine,0.934959349593496,0.8846153846153846,0.9913793103448276,0.8661558526247147
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,44,baseline,0.0,0.0,0.0,0.8798500163025758
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,44,knn_k15,0.0,0.0,0.0,0.887023149657646
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,44,lr,0.4049079754601227,0.2538461538461538,1.0,0.8713726768829475
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,44,scbalance,0.3006535947712418,0.1769230769230769,1.0,0.8782197587218781
immune_dc_ASDC,DC-ASDC,ASDC,0.01,1%,44,scRareRefine,0.8983050847457628,0.8153846153846154,1.0,0.897130746657972
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,44,baseline,0.1021897810218978,0.0538461538461538,1.0,0.8800130420606456
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,44,knn_k15,0.47953216374269,0.3153846153846154,1.0,0.8896315617867623
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,44,lr,0.3439490445859872,0.2076923076923077,1.0,0.871698728399087
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,44,scbalance,0.4883720930232558,0.3230769230769231,1.0,0.8806651450929247
immune_dc_ASDC,DC-ASDC,ASDC,0.05,5%,44,scRareRefine,0.9173553719008264,0.8538461538461538,0.9910714285714286,0.8968046951418324
immune_dc_ASDC,DC-ASDC,ASDC,all,all,44,baseline,0.9482071713147412,0.9153846153846154,0.9834710743801652,0.8912618193674601
immune_dc_ASDC,DC-ASDC,ASDC,all,all,44,knn_k15,0.9262295081967212,0.8692307692307693,0.9912280701754386,0.9041408542549724
immune_dc_ASDC,DC-ASDC,ASDC,all,all,44,lr,0.952,0.9153846153846154,0.9916666666666668,0.8803390935767851
immune_dc_ASDC,DC-ASDC,ASDC,all,all,44,scbalance,0.9473684210526316,0.9,1.0,0.8912618193674601
immune_dc_ASDC,DC-ASDC,ASDC,all,all,44,scRareRefine,0.9523809523809524,0.9230769230769232,0.9836065573770492,0.8914248451255299
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,44,baseline,0.9918367346938776,0.9838056680161944,1.0,0.8904466905771112
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,44,knn_k15,0.9578059071729956,0.9190283400809716,1.0,0.900717313335507
immune_dc_cDC1,DC-cDC1,cDC1,0.1,10%,44,lr,0.5885714285714285,0.4170040485829959,1.0,0.863058363221389
